,Player,Pos,Squad,Rk,Tkl,Tkl,TklW,Blocks,Int,Clr,Err,90s,Cmp,Cmp,Cmp,Cmp,Cmp%,Cmp%,Cmp%,Cmp%,Ast,xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,GCA,Sh,SoT%,npxG,Touches,Att,Succ%,PrgC,Mis,Dis,PrgR,G-PK,G-PK,Fls,Fld,PKwon,OG,Recov,Won%
0,Patrick van Aanholt,DF,Crystal Palace,1,43,23,23,31,45,52,1,27.9,1241,668,470,73,77.8,88.1,79.7,44.8,2,3.7,32,89,23,3,143,64,5,26,19.2,1.3,1870,38,42.1,60,31,15,89,2,0.07,9,8,0,1,176,50.0
1,Max Aarons,DF,Norwich City,2,48,18,30,46,37,97,1,36.0,1332,880,351,49,77.8,89.6,74.8,40.5,1,3.9,23,55,28,12,78,64,3,14,28.6,0.6,2144,99,48.5,92,54,31,151,0,0.00,29,49,1,0,178,31.0
2,Yunis Abdelhamid,DF,Reims,3,46,17,33,26,47,99,1,28.0,1323,370,762,185,84.3,88.1,89.2,68.8,0,1.2,5,53,1,0,96,23,1,19,26.3,1.7,1854,26,76.9,21,15,5,6,3,0.11,21,17,0,0,140,62.5
3,Suleiman Abdullahi,"FW,MF",Union Berlin,4,0,0,0,2,1,1,0,1.7,19,11,7,1,45.2,55.0,50.0,25.0,0,0.2,1,2,2,1,3,4,0,6,50.0,1.1,63,5,40.0,2,7,0,10,1,0.57,0,0,0,0,7,35.3
4,Mehdi Abeid,MF,Nantes,5,55,20,29,16,23,8,1,20.2,792,392,313,59,81.9,92.0,88.4,46.1,2,1.8,27,80,6,2,104,53,4,33,21.2,1.5,1159,23,69.6,25,24,21,42,1,0.05,55,43,0,0,153,43.3
5,Charles Abi,FW,Saint-Étienne,6,9,2,9,2,4,4,0,6.9,75,46,16,4,56.8,61.3,55.2,66.7,0,1.2,7,3,4,1,10,18,2,5,0.0,0.3,195,19,68.4,12,26,7,33,0,0.00,16,11,1,0,22,45.2
6,David Abraham,DF,Eint Frankfurt,7,21,15,14,27,25,61,1,18.8,738,249,379,105,81.0,86.8,85.2,67.3,0,0.1,2,66,8,2,99,13,1,7,57.1,1.6,1075,9,77.8,18,6,3,12,2,0.11,14,12,0,0,125,61.5
7,Tammy Abraham,FW,Chelsea,8,8,3,4,20,6,27,0,24.6,275,161,63,13,65.8,72.9,73.3,61.9,3,2.7,21,17,7,1,34,57,9,88,39.8,16.4,722,35,45.7,31,74,42,134,15,0.61,17,24,1,1,49,44.1
8,Amir Abrashi,MF,Freiburg,9,16,10,8,18,7,16,2,7.4,280,162,101,10,84.8,91.0,90.2,55.6,0,0.1,4,24,4,3,27,10,0,4,50.0,0.5,425,5,60.0,8,18,3,13,0,0.00,17,12,0,0,51,50.0
9,Francesco Acerbi,DF,Lazio,10,59,14,29,40,42,109,1,35.1,1844,636,903,279,89.0,92.7,93.1,75.2,2,1.7,8,149,15,5,150,37,5,16,31.3,2.4,2387,14,92.9,57,12,7,36,2,0.06,26,41,1,0,179,63.6
10,Che Adams,FW,Southampton,11,6,1,4,9,2,10,0,12.3,162,97,44,9,61.6,78.2,60.3,47.4,2,1.7,13,9,3,0,16,29,6,36,25.0,5.3,418,25,72.0,20,40,21,87,4,0.32,17,16,1,0,51,35.3
11,Tyler Adams,"MF,DF",RB Leipzig,12,22,12,15,16,14,14,0,10.6,584,309,214,26,83.1,88.5,87.3,57.8,0,0.6,7,35,10,3,34,19,2,7,14.3,0.4,813,10,40.0,11,7,9,49,0,0.00,9,16,0,0,58,50.0
12,Sargis Adamyan,"FW,MF",Hoffenheim,13,11,3,7,8,2,4,0,8.3,128,84,33,4,71.1,80.0,80.5,57.1,1,0.6,6,6,5,2,16,21,5,21,52.4,5.9,287,21,47.6,19,28,19,67,5,0.60,12,7,1,0,32,26.1
13,Antonio Adán,GK,Atlético Madrid,14,0,0,0,0,0,0,0,0.3,4,2,1,1,66.7,100.0,100.0,33.3,0,0.0,0,0,0,0,0,0,0,0,,0.0,7,0,,0,0,0,0,0,0.00,0,0,0,0,0,
14,Bobby Adekanye,FW,Lazio,15,3,0,2,0,2,1,0,2.1,38,20,12,2,88.4,83.3,100.0,100.0,0,0.2,3,0,1,1,2,7,0,5,80.0,1.4,62,3,100.0,6,3,6,12,1,0.48,2,3,0,0,6,20.0
15,Claud Adjapong,DF,Hellas Verona,16,5,2,3,4,3,7,0,2.6,58,35,16,3,69.9,83.3,64.0,42.9,0,0.0,0,3,0,0,5,1,0,3,33.3,0.2,110,2,50.0,4,4,2,16,0,0.00,3,2,0,0,11,42.9
16,Amine Adli,"MF,FW",Toulouse,17,0,0,0,0,1,0,0,0.5,20,11,6,2,76.9,91.7,85.7,33.3,0,0.1,2,3,1,0,3,3,0,0,,0.0,31,4,75.0,4,1,1,5,0,0.00,2,0,0,0,3,50.0
17,Yacine Adli,MF,Bordeaux,18,22,11,14,10,8,3,0,11.3,448,225,165,44,78.5,87.9,81.7,57.9,3,2.2,19,51,5,0,65,45,7,17,35.3,0.8,704,48,54.2,38,27,24,47,3,0.26,13,18,0,0,57,43.5
