,Player,Pos,Squad,Rk,Tkl,Tkl,TklW,Blocks,Int,Clr,Err,90s,Cmp,Cmp,Cmp,Cmp,Cmp%,Cmp%,Cmp%,Cmp%,Ast,xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,GCA,Sh,SoT%,npxG,Touches,Att,Succ%,PrgC,Mis,Dis,PrgR,G-PK,G-PK,Fls,Fld,PKwon,OG,Recov,Won%
18,Adrián,GK,Liverpool,19,1,1,1,0,0,8,3,9.7,238,48,112,78,76.5,100.0,99.1,52.7,0,0.0,0,3,0,0,0,2,0,0,,0.0,331,0,,0,0,0,0,0,0.00,0,1,0,0,5,100.0
19,Aritz Aduriz,"FW,MF",Athletic Club,20,3,0,2,0,0,2,0,2.3,32,21,6,2,56.1,65.6,46.2,40.0,0,0.0,0,4,0,0,6,2,0,6,33.3,0.8,81,2,50.0,2,7,2,15,1,0.43,7,1,0,0,2,67.7
20,Lumor Agbenyenu,DF,Mallorca,21,31,16,21,13,21,66,1,20.1,691,376,251,38,71.1,86.4,73.8,35.2,0,1.6,16,44,23,12,69,34,0,14,14.3,0.3,1187,47,61.7,60,27,10,66,1,0.05,13,9,0,0,118,51.5
21,Martin Agirregabiria,DF,Alavés,22,55,30,30,19,18,48,0,23.3,714,374,268,52,69.5,83.3,71.5,40.6,1,0.7,10,37,12,5,56,25,3,3,33.3,0.8,1237,29,58.6,26,24,13,49,1,0.04,33,19,0,0,125,49.1
22,Lucien Agoume,MF,Inter,23,3,0,2,3,0,0,0,0.8,35,14,17,4,92.1,100.0,89.5,100.0,0,0.1,1,5,2,1,7,2,1,0,,0.0,45,0,,1,1,1,2,0,0.00,1,0,0,0,6,
23,Kevin Agudelo,"MF,FW",Fiorentina,24,2,0,1,1,1,0,0,0.7,29,18,8,2,78.4,78.3,88.9,66.7,0,0.1,2,2,1,0,4,7,1,4,0.0,0.2,50,3,100.0,1,0,2,8,0,0.00,3,1,0,0,6,0.0
24,Kevin Agudelo,"MF,FW",Genoa,25,23,10,14,12,6,2,0,7.4,239,143,70,12,81.6,88.8,87.5,66.7,1,1.6,12,21,5,0,41,32,2,10,20.0,1.2,387,35,71.4,39,15,15,34,1,0.14,20,11,0,0,30,33.3
25,Nayef Aguerd,DF,Dijon,26,13,8,9,11,18,54,0,10.6,492,160,239,90,82.4,93.6,88.8,62.9,0,0.0,0,23,0,0,27,4,1,4,25.0,0.3,717,4,75.0,0,4,3,0,1,0.09,13,6,0,0,55,76.8
26,Sergio Agüero,FW,Manchester City,27,7,1,4,9,3,2,0,16.1,286,186,60,2,78.4,85.3,78.9,40.0,3,2.3,18,15,19,0,34,57,7,73,32.9,12.1,544,40,60.0,35,34,30,105,14,0.87,9,9,2,0,37,20.0
27,Ruben Aguilar,DF,Monaco,28,36,19,22,6,11,21,0,11.9,662,399,212,31,84.1,94.5,84.5,44.9,2,1.8,18,40,28,15,52,36,4,6,33.3,0.2,913,22,54.5,32,9,11,80,0,0.00,10,20,0,0,72,55.2
28,Emmanuel Agyemang-Badu,MF,Hellas Verona,29,1,1,1,2,1,6,0,2.6,90,41,40,8,86.5,91.1,87.0,80.0,0,0.0,1,5,1,0,7,4,0,0,,0.0,129,1,100.0,2,9,1,1,0,0.00,7,3,0,0,10,29.4
29,Jean-Eudes Aholou,MF,Saint-Étienne,30,16,3,12,6,15,10,0,7.0,260,122,114,14,83.9,85.9,93.4,48.3,1,0.5,5,17,0,0,34,13,1,10,40.0,0.7,404,16,75.0,14,19,7,15,1,0.14,11,14,0,0,57,47.6
30,Joseph Aidoo,DF,Celta Vigo,31,43,13,27,31,45,124,3,27.8,1078,305,647,112,86.2,90.8,91.4,67.1,1,0.7,3,57,2,0,89,12,2,10,10.0,1.0,1540,15,66.7,17,14,8,2,0,0.00,17,17,0,0,143,49.0
31,Ola Aina,DF,Torino,32,45,17,24,24,41,61,0,23.1,862,488,282,77,72.7,86.5,74.4,44.0,2,2.5,22,57,17,13,80,55,6,12,16.7,0.4,1478,78,60.3,86,32,21,80,0,0.00,25,36,0,0,130,51.9
32,Youssef Aït Bennasser,MF,Bordeaux,33,11,4,8,6,4,10,1,6.0,350,190,130,19,86.2,92.2,90.9,59.4,1,0.1,4,36,3,0,47,10,2,2,0.0,0.1,465,7,57.1,6,7,4,6,0,0.00,10,3,0,0,43,50.0
33,Rayan Aït Nouri,DF,Angers,34,29,10,22,14,18,33,0,14.2,618,321,220,43,76.5,90.7,76.9,43.9,2,0.7,9,34,17,13,56,26,2,4,0.0,0.2,972,35,54.3,45,27,24,69,0,0.00,12,12,0,0,99,73.9
34,Albian Ajeti,FW,West Ham,35,1,0,0,0,0,0,0,1.5,12,9,1,0,80.0,75.0,100.0,,0,0.1,2,1,0,0,0,2,0,3,0.0,0.2,28,2,0.0,0,4,2,10,0,0.00,6,0,0,0,2,9.1
35,Ludovic Ajorque,FW,Strasbourg,36,15,2,10,11,2,20,0,22.9,354,186,109,24,68.6,70.7,72.2,63.2,4,2.8,16,15,13,3,30,42,12,49,42.9,6.4,712,19,36.8,21,53,15,137,7,0.31,38,21,1,0,43,59.4
36,Manuel Akanji,DF,Dortmund,37,38,12,21,20,30,61,2,25.7,1764,656,938,151,90.6,92.9,95.0,70.9,1,0.4,3,96,2,1,104,13,5,8,25.0,0.4,2148,7,85.7,18,15,6,6,0,0.00,11,23,0,1,119,48.4
37,Marley Aké,"FW,MF",Marseille,38,2,1,2,0,1,1,0,1.1,25,12,8,2,89.3,92.3,80.0,100.0,0,0.0,0,1,0,0,4,3,1,3,0.0,0.1,40,5,80.0,1,1,0,6,0,0.00,3,3,0,0,4,0.0
38,Nathan Aké,DF,Bournemouth,39,31,14,21,40,36,152,0,27.8,1079,435,554,82,87.2,92.2,91.1,62.1,2,2.2,7,58,7,0,81,14,1,25,28.0,3.0,1557,3,100.0,12,9,5,7,2,0.07,9,13,0,0,140,49.6
39,Chadrac Akolo,"FW,MF",Amiens,40,16,5,8,6,5,5,0,6.0,169,104,55,5,80.9,89.7,79.7,50.0,1,1.3,6,17,3,0,26,13,2,9,44.4,1.1,280,12,41.7,11,14,15,53,2,0.33,9,8,0,0,36,28.6
40,Kevin Akpoguma,DF,Hoffenheim,41,24,13,16,21,13,48,0,12.7,664,274,343,39,87.7,93.5,92.5,50.6,0,0.1,2,28,1,0,32,4,0,2,0.0,0.1,916,3,66.7,7,11,9,5,0,0.00,8,13,0,1,72,43.8
41,David Alaba,DF,Bayern Munich,42,30,16,17,19,29,40,0,27.8,2263,861,1128,232,89.9,94.8,93.4,72.0,1,2.4,19,278,22,5,285,46,3,19,36.8,1.0,2691,9,77.8,69,16,4,42,1,0.04,10,7,0,0,213,42.0
42,Sofiane Alakouch,DF,Nîmes,43,45,25,26,13,23,39,3,15.6,648,342,260,40,81.2,91.0,85.2,50.6,0,0.4,11,46,13,7,78,33,2,9,44.4,0.9,984,33,51.5,32,21,7,39,0,0.00,14,27,0,1,74,38.5
43,Lucas Alario,FW,Leverkusen,44,6,1,3,12,1,9,0,13.0,219,132,40,15,70.6,74.6,75.5,75.0,1,1.6,13,10,7,0,16,27,2,49,36.7,6.5,453,18,72.2,7,35,17,63,6,0.46,23,13,0,0,24,44.2
44,Jordi Alba,DF,Barcelona,45,20,6,13,12,37,40,0,24.3,1858,1109,566,95,86.5,92.2,86.8,69.3,5,4.3,30,120,40,11,150,51,6,7,42.9,1.4,2307,21,57.1,42,17,6,244,2,0.08,18,18,0,0,129,28.6
45,Luis Alberto,MF,Lazio,46,50,27,30,32,21,9,1,34.6,1793,843,685,196,78.1,88.7,84.6,53.8,15,11.4,106,303,90,7,371,225,29,97,27.8,5.8,2653,107,68.2,203,51,47,163,5,0.14,20,38,0,0,217,33.3
46,Raúl Albiol,DF,Villarreal,47,43,18,23,29,42,175,2,36.0,1635,388,909,320,83.7,86.6,91.8,67.2,0,0.3,4,98,5,1,118,19,1,15,26.7,2.3,2282,3,100.0,11,9,2,4,1,0.03,30,25,0,0,155,57.4
47,Marc Albrighton,"MF,DF",Leicester City,48,24,9,17,19,10,8,0,9.6,339,179,110,36,67.9,82.9,75.9,37.1,3,2.2,19,39,21,8,45,27,5,10,20.0,0.4,618,33,42.4,20,12,9,94,0,0.00,7,11,0,0,67,30.0
48,Paco Alcácer,FW,Villarreal,49,3,1,3,4,2,10,0,10.3,179,115,38,6,78.9,87.1,70.4,75.0,1,1.4,9,5,5,0,15,17,2,26,26.9,3.7,306,7,42.9,13,15,8,50,4,0.39,4,11,1,0,25,21.4
49,Paco Alcácer,FW,Dortmund,50,2,1,2,4,2,3,0,5.9,81,42,19,5,73.0,75.0,70.4,55.6,1,0.9,5,5,1,0,8,12,2,16,43.8,3.9,163,5,40.0,1,12,5,37,5,0.85,2,3,0,0,4,16.7
50,Thiago Alcántara,MF,Bayern Munich,51,45,12,26,12,45,13,1,19.7,1632,658,701,222,90.0,93.1,93.2,81.0,0,0.9,20,189,14,0,230,60,10,18,44.4,2.4,2029,83,85.5,27,28,19,43,3,0.15,24,13,0,0,195,48.6
51,Rubén Alcaraz,MF,Valladolid,52,61,30,30,46,15,41,0,21.4,830,316,353,148,77.9,86.3,86.9,59.7,2,1.0,16,99,4,1,100,51,4,33,24.2,1.9,1340,28,82.1,26,23,15,21,2,0.09,37,58,0,0,178,48.5
52,Toby Alderweireld,DF,Tottenham,53,40,11,29,48,31,172,2,32.9,1630,480,924,216,81.1,90.4,90.5,52.2,2,1.3,11,110,13,2,96,27,4,16,25.0,0.7,2349,1,0.0,11,9,5,10,2,0.06,18,4,0,1,154,50.0
53,Haitam Aleesami,DF,Amiens,54,36,18,16,33,34,59,1,21.3,906,523,316,38,75.8,87.6,71.0,42.2,1,1.2,14,75,10,4,120,29,3,2,50.0,0.4,1421,19,68.4,21,23,22,72,1,0.05,31,9,0,0,117,67.2
54,Álex Alegría,FW,Mallorca,55,1,0,0,2,0,0,0,1.2,21,15,2,2,61.8,75.0,40.0,100.0,0,0.0,0,1,0,0,3,1,0,0,,0.0,45,2,0.0,1,2,1,6,0,0.00,5,4,0,0,4,47.4
55,Carles Aleñá,MF,Barcelona,56,2,1,1,1,0,0,0,1.9,141,75,47,13,89.8,96.2,94.0,68.4,0,0.0,0,17,1,0,16,1,1,1,100.0,0.1,168,3,66.7,4,3,1,2,0,0.00,3,2,0,0,10,20.0
56,Carles Aleñá,"MF,FW",Betis,57,14,3,9,4,1,3,0,8.2,333,146,144,31,84.7,87.4,89.4,79.5,0,0.1,4,34,2,0,50,17,0,12,33.3,1.4,466,22,54.5,15,11,9,25,1,0.12,9,19,0,0,27,15.4
57,Rúnar Alex Rúnarsson,GK,Dijon,58,0,0,0,0,0,3,3,10.0,247,38,128,81,74.8,97.4,97.7,50.9,0,0.0,0,1,0,0,0,4,0,0,,0.0,350,0,,0,0,0,0,0,0.00,0,2,0,0,9,100.0
58,Trent Alexander-Arnold,DF,Liverpool,59,55,36,34,27,45,84,3,35.3,2278,993,912,315,70.5,90.7,73.0,45.0,13,10.9,87,190,88,31,247,155,24,44,29.5,2.8,3582,51,41.2,98,47,12,226,4,0.11,22,9,0,0,221,33.3
59,Enrico Alfonso,GK,Brescia,60,0,0,0,0,0,2,0,3.1,58,11,31,16,72.5,100.0,96.9,43.2,0,0.0,0,0,0,0,0,1,0,0,,0.0,85,0,,0,0,0,0,0,0.00,0,0,0,0,2,
60,Rachid Alioui,FW,Angers,61,8,2,5,3,2,9,0,17.4,345,199,100,14,72.5,78.3,74.6,56.0,1,1.3,18,19,9,2,35,45,2,58,37.9,5.2,631,22,72.7,24,40,17,108,6,0.35,24,34,0,0,40,40.6
61,Alisson,GK,Liverpool,62,0,0,0,0,1,13,3,28.3,820,204,414,199,86.6,100.0,97.6,63.4,1,0.3,1,7,0,0,1,5,2,0,,0.0,992,0,,0,0,0,0,0,0.00,1,1,0,0,63,100.0
62,Allan,MF,Napoli,63,50,18,27,19,16,11,1,14.2,726,367,272,65,86.2,91.5,91.0,76.5,1,1.1,15,74,10,2,82,46,4,12,58.3,0.5,1001,28,67.9,25,30,15,53,2,0.14,30,24,0,0,87,56.3
63,Dele Alli,"MF,FW",Tottenham,64,34,13,16,35,17,17,2,20.5,632,345,212,28,75.1,83.3,84.1,50.0,4,3.5,23,43,22,0,69,58,11,41,43.9,7.3,1128,66,43.9,56,50,41,152,7,0.34,12,33,0,0,103,33.9
64,Miguel Almirón,"MF,FW",Newcastle Utd,65,60,19,39,25,31,25,0,33.6,681,396,192,37,77.0,86.7,77.4,56.9,2,3.0,31,40,21,5,77,83,3,56,30.4,6.7,1291,93,49.5,120,80,35,160,4,0.12,30,59,0,0,189,24.3
65,Marcos Alonso,DF,Chelsea,66,28,14,16,18,20,32,0,15.9,916,496,347,47,80.6,87.8,84.0,49.0,2,2.6,25,39,29,14,69,49,6,30,26.7,2.6,1341,19,63.2,62,33,10,155,4,0.25,16,15,1,0,96,59.2
66,Mickaël Alphonse,DF,Dijon,67,39,23,25,19,17,64,0,15.3,491,209,223,51,66.7,83.3,72.6,38.9,1,0.7,8,32,12,6,44,19,2,6,0.0,0.2,935,22,68.2,37,19,10,45,0,0.00,16,13,0,1,70,78.3
67,Sergio Álvarez,"MF,DF",Eibar,68,37,8,22,16,17,26,1,12.7,308,111,154,39,70.3,76.6,81.5,45.3,0,0.1,5,37,2,0,40,9,0,4,0.0,0.2,558,9,88.9,6,6,4,6,0,0.00,24,7,0,0,70,40.7
68,Sergio Álvarez,GK,Celta Vigo,69,0,0,0,0,0,1,0,2.0,39,12,15,12,72.2,100.0,93.8,46.2,0,0.0,0,0,0,0,0,0,0,0,,0.0,56,0,,0,0,0,0,0,0.00,0,0,0,0,1,
69,Yeray Álvarez,DF,Athletic Club,70,36,17,19,33,62,138,2,31.2,1164,379,601,164,77.6,85.6,86.7,53.1,0,0.8,5,76,5,2,110,21,1,12,16.7,1.3,1821,17,82.4,29,14,5,4,0,0.00,18,32,0,0,167,60.1
70,Bruno Alves,DF,Parma,71,17,8,11,30,25,150,2,29.7,1107,181,602,314,82.2,80.8,89.5,74.8,0,0.5,7,74,4,1,99,26,0,24,4.2,1.3,1625,1,100.0,6,6,4,11,0,0.00,24,12,0,0,116,80.0
71,Steven Alzate,"MF,DF",Brighton,72,33,17,19,18,14,13,0,13.2,556,316,210,20,84.1,89.3,87.1,71.4,0,0.7,14,28,17,3,66,38,2,13,23.1,1.2,831,47,74.5,34,25,28,92,0,0.00,17,18,0,0,75,36.0
72,Ibrahim Amadou,"DF,MF",Norwich City,73,18,3,11,8,16,55,1,8.4,324,127,156,36,86.6,88.8,89.7,76.6,0,0.0,1,10,1,0,13,2,0,6,16.7,0.8,480,2,100.0,4,1,3,1,0,0.00,8,2,0,0,39,57.1
73,Ibrahim Amadou,MF,Leganés,74,16,4,9,5,12,6,0,8.6,222,121,81,10,79.3,85.8,82.7,55.6,0,0.0,2,19,1,0,20,3,0,5,20.0,0.7,342,6,66.7,9,5,3,10,0,0.00,15,6,0,0,42,57.6
74,Romain Amalfitano,MF,Dijon,75,43,21,27,23,36,14,2,18.8,702,304,304,84,78.2,88.1,82.6,55.3,1,1.2,12,73,14,4,94,35,2,11,18.2,0.4,1098,33,78.8,24,31,19,28,1,0.05,26,43,0,0,107,36.4
75,Amath,MF,Getafe,76,2,0,1,2,0,0,0,0.7,11,7,2,1,64.7,87.5,100.0,100.0,0,0.0,0,3,0,0,3,1,0,0,,0.0,34,10,50.0,0,3,2,4,0,0.00,3,4,0,0,4,100.0
76,Jordan Amavi,DF,Marseille,77,55,31,29,27,56,97,0,24.0,974,495,361,80,78.8,87.0,78.5,63.5,1,1.0,12,42,11,4,72,36,2,16,25.0,0.7,1591,52,57.7,62,32,19,92,1,0.04,41,19,0,0,126,73.3
77,Thierry Ambrose,FW,Metz,78,7,2,5,3,3,3,0,6.1,136,69,51,11,71.2,79.3,82.3,50.0,0,0.5,12,16,7,2,23,29,0,23,17.4,1.2,302,44,56.8,31,24,23,49,0,0.00,7,9,0,0,32,56.1
78,Kelvin Amian,DF,Toulouse,79,27,14,21,14,18,56,0,18.1,546,273,210,43,80.8,90.7,84.3,50.0,2,0.6,5,42,8,2,68,14,2,8,37.5,0.4,844,24,45.8,38,18,10,27,0,0.00,23,8,0,0,84,50.0
79,Nadiem Amiri,"MF,FW",Leverkusen,80,26,16,16,12,14,8,1,20.6,886,473,289,75,77.4,89.8,82.3,47.2,2,6.3,54,68,24,5,106,95,8,42,42.9,2.2,1355,44,68.2,53,41,19,95,1,0.05,27,39,1,0,140,34.6
80,Ethan Ampadu,DF,RB Leipzig,81,5,1,4,3,1,3,0,0.9,75,22,40,3,90.4,91.7,93.0,60.0,0,0.0,0,3,0,0,3,0,0,1,0.0,0.1,94,0,,0,0,0,0,0,0.00,0,0,0,0,3,100.0
81,Opoku Ampomah,"FW,MF",Düsseldorf,82,9,3,4,3,4,5,0,5.6,60,34,14,11,57.7,79.1,53.8,57.9,0,0.3,7,8,4,2,12,21,0,16,31.3,0.7,201,39,48.7,23,28,10,50,0,0.00,16,5,0,0,27,25.0
82,Sofyan Amrabat,MF,Hellas Verona,83,58,26,36,29,31,15,1,32.4,1510,578,713,170,86.9,89.6,92.1,76.2,1,2.4,29,153,29,9,199,81,7,18,33.3,1.3,2062,103,72.8,84,57,56,52,0,0.00,63,60,1,0,219,32.3
83,Joachim Andersen,DF,Lyon,84,17,7,9,16,10,74,2,17.0,1195,312,721,152,89.6,90.4,95.4,72.7,0,0.2,4,57,2,0,79,16,0,10,10.0,0.9,1480,3,100.0,6,3,2,1,1,0.06,17,3,0,0,84,69.4
84,Djavan Anderson,"FW,DF",Lazio,85,0,0,0,1,3,3,0,1.9,58,25,26,4,87.9,96.2,83.9,100.0,0,0.0,0,1,1,1,0,2,0,1,0.0,0.1,90,5,60.0,4,5,5,4,0,0.00,4,1,0,0,12,33.3
85,Felipe Anderson,"MF,FW",West Ham,86,46,11,32,19,22,11,0,16.6,727,440,207,58,76.9,83.5,80.5,65.2,4,3.1,25,56,34,4,100,67,11,23,34.8,2.5,1168,92,68.5,106,48,30,132,1,0.06,17,24,0,0,112,24.0
86,Sebastian Andersson,FW,Union Berlin,87,20,4,10,19,5,36,0,29.8,463,280,113,10,57.9,66.0,54.1,37.0,1,1.9,23,42,9,2,54,58,8,63,55.6,10.3,1167,52,40.4,34,94,67,204,11,0.37,62,40,0,0,89,54.0
87,Florin Andone,FW,Brighton,88,1,1,1,1,0,1,0,0.8,7,7,0,0,58.3,87.5,0.0,,0,0.1,1,0,0,0,0,0,0,1,100.0,0.4,34,7,28.6,2,5,1,4,1,1.23,2,3,0,0,6,80.0
88,Benjamin André,MF,Lille,89,72,29,44,32,59,40,1,22.8,965,469,344,70,78.1,86.2,80.2,58.8,1,0.9,15,104,5,3,130,39,4,14,21.4,0.9,1513,25,64.0,25,17,20,47,2,0.09,55,37,0,0,178,62.5
89,Lorenzo Andrenacci,GK,Brescia,90,1,1,0,0,0,0,0,5.9,124,18,61,45,76.5,100.0,100.0,54.2,0,0.0,0,0,0,0,0,0,0,0,,0.0,182,0,,0,0,0,0,0,0.00,0,0,0,0,4,100.0
90,Robert Andrich,MF,Union Berlin,91,52,19,27,27,47,36,0,28.6,857,389,339,71,70.6,79.1,75.0,45.2,2,2.1,32,109,30,9,151,83,6,49,14.3,2.6,1542,41,68.3,25,36,17,31,1,0.03,65,37,1,0,189,58.2
91,Victorien Angban,MF,Metz,92,23,11,18,9,8,5,0,11.4,542,259,224,42,87.4,90.6,91.8,72.4,0,0.1,3,51,3,0,70,13,0,4,0.0,0.1,708,21,71.4,25,18,17,17,0,0.00,18,26,0,0,87,47.1
92,Miguel Ángel Guerrero,FW,Leganés,93,1,1,0,4,2,4,0,8.8,145,96,35,4,74.7,82.8,70.0,40.0,0,0.6,8,8,4,0,17,20,2,13,30.8,1.8,256,11,72.7,10,19,13,37,1,0.11,16,8,0,0,13,35.4
93,José Ángel,DF,Eibar,94,54,26,31,23,33,61,1,26.2,990,406,395,167,66.1,84.8,71.6,43.0,1,2.8,27,105,36,24,154,64,6,24,29.2,0.8,1753,35,77.1,50,30,11,62,1,0.04,21,13,0,0,181,63.3
94,Miguel Ángel Moyá,GK,Real Sociedad,95,0,0,0,0,1,6,2,13.0,367,53,175,137,79.4,98.1,98.3,60.4,0,0.0,0,6,0,0,0,0,0,0,,0.0,491,2,100.0,0,0,0,0,0,0.00,0,1,0,0,26,100.0
95,Angeliño,DF,Manchester City,96,5,5,2,1,9,15,0,4.7,333,178,131,16,77.6,88.6,77.5,44.4,0,1.5,9,30,16,9,41,15,0,5,0.0,0.2,478,5,80.0,21,6,3,70,0,0.00,2,2,0,0,29,46.2
96,Angeliño,"DF,FW",RB Leipzig,97,15,5,9,14,19,24,0,12.2,574,282,208,56,74.8,87.0,79.4,47.9,2,2.0,19,42,22,7,56,41,5,5,40.0,0.9,881,25,80.0,24,15,6,92,1,0.08,12,16,0,0,73,25.0
97,Faustino Anjorin,FW,Chelsea,98,0,0,0,1,0,0,0,0.2,7,4,2,0,100.0,100.0,100.0,,0,0.0,0,1,0,0,1,0,0,1,0.0,0.0,12,2,50.0,1,1,1,1,0,0.00,0,1,0,0,1,
98,Peter Ankersen,DF,Genoa,99,16,4,4,19,9,25,1,11.8,495,296,160,17,81.5,90.2,78.8,48.6,1,0.6,6,16,11,6,36,19,1,13,23.1,0.4,732,13,46.2,16,17,10,65,0,0.00,9,12,0,0,57,66.7
99,Cristian Ansaldi,"DF,MF",Torino,100,37,19,25,23,14,20,4,19.6,571,249,198,111,69.7,89.6,71.0,51.4,4,3.3,33,57,49,39,66,59,8,29,27.6,1.9,1068,73,49.3,90,40,29,124,4,0.20,28,30,0,0,109,33.3
100,Janis Antiste,MF,Toulouse,101,0,0,0,0,0,0,0,0.1,0,0,0,0,0.0,,,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,3,0,,1,1,1,1,0,0.00,0,0,0,0,0,
101,Michail Antonio,FW,West Ham,102,13,4,9,17,9,5,0,19.6,329,189,85,26,62.8,75.6,62.0,50.0,3,3.7,25,18,17,7,39,71,9,67,44.8,12.1,818,103,63.1,53,73,45,178,9,0.46,41,35,0,0,62,44.9
102,Antoñito,"DF,MF",Valladolid,103,26,12,18,9,15,20,1,11.4,326,174,124,22,70.3,84.9,72.5,34.9,0,0.9,9,31,8,5,30,19,0,1,0.0,0.1,582,15,40.0,22,13,4,45,0,0.00,18,7,0,0,58,63.6
