,Unnamed: 0_x,Player,Pos,Squad,Rk,Tkl,Tkl.1,TklW,Blocks,Int,Clr,Err,90s,Cmp,Cmp.1,Cmp.2,Cmp.3,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Ast,xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,GCA,Sh,SoT%,npxG,Touches,Att,Succ%,PrgC,Mis,Dis,PrgR,G-PK,G-PK.1,Fls,Fld,PKwon,OG,Recov,Won%,Unnamed: 0_y,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
0,4,Mehdi Abeid,MF,Nantes,5,55.0,20.0,29,16.0,23,8.0,1.0,20.2,792.0,392.0,313.0,59.0,81.9,92.0,88.4,46.1,2,1.8,27.0,80.0,6.0,2.0,104.0,53.0,4.0,33,21.2,1.5,1159.0,23.0,69.6,25.0,24.0,21.0,42.0,1,0.05,55,43,0.0,0,153.0,43.3,16013,FC Nantes,Mehdi Abeid,28.0,Central Midfield,Al-Nasr,€1.50m,out,Winter,1.5,Ligue 1,2020,2020/2021
1,6,David Abraham,DF,Eint Frankfurt,7,21.0,15.0,14,27.0,25,61.0,1.0,18.8,738.0,249.0,379.0,105.0,81.0,86.8,85.2,67.3,0,0.1,2.0,66.0,8.0,2.0,99.0,13.0,1.0,7,57.1,1.6,1075.0,9.0,77.8,18.0,6.0,3.0,12.0,2,0.11,14,12,0.0,0,125.0,61.5,12833,Eintracht Frankfurt,David Abraham,34.0,Centre-Back,CA Huracán,free transfer,out,Winter,0.0,1 Bundesliga,2020,2020/2021
2,13,Antonio Adán,GK,Atlético Madrid,14,0.0,0.0,0,0.0,0,0.0,0.0,0.3,4.0,2.0,1.0,1.0,66.7,100.0,100.0,33.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,7.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,,15398,Atlético de Madrid,Antonio Adán,33.0,Goalkeeper,Sporting CP,free transfer,out,Summer,0.0,Primera Division,2020,2020/2021
3,23,Kevin Agudelo,"MF,FW",Fiorentina,24,2.0,0.0,1,1.0,1,0.0,0.0,0.7,29.0,18.0,8.0,2.0,78.4,78.3,88.9,66.7,0,0.1,2.0,2.0,1.0,0.0,4.0,7.0,1.0,4,0.0,0.2,50.0,3.0,100.0,1.0,0.0,2.0,8.0,0,0.0,3,1,0.0,0,6.0,0.0,25479,Genoa CFC,Kevin Agudelo,21.0,Right Winger,Spezia Calcio,Loan fee:€100Th.,out,Summer,0.1,Serie A,2020,2020/2021
4,24,Kevin Agudelo,"MF,FW",Genoa,25,23.0,10.0,14,12.0,6,2.0,0.0,7.4,239.0,143.0,70.0,12.0,81.6,88.8,87.5,66.7,1,1.6,12.0,21.0,5.0,0.0,41.0,32.0,2.0,10,20.0,1.2,387.0,35.0,71.4,39.0,15.0,15.0,34.0,1,0.14,20,11,0.0,0,30.0,33.3,25479,Genoa CFC,Kevin Agudelo,21.0,Right Winger,Spezia Calcio,Loan fee:€100Th.,out,Summer,0.1,Serie A,2020,2020/2021
5,25,Nayef Aguerd,DF,Dijon,26,13.0,8.0,9,11.0,18,54.0,0.0,10.6,492.0,160.0,239.0,90.0,82.4,93.6,88.8,62.9,0,0.0,0.0,23.0,0.0,0.0,27.0,4.0,1.0,4,25.0,0.3,717.0,4.0,75.0,0.0,4.0,3.0,0.0,1,0.09,13,6,0.0,0,55.0,76.8,15828,Dijon FCO,Nayef Aguerd,24.0,Centre-Back,Stade Rennais,€4.00m,out,Summer,4.0,Ligue 1,2020,2020/2021
6,31,Ola Aina,DF,Torino,32,45.0,17.0,24,24.0,41,61.0,0.0,23.1,862.0,488.0,282.0,77.0,72.7,86.5,74.4,44.0,2,2.5,22.0,57.0,17.0,13.0,80.0,55.0,6.0,12,16.7,0.4,1478.0,78.0,60.3,86.0,32.0,21.0,80.0,0,0.0,25,36,0.0,0,130.0,51.9,25976,Torino FC,Ola Aina,23.0,Right-Back,Fulham,Loan fee:€2.50m,out,Summer,2.5,Serie A,2020,2020/2021
7,34,Albian Ajeti,FW,West Ham,35,1.0,0.0,0,0.0,0,0.0,0.0,1.5,12.0,9.0,1.0,0.0,80.0,75.0,100.0,,0,0.1,2.0,1.0,0.0,0.0,0.0,2.0,0.0,3,0.0,0.2,28.0,2.0,0.0,0.0,4.0,2.0,10.0,0,0.0,6,0,0.0,0,2.0,9.1,22108,West Ham United,Albian Ajeti,23.0,Centre-Forward,Celtic,€5.50m,out,Summer,5.5,Premier League,2020,2020/2021
8,37,Marley Aké,"FW,MF",Marseille,38,2.0,1.0,2,0.0,1,1.0,0.0,1.1,25.0,12.0,8.0,2.0,89.3,92.3,80.0,100.0,0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,3,0.0,0.1,40.0,5.0,80.0,1.0,1.0,0.0,6.0,0,0.0,3,3,0.0,0,4.0,0.0,15967,Olympique Marseille,Marley Aké,20.0,Left Winger,Juventus U23,€8.00m,out,Winter,8.0,Ligue 1,2020,2020/2021
9,39,Chadrac Akolo,"FW,MF",Amiens,40,16.0,5.0,8,6.0,5,5.0,0.0,6.0,169.0,104.0,55.0,5.0,80.9,89.7,79.7,50.0,1,1.3,6.0,17.0,3.0,0.0,26.0,13.0,2.0,9,44.4,1.1,280.0,12.0,41.7,11.0,14.0,15.0,53.0,2,0.33,9,8,0.0,0,36.0,28.6,12788,VfB Stuttgart,Chadrac Akolo,25.0,Right Winger,Amiens SC,€3.50m,out,Summer,3.5,1 Bundesliga,2020,2020/2021
10,57,Rúnar Alex Rúnarsson,GK,Dijon,58,0.0,0.0,0,0.0,0,3.0,3.0,10.0,247.0,38.0,128.0,81.0,74.8,97.4,97.7,50.9,0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0,,0.0,350.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0,0,9.0,100.0,15829,Dijon FCO,Rúnar Alex Rúnarsson,25.0,Goalkeeper,Arsenal,€2.00m,out,Summer,2.0,Ligue 1,2020,2020/2021
11,62,Allan,MF,Napoli,63,50.0,18.0,27,19.0,16,11.0,1.0,14.2,726.0,367.0,272.0,65.0,86.2,91.5,91.0,76.5,1,1.1,15.0,74.0,10.0,2.0,82.0,46.0,4.0,12,58.3,0.5,1001.0,28.0,67.9,25.0,30.0,15.0,53.0,2,0.14,30,24,0.0,0,87.0,56.3,25711,SSC Napoli,Allan,29.0,Defensive Midfield,Everton,€23.60m,out,Summer,23.6,Serie A,2020,2020/2021
