,Unnamed: 0_x,Player,Pos,Squad,Rk,Tkl,Tkl.1,TklW,Blocks,Int,Clr,Err,90s,Cmp,Cmp.1,Cmp.2,Cmp.3,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Ast,xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,GCA,Sh,SoT%,npxG,Touches,Att,Succ%,PrgC,Mis,Dis,PrgR,G-PK,G-PK.1,Fls,Fld,PKwon,OG,Recov,Won%,Unnamed: 0_y,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
12,83,Joachim Andersen,DF,Lyon,84,17.0,7.0,9,16.0,10,74.0,2.0,17.0,1195.0,312.0,721.0,152.0,89.6,90.4,95.4,72.7,0,0.2,4.0,57.0,2.0,0.0,79.0,16.0,0.0,10,10.0,0.9,1480.0,3.0,100.0,6.0,3.0,2.0,1.0,1,0.06,17,3,0.0,0,84.0,69.4,15576,Olympique Lyon,Joachim Andersen,24.0,Centre-Back,Fulham,Loan fee:€1.00m,out,Summer,1.0,Ligue 1,2020,2020/2021
13,86,Sebastian Andersson,FW,Union Berlin,87,20.0,4.0,10,19.0,5,36.0,0.0,29.8,463.0,280.0,113.0,10.0,57.9,66.0,54.1,37.0,1,1.9,23.0,42.0,9.0,2.0,54.0,58.0,8.0,63,55.6,10.3,1167.0,52.0,40.4,34.0,94.0,67.0,204.0,11,0.37,62,40,0.0,0,89.0,54.0,12575,1.FC Union Berlin,Sebastian Andersson,29.0,Centre-Forward,1. FC Köln,€6.50m,out,Summer,6.5,1 Bundesliga,2020,2020/2021
14,102,Antoñito,"DF,MF",Valladolid,103,26.0,12.0,18,9.0,15,20.0,1.0,11.4,326.0,174.0,124.0,22.0,70.3,84.9,72.5,34.9,0,0.9,9.0,31.0,8.0,5.0,30.0,19.0,0.0,1,0.0,0.1,582.0,15.0,40.0,22.0,13.0,4.0,45.0,0,0.0,18,7,0.0,0,58.0,63.6,15700,Real Valladolid CF,Antoñito,32.0,Right-Back,Panathinaikos,free transfer,out,Summer,0.0,Primera Division,2020,2020/2021
15,104,Vitorino Antunes,MF,Getafe,105,0.0,0.0,0,0.0,0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,,15503,Getafe CF,Vitorino Antunes,33.0,Left-Back,Sporting CP,free transfer,out,Summer,0.0,Primera Division,2020,2020/2021
16,108,Adil Aouchiche,MF,Paris S-G,109,3.0,2.0,2,3.0,0,0.0,0.0,0.7,22.0,16.0,3.0,3.0,71.0,76.2,75.0,75.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,,0.0,40.0,3.0,100.0,0.0,3.0,0.0,3.0,0,0.0,1,0,0.0,0,5.0,,15408,Paris Saint-Germain,Adil Aouchiche,18.0,Attacking Midfield,Saint-Étienne,free transfer,out,Summer,0.0,Ligue 1,2020,2020/2021
17,119,Santiago Arias,DF,Atlético Madrid,120,36.0,10.0,24,12.0,19,20.0,1.0,12.0,482.0,271.0,154.0,28.0,74.5,88.6,72.3,40.0,1,2.1,11.0,20.0,19.0,3.0,45.0,23.0,2.0,6,33.3,0.5,769.0,7.0,71.4,27.0,11.0,3.0,76.0,0,0.0,8,16,0.0,0,60.0,51.2,15395,Atlético de Madrid,Santiago Arias,28.0,Right-Back,Bay. Leverkusen,Loan fee:€3.00m,out,Summer,3.0,Primera Division,2020,2020/2021
18,138,Tommaso Augello,DF,Sampdoria,139,14.0,5.0,9,8.0,15,21.0,1.0,12.6,632.0,345.0,242.0,38.0,76.8,88.7,76.3,46.9,2,1.2,18.0,54.0,25.0,14.0,77.0,44.0,5.0,0,,0.0,903.0,26.0,73.1,43.0,12.0,12.0,87.0,0,0.0,6,4,0.0,0,87.0,72.2,25944,Spezia Calcio,Tommaso Augello,26.0,Left-Back,Sampdoria,€1.50m,out,Summer,1.5,Serie A,2020,2020/2021
19,139,Jean-Kévin Augustin,FW,Monaco,140,3.0,1.0,0,2.0,3,0.0,0.0,3.0,33.0,22.0,8.0,1.0,82.5,78.6,100.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,7,42.9,0.5,74.0,9.0,44.4,6.0,9.0,6.0,17.0,0,0.0,2,7,1.0,0,11.0,0.0,12380,RB Leipzig,Jean-Kévin Augustin,23.0,Centre-Forward,FC Nantes,free transfer,out,Summer,0.0,1 Bundesliga,2020,2020/2021
20,142,Mathias Autret,"MF,FW",Brest,143,23.0,8.0,17,14.0,10,3.0,0.0,13.6,373.0,178.0,142.0,43.0,66.0,82.4,72.4,39.4,3,2.8,30.0,39.0,23.0,7.0,63.0,60.0,5.0,27,33.3,1.8,715.0,20.0,20.0,32.0,37.0,14.0,83.0,2,0.15,14,6,0.0,0,62.0,18.2,15758,Stade Brestois 29,Mathias Autret,29.0,Attacking Midfield,AJ Auxerre,free transfer,out,Summer,0.0,Ligue 1,2020,2020/2021
21,156,Milan Badelj,MF,Fiorentina,157,29.0,15.0,17,21.0,45,34.0,1.0,17.6,768.0,332.0,334.0,86.0,81.3,87.6,86.3,66.2,0,0.7,20.0,115.0,9.0,0.0,103.0,47.0,1.0,15,13.3,1.1,1144.0,24.0,83.3,20.0,18.0,18.0,29.0,1,0.06,17,19,0.0,0,109.0,43.5,25655,SS Lazio,Milan Badelj,31.0,Defensive Midfield,Genoa,€1.95m,out,Summer,1.95,Serie A,2020,2020/2021
22,168,Tiemoué Bakayoko,MF,Monaco,169,48.0,29.0,24,12.0,29,17.0,0.0,19.1,811.0,425.0,299.0,64.0,84.4,86.7,87.9,78.0,2,1.2,10.0,74.0,12.0,0.0,112.0,39.0,4.0,24,29.2,2.1,1195.0,57.0,63.2,30.0,31.0,30.0,56.0,1,0.05,34,58,0.0,0,156.0,72.5,21727,Chelsea FC,Tiemoué Bakayoko,26.0,Defensive Midfield,SSC Napoli,Loan fee:€1.75m,out,Summer,1.75,Premier League,2020,2020/2021
23,171,Ridle Baku,"DF,MF",Mainz 05,172,54.0,26.0,31,45.0,42,57.0,0.0,26.1,827.0,389.0,321.0,91.0,70.9,82.1,73.5,51.1,3,3.4,27.0,81.0,36.0,16.0,109.0,82.0,12.0,22,27.3,1.0,1510.0,59.0,55.9,42.0,40.0,22.0,118.0,1,0.04,33,41,0.0,0,180.0,46.2,12642,1.FSV Mainz 05,Ridle Baku,22.0,Right Midfield,VfL Wolfsburg,€10.00m,out,Summer,10.0,1 Bundesliga,2020,2020/2021
24,173,Keita Baldé,"FW,MF",Monaco,174,6.0,3.0,5,4.0,2,7.0,1.0,9.5,191.0,121.0,55.0,5.0,67.0,76.6,69.6,26.3,1,0.7,6.0,9.0,6.0,1.0,23.0,30.0,5.0,28,46.4,4.0,391.0,8.0,62.5,27.0,24.0,10.0,78.0,4,0.42,12,15,1.0,0,21.0,41.7,15647,AS Monaco,Keita Baldé,25.0,Centre-Forward,Sampdoria,Loan fee:€1.80m,out,Summer,1.8,Ligue 1,2020,2020/2021
25,177,Leonardo Balerdi,"DF,MF",Dortmund,178,2.0,2.0,1,0.0,4,3.0,0.0,1.5,115.0,53.0,45.0,15.0,87.1,88.3,95.7,88.2,0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0,,0.0,143.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1,0,0.0,0,12.0,0.0,12359,Borussia Dortmund,Leonardo Balerdi,21.0,Centre-Back,Marseille,Loan fee:€1.00m,out,Summer,1.0,1 Bundesliga,2020,2020/2021
26,184,Éver Banega,MF,Sevilla,185,43.0,21.0,28,19.0,15,5.0,0.0,27.5,1959.0,763.0,785.0,340.0,81.6,90.5,87.3,68.0,7,6.1,59.0,262.0,28.0,5.0,363.0,132.0,11.0,38,21.1,1.6,2633.0,81.0,72.8,66.0,52.0,38.0,77.0,1,0.04,31,57,0.0,0,199.0,43.2,15426,Sevilla FC,Éver Banega,32.0,Central Midfield,Al-Shabab,free transfer,out,Summer,0.0,Primera Division,2020,2020/2021
27,185,Mattia Bani,DF,Bologna,186,47.0,25.0,28,29.0,52,92.0,2.0,24.5,936.0,308.0,501.0,116.0,80.1,86.0,86.2,58.9,0,0.1,2.0,46.0,1.0,1.0,72.0,11.0,1.0,16,43.8,3.7,1442.0,2.0,50.0,6.0,13.0,2.0,7.0,4,0.16,44,35,0.0,0,111.0,58.6,25314,Bologna FC 1909,Mattia Bani,26.0,Centre-Back,Genoa,€5.00m,out,Summer,5.0,Serie A,2020,2020/2021
28,185,Mattia Bani,DF,Bologna,186,47.0,25.0,28,29.0,52,92.0,2.0,24.5,936.0,308.0,501.0,116.0,80.1,86.0,86.2,58.9,0,0.1,2.0,46.0,1.0,1.0,72.0,11.0,1.0,16,43.8,3.7,1442.0,2.0,50.0,6.0,13.0,2.0,7.0,4,0.16,44,35,0.0,0,111.0,58.6,26105,Genoa CFC,Mattia Bani,27.0,Centre-Back,Parma,Loan fee:€1.50m,out,Winter,1.5,Serie A,2020,2020/2021
29,193,Nicolò Barella,MF,Inter,194,36.0,8.0,21,20.0,14,14.0,0.0,22.4,1007.0,460.0,381.0,124.0,81.4,88.8,85.4,74.7,4,1.7,23.0,124.0,30.0,6.0,183.0,61.0,5.0,24,20.8,2.1,1462.0,54.0,66.7,47.0,37.0,23.0,98.0,1,0.04,39,37,1.0,0,147.0,45.2,25344,Cagliari Calcio,Nicolò Barella,23.0,Central Midfield,Inter,€32.50m,out,Summer,32.5,Serie A,2020,2020/2021
30,201,Antonio Barragán,DF,Betis,202,7.0,3.0,5,2.0,8,22.0,0.0,7.1,377.0,186.0,152.0,25.0,80.6,92.1,81.7,45.5,1,0.6,7.0,29.0,19.0,4.0,49.0,20.0,4.0,2,0.0,0.1,525.0,4.0,50.0,15.0,7.0,2.0,56.0,0,0.0,9,13,0.0,0,36.0,50.0,15664,Real Betis Balompié,Antonio Barragán,33.0,Right-Back,Elche CF,free transfer,out,Summer,0.0,Primera Division,2020,2020/2021
31,208,Fin Bartels,"MF,FW",Werder Bremen,209,9.0,3.0,5,3.0,1,1.0,0.0,3.8,110.0,52.0,46.0,8.0,71.9,75.4,80.7,61.5,0,0.3,4.0,10.0,3.0,1.0,20.0,11.0,0.0,7,42.9,0.3,203.0,11.0,54.5,9.0,13.0,3.0,32.0,0,0.0,8,0,0.0,0,16.0,28.6,12729,SV Werder Bremen,Fin Bartels,33.0,Right Winger,Holstein Kiel,free transfer,out,Summer,0.0,1 Bundesliga,2020,2020/2021
32,216,Borja Bastón,"MF,FW",Aston Villa,217,1.0,0.0,0,1.0,0,0.0,1.0,0.2,4.0,2.0,2.0,0.0,66.7,66.7,100.0,,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,,0.0,8.0,0.0,,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,1.0,0.0,21634,Aston Villa,Borja Bastón,28.0,Centre-Forward,CD Leganés,free transfer,out,Summer,0.0,Premier League,2020,2020/2021
33,218,Bastos,DF,Lazio,219,9.0,4.0,5,13.0,13,26.0,0.0,8.5,374.0,177.0,154.0,31.0,88.6,94.7,92.2,67.4,0,0.0,0.0,19.0,1.0,0.0,17.0,7.0,0.0,7,28.6,0.4,512.0,16.0,75.0,14.0,4.0,3.0,11.0,1,0.12,15,6,0.0,1,32.0,45.8,25657,SS Lazio,Bastos,29.0,Centre-Back,Al-Ain,€500Th.,out,Summer,0.5,Serie A,2020,2020/2021
34,234,Gaëtan Belaud,DF,Brest,235,13.0,4.0,7,8.0,15,15.0,0.0,6.4,290.0,122.0,128.0,39.0,78.0,89.7,83.1,52.7,0,0.2,2.0,19.0,2.0,1.0,36.0,6.0,0.0,3,0.0,0.1,440.0,8.0,50.0,3.0,3.0,0.0,17.0,0,0.0,6,5,0.0,0,27.0,36.8,15760,Stade Brestois 29,Gaëtan Belaud,33.0,Right-Back,Paris FC,free transfer,out,Summer,0.0,Ligue 1,2020,2020/2021
35,247,Marco Benassi,MF,Fiorentina,248,18.0,10.0,12,11.0,4,9.0,0.0,10.9,259.0,124.0,112.0,10.0,73.8,80.5,78.3,41.7,1,1.3,16.0,24.0,9.0,4.0,36.0,26.0,2.0,20,20.0,1.0,452.0,12.0,58.3,18.0,19.0,8.0,67.0,1,0.09,23,6,0.0,0,51.0,31.3,25420,ACF Fiorentina,Marco Benassi,26.0,Central Midfield,Hellas Verona,Loan fee:€800Th.,out,Summer,0.8,Serie A,2020,2020/2021
36,260,Yassine Benrahou,"FW,MF",Bordeaux,261,3.0,2.0,0,1.0,2,1.0,0.0,1.9,82.0,43.0,24.0,5.0,76.6,87.8,72.7,55.6,2,0.9,6.0,2.0,3.0,1.0,8.0,10.0,1.0,3,0.0,0.2,131.0,7.0,57.1,4.0,7.0,2.0,20.0,0,0.0,1,3,0.0,0,11.0,16.7,15713,FC Girondins Bordeaux,Yassine Benrahou,21.0,Attacking Midfield,Nîmes Olympique,€1.50m,out,Summer,1.5,Ligue 1,2020,2020/2021
37,261,Yassine Benrahou,"MF,FW",Nîmes,262,13.0,5.0,8,1.0,2,0.0,0.0,8.5,212.0,102.0,64.0,31.0,65.6,81.0,71.1,37.8,3,3.1,19.0,21.0,6.0,1.0,30.0,44.0,5.0,23,43.5,2.0,452.0,36.0,47.2,17.0,48.0,36.0,46.0,2,0.24,9,27,0.0,0,48.0,7.7,15713,FC Girondins Bordeaux,Yassine Benrahou,21.0,Attacking Midfield,Nîmes Olympique,€1.50m,out,Summer,1.5,Ligue 1,2020,2020/2021
38,271,Álex Berenguer,"MF,DF",Torino,272,20.0,8.0,6,17.0,18,17.0,0.0,20.3,582.0,347.0,155.0,50.0,73.6,88.1,70.8,45.9,2,4.0,35.0,42.0,30.0,5.0,77.0,85.0,8.0,40,35.0,4.0,1061.0,104.0,62.5,97.0,55.0,48.0,121.0,6,0.3,28,40,0.0,0,106.0,25.9,25974,Torino FC,Álex Berenguer,25.0,Right Winger,Athletic,€12.00m,out,Summer,12.0,Serie A,2020,2020/2021
39,278,Etrit Berisha,GK,SPAL,279,3.0,2.0,2,0.0,1,9.0,0.0,26.0,620.0,126.0,253.0,239.0,70.5,100.0,96.9,49.3,0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0,,0.0,955.0,1.0,100.0,0.0,1.0,0.0,0.0,0,0.0,0,5,0.0,0,42.0,87.5,25240,Atalanta BC,Etrit Berisha,31.0,Goalkeeper,SPAL,€3.50m,out,Summer,3.5,Serie A,2020,2020/2021
40,279,Valon Berisha,MF,Lazio,280,1.0,1.0,1,0.0,0,1.0,0.0,0.4,4.0,3.0,1.0,0.0,66.7,100.0,50.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,9.0,0.0,,1.0,1.0,0.0,1.0,0,0.0,1,0,0.0,0,2.0,0.0,25654,SS Lazio,Valon Berisha,27.0,Central Midfield,Stade Reims,€4.50m,out,Summer,4.5,Serie A,2020,2020/2021
41,280,Valon Berisha,MF,Düsseldorf,281,14.0,6.0,9,4.0,9,8.0,0.0,10.5,322.0,172.0,108.0,27.0,81.3,88.2,87.1,64.3,1,0.7,13.0,24.0,9.0,2.0,35.0,21.0,1.0,12,16.7,0.9,484.0,3.0,33.3,10.0,17.0,10.0,54.0,0,0.0,12,7,0.0,0,49.0,35.3,25654,SS Lazio,Valon Berisha,27.0,Central Midfield,Stade Reims,€4.50m,out,Summer,4.5,Serie A,2020,2020/2021
42,285,Paul Bernardoni,GK,Nîmes,286,0.0,0.0,0,0.0,0,11.0,1.0,24.5,441.0,71.0,189.0,179.0,62.2,100.0,97.9,40.9,0,0.0,0.0,16.0,1.0,0.0,0.0,5.0,1.0,0,,0.0,782.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0,5,0.0,0,19.0,85.7,15711,FC Girondins Bordeaux,Paul Bernardoni,23.0,Goalkeeper,Angers SCO,€7.50m,out,Summer,7.5,Ligue 1,2020,2020/2021
43,294,Lucas Biglia,MF,Milan,295,13.0,4.0,7,12.0,7,10.0,1.0,7.6,388.0,191.0,155.0,30.0,89.4,90.5,92.8,78.9,1,0.3,6.0,45.0,1.0,0.0,33.0,12.0,1.0,6,16.7,0.3,506.0,4.0,50.0,6.0,8.0,4.0,1.0,0,0.0,22,7,0.0,0,44.0,63.2,25691,AC Milan,Lucas Biglia,34.0,Defensive Midfield,Karagümrük,free transfer,out,Summer,0.0,Serie A,2020,2020/2021
44,302,Leonardo Bittencourt,MF,Hoffenheim,303,1.0,0.0,1,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,50.0,0.0,100.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,6.0,0.0,,2.0,0.0,0.0,1.0,0,0.0,1,2,0.0,0,2.0,,12435,TSG 1899 Hoffenheim,Leonardo Bittencourt,26.0,Attacking Midfield,Werder Bremen,€7.00m,out,Summer,7.0,1 Bundesliga,2020,2020/2021
45,303,Leonardo Bittencourt,"FW,MF",Werder Bremen,304,52.0,9.0,28,20.0,12,14.0,0.0,21.0,662.0,400.0,194.0,37.0,73.1,86.0,69.5,49.3,2,2.4,33.0,38.0,26.0,14.0,57.0,78.0,4.0,42,26.2,2.9,1189.0,45.0,31.1,58.0,60.0,29.0,162.0,4,0.19,52,50,0.0,0,99.0,27.0,12435,TSG 1899 Hoffenheim,Leonardo Bittencourt,26.0,Attacking Midfield,Werder Bremen,€7.00m,out,Summer,7.0,1 Bundesliga,2020,2020/2021
46,311,Kevin-Prince Boateng,FW,Fiorentina,312,3.0,2.0,1,3.0,1,7.0,0.0,6.7,152.0,88.0,41.0,19.0,78.8,83.8,73.2,82.6,0,0.3,7.0,12.0,1.0,0.0,19.0,21.0,2.0,18,16.7,1.3,260.0,9.0,66.7,3.0,12.0,5.0,40.0,1,0.15,12,21,0.0,0,11.0,37.0,25425,ACF Fiorentina,Kevin-Prince Boateng,33.0,Attacking Midfield,Monza,free transfer,out,Summer,0.0,Serie A,2020,2020/2021
47,323,Giacomo Bonaventura,"MF,FW",Milan,324,16.0,5.0,9,8.0,7,10.0,0.0,14.9,570.0,335.0,163.0,32.0,82.4,88.6,86.2,59.3,5,2.5,26.0,35.0,25.0,1.0,75.0,78.0,13.0,44,31.8,3.3,860.0,30.0,73.3,35.0,34.0,16.0,87.0,3,0.2,20,33,1.0,0,62.0,40.0,25693,AC Milan,Giacomo Bonaventura,31.0,Central Midfield,Fiorentina,free transfer,out,Summer,0.0,Serie A,2020,2020/2021
48,324,Federico Bonazzoli,FW,Sampdoria,325,7.0,0.0,5,3.0,5,2.0,0.0,8.3,147.0,73.0,45.0,21.0,70.0,76.8,72.6,77.8,0,0.7,11.0,12.0,4.0,0.0,19.0,37.0,3.0,43,34.9,3.6,325.0,20.0,45.0,24.0,18.0,9.0,53.0,6,0.73,17,35,0.0,0,40.0,18.8,25854,UC Sampdoria,Federico Bonazzoli,23.0,Centre-Forward,Torino,Loan fee:€1.50m,out,Summer,1.5,Serie A,2020,2020/2021
49,326,Kevin Bonifazi,DF,Torino,327,9.0,5.0,8,3.0,5,10.0,0.0,2.7,80.0,31.0,42.0,6.0,82.5,93.9,89.4,42.9,0,0.0,1.0,4.0,0.0,0.0,5.0,1.0,0.0,3,33.3,0.3,127.0,1.0,100.0,0.0,1.0,1.0,0.0,1,0.36,4,1,0.0,0,19.0,60.0,25975,Torino FC,Kevin Bonifazi,24.0,Centre-Back,SPAL,€11.00m,out,Summer,11.0,Serie A,2020,2020/2021
50,327,Kevin Bonifazi,DF,SPAL,328,16.0,9.0,9,20.0,35,50.0,2.0,13.2,565.0,230.0,268.0,58.0,85.7,92.0,91.8,59.2,0,0.2,1.0,28.0,1.0,0.0,33.0,5.0,0.0,5,20.0,1.2,803.0,15.0,80.0,10.0,9.0,5.0,1.0,1,0.08,12,2,0.0,0,100.0,83.3,25975,Torino FC,Kevin Bonifazi,24.0,Centre-Back,SPAL,€11.00m,out,Summer,11.0,Serie A,2020,2020/2021
51,340,Sofiane Boufal,"MF,FW",Southampton,341,16.0,6.0,8,17.0,4,1.0,0.0,8.5,232.0,145.0,66.0,12.0,72.3,80.6,71.7,44.4,2,2.9,15.0,24.0,8.0,2.0,41.0,40.0,2.0,18,38.9,1.0,496.0,86.0,61.6,48.0,33.0,40.0,67.0,0,0.0,25,20,0.0,0,45.0,38.9,22031,Southampton FC,Sofiane Boufal,27.0,Left Winger,Angers SCO,free transfer,out,Summer,0.0,Premier League,2020,2020/2021
52,346,Bilal Boutobba,MF,Montpellier,347,0.0,0.0,0,0.0,0,0.0,0.0,0.1,2.0,0.0,2.0,0.0,40.0,0.0,66.7,,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,,0.0,6.0,1.0,100.0,1.0,0.0,0.0,4.0,0,0.0,0,0,0.0,0,0.0,,15594,Montpellier HSC,Bilal Boutobba,21.0,Right Winger,Chamois Niort,free transfer,out,Summer,0.0,Ligue 1,2020,2020/2021
