,Name,position,market_value_in_eur,age in days,contract expiry,Rating
82,Cheick Doucouré,3,35000000.0,8436,1591,3.3811604304396417
83,Désiré Doué,3,15000000.0,6466,1226,5.239888952126302
84,Ondrej Duda,3,4000000.0,10299,1226,2.1599352968254597
85,Alfred Duncan,3,4500000.0,10929,496,2.0692633493883923
86,Éderson,3,27000000.0,8622,1226,4.151894944014112
87,Maximilian Eggestein,3,10000000.0,9566,861,2.7679705114230817
88,Harvey Elliott,3,30000000.0,7255,1591,5.229906421279203
89,Mohamed Elyounoussi,3,6000000.0,10420,1591,3.347692598196518
90,Wataru Endo,3,13000000.0,10960,1591,5.08967244620257
91,Arne Engels,3,7500000.0,7101,1591,1.5617600895456296
92,Christian Eriksen,3,13000000.0,11320,861,4.402881091777597
93,Gonzalo Escalante,3,2000000.0,10912,1226,2.693431231634659
94,Eberechi Eze,3,48000000.0,8995,1591,5.934556017370225
95,Nicolò Fagioli,3,15000000.0,8037,1956,3.0950631756417653
96,Khalil Fayad,3,5000000.0,6825,1591,2.7514296565056946
97,Jacopo Fazzini,3,6000000.0,7273,1591,3.087759102194076
98,Álex Fernández,3,2500000.0,11079,861,2.3079802197331896
99,Enzo Fernández,3,80000000.0,8062,3051,3.9196568924732422
100,Jordan Ferri,3,5000000.0,11292,1226,2.9009355307806675
101,Youssouf Fofana,3,28000000.0,8799,861,4.540475901367326
102,Philipp Förster,3,2500000.0,10235,496,3.7964810039800394
103,Davide Frattesi,3,30000000.0,8547,496,4.585934371626045
104,Fred,3,19000000.0,10934,1591,4.64827385083856
105,Remo Freuler,3,6500000.0,11259,1226,1.5493352902841624
106,Roberto Gagliardini,3,4000000.0,10537,496,3.1424623656395902
107,Iñigo Ruiz de Galarreta,3,5000000.0,10783,861,2.00157694202977
108,Conor Gallagher,3,42000000.0,8408,861,5.2604433091256135
109,James Garner,3,20000000.0,8006,1226,2.352300071078905
110,Johan Gastien,3,600000.0,12799,861,3.968707960410888
111,Gavi,3,90000000.0,6769,1226,4.267398610584083
112,Aleksandr Golovin,3,30000000.0,9754,1226,6.353357556995694
113,Angel Gomes,3,20000000.0,8203,861,3.9207972531143422
114,Nicolás González,3,40000000.0,9078,1956,3.747188293356868
115,Nicolás González,4,40000000.0,9078,1956,3.5447851771424146
116,Ryan Gravenberch,3,35000000.0,7578,1956,4.171287933072731
117,Bruno Guimarães,3,85000000.0,9223,1956,5.06522021518259
118,Gerard Gumbau,3,3500000.0,10286,496,4.025515220414109
119,İlkay Gündoğan,3,18000000.0,11800,861,5.54378813422661
120,Morten Hjulmand,3,26000000.0,8634,1956,3.4159713379113885
121,Nicolas Höfler,3,2000000.0,12025,0,3.0725461079628524
122,Alex Iwobi,3,28000000.0,9781,1956,4.801834678870735
123,Vitaly Janelt,3,22000000.0,9044,1226,2.878007533340749
124,Mathias Jensen,3,30000000.0,9903,1226,4.285327031609646
125,Joelinton,3,42000000.0,9680,861,6.102189521527086
126,Curtis Jones,3,30000000.0,8049,1591,4.480882686213813
127,Frenkie de Jong,3,80000000.0,9407,1226,5.614780577513475
128,Joan Jordán,3,5000000.0,10448,1591,2.285865660894052
129,Jorginho,3,15000000.0,11379,496,2.4731798719706948
130,Daichi Kamada,3,20000000.0,9689,496,5.046543072078471
131,Boubacar Kamara,3,38000000.0,8486,1591,2.4888867864605038
132,Kevin Kampl,3,3500000.0,11815,1226,2.95236724810087
133,Atakan Karazor,3,8000000.0,9621,1226,2.5355720492953946
134,Yannik Keitel,3,4000000.0,8399,496,2.601944371703654
135,Rani Khedira,3,8000000.0,10607,0,1.6068403217898306
136,Joshua Kimmich,3,75000000.0,10231,861,6.089490756771787
137,Dominik Kohr,3,3500000.0,10603,1226,3.2558056523033
138,Koke,3,14000000.0,11356,496,2.5633129071947884
139,Geoffrey Kondogbia,3,15000000.0,10954,1591,2.962585695408632
140,Teun Koopmeiners,3,40000000.0,9116,1591,5.756250527061949
141,Rominigue Kouamé,3,2500000.0,9557,1226,3.776752405390491
142,Cheikhou Kouyaté,3,1000000.0,12108,496,2.9616995833663413
143,Christoph Kramer,3,2000000.0,11680,861,2.400485543312064
144,Toni Kroos,3,14000000.0,12090,496,5.1409218739135145
145,Konrad Laimer,3,28000000.0,9392,1591,4.483337474239854
146,Roméo Lavia,3,50000000.0,6978,2686,2.510174859072261
147,Enzo Le Fée,3,20000000.0,8411,1956,6.453802602489094
148,Johann Lepenant,3,8000000.0,7422,1591,3.247199568337427
149,Giovani Lo Celso,3,16000000.0,9805,861,5.469581601751294
150,Stanislav Lobotka,3,35000000.0,10309,1591,2.68948837364849
151,Ruben Loftus-Cheek,3,25000000.0,9881,1591,3.9933075467562062
152,Dion Lopy,3,6000000.0,7682,2321,3.616100961088263
153,Anthony Losilla,3,500000.0,13484,861,3.309262354180126
154,Douglas Luiz,3,60000000.0,9045,1226,4.850974594355563
155,Alexis Mac Allister,3,65000000.0,8820,1956,4.852377461088704
156,Giulio Maggiore,3,4500000.0,9102,1226,1.4226321698493356
157,Yohann Magnin,3,2500000.0,9368,861,2.771856114322933
158,Arne Maier,3,4500000.0,8801,861,2.802469015994653
159,Lovro Majer,3,25000000.0,9157,1956,5.5740277265555065
160,Jean-Victor Makengo,3,8000000.0,9012,1591,1.8185578130494056
161,Youssef Maleh,3,4500000.0,8942,496,1.7569914002648277
162,Rolando Mandragora,3,8500000.0,9360,1226,4.083629735228924
163,Orel Mangala,3,22000000.0,9096,496,1.7635619554101194
164,Răzvan Marin,3,2500000.0,9761,496,3.339305722590894
165,Eric Martel,3,9000000.0,7595,1226,3.4181626882389864
166,Iván Martín,3,10000000.0,8765,1226,3.4243001735766607
167,Omar Mascarell,3,1000000.0,10967,1226,3.109701134610412
168,Han-Noah Massengo,3,4000000.0,7892,1591,2.276426782000463
169,Eliot Matazo,3,6000000.0,7669,496,2.099260191559008
170,Azor Matusiwa,3,10000000.0,9056,1956,3.4116623002799265
171,John McGinn,3,30000000.0,10346,1591,3.537601069086767
172,Weston McKennie,3,23000000.0,8936,861,2.661701812793569
173,Scott McTominay,3,28000000.0,9566,861,4.010203828596275
174,Soualiho Meïté,3,3000000.0,10557,496,2.401943798888738
175,Gonzalo Melero,3,3000000.0,10632,1226,3.5651846283697965
176,Brais Méndez,3,40000000.0,9532,1956,5.524900373633651
177,Batista Mendy,3,8000000.0,8432,1591,2.3807897231952366
178,Nampalys Mendy,3,3000000.0,11191,861,2.013187483193484
179,Mikel Merino,3,50000000.0,9732,861,6.1715304516473335
180,Luis Milla,3,2500000.0,10357,1591,2.3734880588596856
181,Enzo Millot,3,25000000.0,7517,1956,4.601135023575139
182,James Milner,3,1000000.0,13550,496,4.023305625222639
183,Fabio Miretti,3,15000000.0,7136,1591,3.1748898253352094
184,Henrikh Mkhitaryan,3,6000000.0,12438,1226,3.912645400090392
185,Florent Mollet,3,2000000.0,11410,861,3.6060218102354793
186,Jon Moncayola,3,9000000.0,9041,3051,3.1631004237294373
187,Ilaix Moriba,3,3000000.0,7330,496,3.5257655461499606
188,Manu Morlanes,3,2500000.0,8797,1956,1.196137017495504
189,Nikola Moro,3,6500000.0,9102,1591,4.425951200217762
190,João Moutinho,3,800000.0,13306,496,2.9554502394655917
191,João Moutinho,2,800000.0,13306,496,3.365616447939705
192,Samuel Moutoussamy,3,4000000.0,9682,496,2.848580901810097
193,Marshall Munetsi,3,12000000.0,9732,1591,4.865482460930681
194,Yunus Musah,3,23000000.0,7385,1956,2.997736125177896
195,Hans Nicolussi Caviglia,3,3000000.0,8276,1226,1.4687887668465245
196,Saúl Ñíguez,3,12000000.0,10313,1226,4.973769223006651
197,Felix Nmecha,3,25000000.0,8164,1956,4.680315558440633
198,Matheus Nunes,3,55000000.0,8937,1956,3.6136516634479854
199,Christian Nørgaard,3,20000000.0,10564,861,3.700163320167357
200,Pedro Obiang,3,500000.0,11277,861,1.5463254246698983
201,Brian Ocampo,3,1200000.0,8634,1226,2.512481039136974
202,Finn Ole Becker,3,3000000.0,8286,1226,1.6844439602589214
203,Amadou Onana,3,50000000.0,7853,1591,3.390817033239312
204,Jean Onana,3,3700000.0,8436,496,3.419882872995017
205,Frank Onyeka,3,9000000.0,9173,1591,2.96703756131234
206,Aimar Oroz,3,15000000.0,7752,1226,4.334438640795352
207,Pedro Ortiz,3,400000.0,8215,496,1.5840632904528933
208,Patrick Osterhage,3,5500000.0,8413,1226,1.1774387302126872
209,Azzedine Ounahi,3,12000000.0,8335,1591,5.367005988440473
210,Salih Özcan,3,13000000.0,9163,1226,2.539668806824671
211,Exequiel Palacios,3,40000000.0,8899,1956,4.001968294083353
212,João Palhinha,3,60000000.0,10080,1956,3.3593338553791274
213,Cole Palmer,3,45000000.0,7588,2686,5.732180281470265
214,Leandro Paredes,3,8000000.0,10455,861,3.3815715361091567
215,Thomas Partey,3,25000000.0,10836,861,4.07992069690954
216,Pedri,3,90000000.0,7389,1226,5.474032525414321
217,Carles Pérez,3,4000000.0,9128,1591,5.036492363079715
218,Kike Pérez,3,3000000.0,9495,496,3.9124336268408095
219,Matteo Pessina,3,15000000.0,9428,1591,4.385858633683517
220,Tommaso Pobega,3,12000000.0,8614,1591,2.771500648829676
221,Julien Ponceau,3,3000000.0,8116,861,4.014963755975455
222,Portu,3,3500000.0,11223,1591,2.906826657886394
223,Grischa Prömel,3,7000000.0,10260,1226,2.3049174239667605
224,Adrien Rabiot,3,40000000.0,10176,496,6.013575731242367
225,Aaron Ramsey,3,15000000.0,7328,1956,4.310626853376763
226,Jacob Ramsey,3,42000000.0,7931,1591,5.821554927044785
227,Harrison Reed,3,18000000.0,10242,1591,3.5158551547876398
228,Jeff Reine-Adélaïde,3,3000000.0,9157,496,5.108366174888366
229,Reinier,3,4000000.0,7695,496,3.112711148674685
230,Marco Reus,3,7000000.0,12308,496,4.708368101437715
231,Samuele Ricci,3,20000000.0,7848,1226,2.78647859627638
232,Declan Rice,3,110000000.0,8795,1956,4.8179691588435
233,Rodrigo Riquelme,3,25000000.0,8352,1956,5.177048658299183
