,Player,Pos,Squad,Rk,Tkl,Tkl,TklW,Blocks,Int,Clr,Err,90s,Cmp,Cmp,Cmp,Cmp,Cmp%,Cmp%,Cmp%,Cmp%,Ast,xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,GCA,Sh,SoT%,npxG,Touches,Att,Succ%,PrgC,Mis,Dis,PrgR,G-PK,G-PK,Fls,Fld,PKwon,OG,Recov,Won%
0,Patrick van Aanholt,DF,Crystal Palace,1,47,16,32,24,47,64,2,24.3,884,479,311,74,75.2,90.0,72.2,48.7,1,2.1,18,63,28,6,92,46,4,33,33.3,3.1,1435,31,83.9,46,37,18,86,5,0.21,18,10,0,0,162,54.5
1,Rolando Aarons,"MF,FW",Newcastle Utd,2,4,4,4,3,1,0,0,1.5,29,24,2,2,65.9,80.0,40.0,66.7,0,0.0,0,2,1,1,3,1,0,2,0.0,0.1,65,6,66.7,7,4,6,4,0,0.00,1,3,0,0,9,25.0
2,Rolando Aarons,"MF,FW",Hellas Verona,3,13,1,8,3,2,0,0,5.7,87,50,25,4,72.5,83.3,71.4,50.0,0,0.2,3,8,7,1,17,5,0,3,0.0,0.2,166,15,53.3,9,9,13,31,0,0.00,9,11,0,0,19,37.5
3,Ignazio Abate,DF,Milan,4,20,6,17,22,8,29,0,11.7,625,273,287,58,80.5,92.9,86.2,48.3,0,0.5,10,55,20,7,81,27,4,4,50.0,0.2,864,1,0.0,20,7,6,65,1,0.09,12,8,0,0,56,55.6
4,Aymen Abdennour,DF,Marseille,5,7,4,3,5,4,20,0,5.5,310,126,148,24,93.1,98.4,95.5,70.6,0,0.0,0,8,0,0,12,2,0,2,50.0,0.1,375,1,100.0,2,0,1,0,0,0.00,9,6,0,0,32,50.0
5,Aly Abeid,DF,Levante,6,2,0,1,1,3,3,0,0.9,29,17,10,2,76.3,89.5,83.3,40.0,0,0.1,1,0,1,1,1,2,0,0,,0.0,49,1,100.0,2,0,0,3,0,0.00,1,0,0,0,5,33.3
6,Mehdi Abeid,MF,Dijon,7,23,8,15,11,18,25,2,13.1,513,231,219,44,84.8,87.5,89.4,71.0,1,0.3,7,33,1,0,49,19,1,21,28.6,1.0,752,20,70.0,20,24,21,14,0,0.00,29,16,0,0,93,44.8
7,David Abraham,DF,Eint Frankfurt,8,40,27,32,29,40,141,1,25.6,1088,348,547,178,82.4,89.0,89.5,60.8,2,0.7,7,77,3,2,103,20,2,7,14.3,0.4,1580,10,80.0,17,8,5,7,0,0.00,11,20,0,1,113,65.0
8,Tammy Abraham,FW,Swansea City,9,10,1,8,8,1,11,0,19.2,206,123,56,10,65.6,71.1,62.9,45.5,1,1.6,12,16,6,2,20,42,2,42,31.0,6.8,498,47,57.4,19,50,51,104,5,0.26,15,27,0,0,41,40.2
9,Amir Abrashi,MF,Freiburg,10,35,16,32,22,19,20,0,9.4,248,103,116,24,77.3,78.0,79.5,75.0,0,0.4,3,22,6,1,38,14,2,5,0.0,0.2,435,5,80.0,8,14,19,18,0,0.00,20,27,0,0,55,50.0
10,Francesco Acerbi,DF,Sassuolo,11,51,22,32,42,88,255,1,38.0,1391,349,782,249,84.3,90.2,89.3,69.2,0,0.7,10,106,2,1,141,30,0,15,13.3,1.0,2124,23,73.9,35,26,9,14,0,0.00,31,32,0,1,260,72.0
11,Afriyie Acquah,MF,Torino,12,8,1,6,8,16,10,2,10.6,405,204,166,23,84.7,92.7,87.8,57.5,0,0.6,6,38,2,0,60,17,0,9,33.3,0.4,562,24,66.7,24,13,14,24,1,0.09,17,14,0,0,68,41.4
12,Charlie Adam,MF,Stoke City,13,9,5,5,2,9,11,2,4.6,168,51,72,45,58.9,77.3,75.0,42.1,0,1.2,6,28,7,4,30,17,1,9,22.2,0.9,342,12,100.0,6,7,5,9,0,0.00,8,8,0,0,40,63.6
13,Antonio Adán,GK,Betis,14,1,1,0,1,0,11,2,30.0,868,125,444,298,69.1,100.0,96.1,44.9,2,0.7,4,8,0,0,0,5,2,0,,0.0,1327,5,100.0,0,6,0,0,0,0.00,1,3,0,0,41,80.0
