,Player,Pos,Squad,Rk,Tkl,Tkl,TklW,Blocks,Int,Clr,Err,90s,Cmp,Cmp,Cmp,Cmp,Cmp%,Cmp%,Cmp%,Cmp%,Ast,xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,GCA,Sh,SoT%,npxG,Touches,Att,Succ%,PrgC,Mis,Dis,PrgR,G-PK,G-PK,Fls,Fld,PKwon,OG,Recov,Won%
14,Aday,DF,Girona,15,17,6,15,19,25,52,1,20.4,738,386,261,77,70.5,85.8,74.6,41.0,0,1.6,20,36,30,22,61,56,3,31,38.7,1.3,1259,42,64.3,82,25,23,156,1,0.05,39,15,0,1,97,69.8
15,Khaled Adénon,DF,Amiens,16,38,15,24,42,65,221,1,32.5,960,309,490,149,83.0,87.8,89.9,66.8,1,0.2,2,34,2,0,51,15,1,5,20.0,0.6,1562,7,57.1,6,12,7,1,0,0.00,50,39,0,0,195,58.2
16,Claud Adjapong,"DF,FW",Sassuolo,17,35,11,26,16,23,37,0,13.6,363,167,166,21,71.3,84.8,73.1,39.6,0,1.1,11,28,5,2,42,25,2,14,28.6,0.8,691,19,47.4,31,23,24,54,0,0.00,24,19,0,0,80,50.0
17,René Adler,GK,Mainz 05,18,1,1,1,0,0,8,1,14.0,283,28,143,112,64.0,100.0,96.6,42.6,0,0.3,1,8,0,0,0,5,0,0,,0.0,476,0,,0,4,0,0,0,0.00,1,4,0,0,33,100.0
18,Yacine Adli,FW,Paris S-G,19,0,0,0,0,0,0,0,0.1,7,4,1,2,100.0,100.0,100.0,100.0,0,0.0,0,3,0,0,3,0,0,0,,0.0,7,0,,0,0,0,0,0,0.00,0,0,0,0,0,
19,Ali Adnan Kadhim,"DF,FW",Udinese,20,54,29,35,31,41,90,0,18.6,585,245,247,79,66.3,80.3,69.0,46.2,1,1.7,20,38,14,9,58,38,4,12,25.0,0.5,1142,33,75.8,25,19,15,56,0,0.00,21,22,0,1,94,60.0
20,Adrián,GK,West Ham,21,2,1,1,1,0,15,1,19.0,266,12,51,203,46.6,100.0,98.1,40.4,0,0.0,0,13,1,0,0,2,1,0,,0.0,641,0,,0,0,0,0,0,0.00,1,3,0,0,20,66.7
21,Aritz Aduriz,FW,Athletic Club,22,11,1,8,6,3,18,0,23.9,337,218,86,12,65.1,73.6,60.1,40.0,1,1.5,11,41,11,0,45,35,2,56,41.1,7.6,702,24,79.2,27,43,42,150,6,0.25,42,39,0,0,45,56.3
22,Ibrahim Afellay,MF,Stoke City,23,3,1,3,1,1,1,0,1.8,72,29,35,6,87.8,90.6,89.7,75.0,0,0.0,0,6,0,0,4,0,0,0,,0.0,89,1,100.0,0,1,3,1,0,0.00,1,0,0,0,15,
23,Benik Afobe,FW,Bournemouth,24,4,1,3,4,0,6,0,6.8,113,77,27,0,73.4,75.5,71.1,0.0,0,0.1,2,8,2,0,9,11,1,8,37.5,1.6,219,9,77.8,12,28,5,37,0,0.00,9,13,1,0,17,36.7
24,Martin Agirregabiria,DF,Alavés,25,50,32,33,13,41,66,0,20.3,634,366,207,47,71.7,83.9,71.9,45.2,4,1.5,13,46,12,9,48,25,5,3,33.3,0.1,1114,34,47.1,24,20,10,54,0,0.00,19,18,0,0,120,56.7
25,Imanol Agirretxe,FW,Real Sociedad,26,0,0,0,0,0,2,0,2.6,38,24,9,1,63.3,75.0,56.3,33.3,0,0.0,0,1,0,0,5,2,2,6,33.3,1.2,78,3,100.0,1,8,4,8,0,0.00,1,4,1,0,6,44.4
26,Sergio Agüero,FW,Manchester City,27,9,2,6,12,6,3,0,21.8,529,360,107,11,81.4,88.9,76.4,84.6,6,5.6,40,25,24,0,49,80,12,90,42.2,13.1,894,84,66.7,89,56,43,214,17,0.78,10,17,0,0,59,34.5
27,Ruben Aguilar,DF,Montpellier,28,91,36,50,25,37,90,0,27.3,1186,751,330,66,76.8,90.3,70.5,44.9,2,3.7,36,91,32,21,130,72,7,16,25.0,0.7,1894,48,62.5,97,34,27,160,0,0.00,29,49,0,0,174,44.4
28,Matías Aguirregaray,DF,Las Palmas,29,26,12,20,13,24,25,0,12.8,519,272,188,40,74.4,89.5,72.3,42.6,0,0.6,5,42,18,5,57,19,2,9,0.0,0.6,830,23,60.9,23,12,15,49,0,0.00,19,21,0,0,87,45.2
29,Jean-Eudes Aholou,MF,Strasbourg,30,70,17,34,29,75,58,1,33.4,1162,495,473,146,85.5,89.2,89.9,74.5,0,1.0,13,101,5,0,131,42,6,39,17.9,2.2,1694,50,78.0,32,38,27,22,5,0.15,46,49,0,0,261,50.5
30,Ailton,"DF,MF",Stuttgart,31,8,4,5,5,2,5,0,1.2,45,21,16,7,69.2,87.5,69.6,50.0,0,0.1,2,2,2,2,4,2,0,1,0.0,0.0,86,6,50.0,2,2,0,3,0,0.00,3,3,0,0,9,66.7
31,Youssef Aït Bennasser,MF,Caen,32,47,15,28,35,32,30,0,22.7,936,338,420,153,82.5,88.0,87.0,71.8,0,0.7,12,148,7,1,178,53,1,23,13.0,0.7,1357,51,84.3,37,18,34,27,0,0.00,20,26,0,0,207,41.8
32,Arlind Ajeti,DF,Crotone,33,42,18,23,27,34,82,0,14.1,282,89,140,51,77.9,85.6,84.8,60.7,1,1.0,4,16,1,0,20,14,2,8,0.0,0.9,553,6,83.3,2,6,4,0,0,0.00,19,6,0,0,75,42.6
33,Manuel Akanji,DF,Dortmund,34,22,15,15,11,7,43,2,10.0,527,174,303,43,85.3,89.2,91.3,55.8,0,0.1,1,43,4,0,47,7,1,5,40.0,0.2,714,4,100.0,15,6,4,7,0,0.00,9,4,0,0,35,48.3
34,Nathan Aké,DF,Bournemouth,35,53,22,32,47,48,246,2,37.3,1344,437,737,159,83.5,85.7,88.5,66.3,3,1.9,9,89,3,0,96,20,5,18,44.4,1.4,2048,11,90.9,14,12,6,10,2,0.05,27,19,0,0,178,53.9
35,Ager Aketxe,MF,Athletic Club,36,1,1,1,1,1,0,0,0.4,32,18,9,3,76.2,85.7,81.8,42.9,0,0.0,0,3,0,0,6,3,1,2,0.0,0.1,49,1,0.0,1,0,3,3,0,0.00,1,0,0,0,6,0.0
36,Chadrac Akolo,"MF,FW",Stuttgart,37,20,6,14,19,5,5,0,12.2,237,128,80,14,74.8,85.9,72.1,58.3,0,1.0,14,23,15,6,35,37,4,32,46.9,4.0,460,44,36.4,27,18,25,75,5,0.41,13,12,0,0,43,28.6
37,Kevin Akpoguma,DF,Hoffenheim,38,47,24,39,18,22,60,1,18.8,876,370,434,60,85.8,92.3,92.3,47.2,1,1.4,7,69,4,1,85,15,1,5,40.0,0.2,1190,14,71.4,23,11,5,8,0,0.00,22,17,0,1,91,56.3
38,David Alaba,DF,Bayern Munich,39,23,14,14,21,10,23,0,17.2,1126,538,502,62,84.2,92.0,85.4,58.5,2,2.3,22,90,23,12,110,53,4,24,29.2,1.3,1479,34,35.3,53,7,5,178,2,0.12,9,6,0,0,85,46.9
39,Lucas Alario,FW,Leverkusen,40,16,3,10,17,4,16,0,17.2,303,204,70,8,73.9,78.8,79.5,44.4,4,1.8,14,21,6,0,28,40,7,56,35.7,8.9,610,40,55.0,16,40,36,111,8,0.46,40,41,1,0,38,33.8
40,David Alba,DF,Getafe,41,1,1,1,0,0,7,1,0.7,7,2,3,2,77.8,66.7,75.0,100.0,0,0.0,0,2,0,0,2,0,0,0,,0.0,17,0,,0,0,0,0,0,0.00,3,0,0,0,3,33.3
41,Jordi Alba,DF,Barcelona,42,63,26,42,34,68,67,1,30.5,2074,1320,597,91,85.8,93.2,83.4,65.9,8,6.1,38,99,39,4,135,64,11,15,33.3,2.1,2688,33,69.7,58,30,14,314,2,0.07,35,21,0,0,189,41.7
42,Raúl Albentosa,DF,La Coruña,43,13,7,6,26,26,92,1,19.4,607,136,334,135,78.3,84.0,86.5,63.1,0,0.2,3,28,1,0,27,6,0,11,18.2,1.5,955,3,66.7,1,6,0,5,1,0.05,15,14,0,0,73,68.4
43,Luis Alberto,"FW,MF",Lazio,44,39,10,28,30,16,7,0,29.7,1362,705,420,157,73.3,86.7,74.7,48.3,14,11.8,89,201,81,7,272,183,25,79,29.1,5.7,2136,86,68.6,126,56,54,179,10,0.34,19,36,1,0,145,34.2
44,Raúl Albiol,DF,Napoli,45,29,13,19,18,32,129,1,30.5,2241,726,1055,418,89.3,93.8,91.5,80.9,1,1.3,7,186,4,0,231,24,3,17,41.2,1.4,2760,5,40.0,27,6,3,4,3,0.10,28,18,0,0,216,64.3
45,Miiko Albornoz,"DF,MF",Hannover 96,46,24,11,20,15,5,23,0,7.8,325,158,122,27,76.8,90.3,78.7,45.0,0,1.4,8,17,10,8,25,20,3,4,25.0,0.2,509,13,69.2,10,3,4,19,0,0.00,9,14,0,0,31,37.0
46,Marc Albrighton,"MF,FW",Leicester City,47,52,16,33,32,27,34,0,28.2,771,365,259,122,59.4,83.7,63.5,36.2,7,5.7,46,98,36,19,114,79,11,20,30.0,1.6,1581,95,54.7,64,47,38,162,2,0.07,20,26,0,0,172,42.3
47,Paco Alcácer,"MF,FW",Barcelona,48,4,0,3,5,11,3,0,7.7,188,116,46,5,80.3,86.6,82.1,45.5,3,2.1,10,7,8,1,13,15,5,15,46.7,3.9,297,10,30.0,6,16,7,42,4,0.52,2,9,0,0,28,29.2
48,Pedro Alcalá,DF,Girona,49,9,1,5,7,14,41,0,7.7,208,50,111,46,70.5,84.7,82.8,49.5,0,0.2,1,24,1,0,24,6,0,8,37.5,1.0,379,5,100.0,3,5,0,0,1,0.13,11,3,0,0,26,63.3
49,Thiago Alcántara,"MF,FW",Bayern Munich,50,45,15,35,22,27,6,1,13.9,1187,455,555,159,90.6,92.9,93.3,82.4,2,1.9,29,174,17,0,183,60,5,24,29.2,2.5,1460,42,57.1,30,11,15,80,2,0.14,24,14,1,0,77,55.3
50,David Alcibiade,DF,Nantes,51,9,2,5,5,7,8,0,2.3,69,27,31,9,74.2,90.0,81.6,40.9,1,0.4,2,6,2,1,6,3,1,2,0.0,0.1,124,0,,2,1,1,2,0,0.00,2,2,0,0,10,83.3
51,Toby Alderweireld,DF,Tottenham,52,19,8,13,11,4,55,0,13.1,793,176,459,153,85.2,93.6,92.5,64.8,0,0.1,3,102,7,1,109,20,0,10,10.0,0.4,1049,7,85.7,12,4,0,5,0,0.00,8,1,0,0,57,32.6
52,Steve Aldo One,DF,La Coruña,53,1,0,0,0,0,7,0,1.0,18,5,10,3,81.8,83.3,83.3,75.0,0,0.0,0,0,0,0,0,0,0,0,,0.0,31,0,,0,0,0,0,0,0.00,1,0,0,0,3,100.0
53,Álex Alegría,FW,Levante,54,8,2,5,7,4,9,0,7.0,111,73,33,0,67.7,73.7,75.0,0.0,0,0.2,3,10,2,0,8,11,2,14,14.3,1.1,255,6,16.7,2,38,20,29,0,0.00,16,18,0,0,16,50.0
54,Iván Alejo,"MF,FW",Eibar,55,20,1,16,9,5,1,0,12.2,182,111,54,15,53.5,73.5,54.5,28.8,3,2.1,17,11,26,19,20,31,3,13,23.1,0.5,500,72,45.8,71,46,18,125,1,0.08,25,45,0,0,67,43.5
55,Alexander,"MF,FW",Leganés,56,14,2,11,11,22,4,0,11.8,219,141,47,14,68.4,82.0,58.8,48.3,2,2.5,19,13,14,6,26,35,4,19,26.3,1.4,456,17,41.2,17,36,19,72,1,0.08,19,18,1,0,56,33.3
56,Trent Alexander-Arnold,DF,Liverpool,57,37,22,25,20,28,46,1,17.5,963,408,418,117,73.6,89.1,76.6,48.1,1,2.6,25,76,25,6,94,42,3,12,41.7,1.0,1487,33,60.6,39,18,13,126,1,0.06,12,1,0,0,133,22.7
57,Alexis,DF,Alavés,58,33,20,24,28,30,114,3,24.3,544,205,249,79,73.2,86.5,74.6,54.1,0,0.3,5,27,3,0,34,15,1,13,23.1,1.2,984,8,75.0,5,8,3,11,1,0.04,20,14,0,1,112,60.9
58,Alisson,GK,Roma,59,1,0,0,0,2,22,4,37.0,1090,127,518,443,82.4,100.0,98.7,66.4,0,0.0,1,15,0,0,0,5,1,0,,0.0,1405,6,100.0,0,3,0,0,0,0.00,1,3,0,0,69,100.0
59,Allan,MF,Napoli,60,107,36,68,52,28,16,0,31.7,1572,967,470,68,86.1,91.4,87.5,64.2,5,3.6,34,172,45,2,186,102,14,37,32.4,3.8,2220,120,65.8,83,49,72,135,4,0.13,37,47,0,0,244,25.0
60,Joe Allen,MF,Stoke City,61,96,27,62,43,58,68,1,34.9,1114,547,437,75,79.4,88.2,82.3,58.6,6,2.8,31,116,26,4,165,74,12,24,16.7,1.8,1781,55,80.0,37,54,68,89,2,0.06,49,49,0,0,244,37.9
61,Dele Alli,"MF,FW",Tottenham,62,46,8,30,33,19,22,1,32.9,985,541,342,63,76.1,83.6,82.6,57.8,10,8.2,63,104,55,1,181,133,19,69,24.6,9.1,1726,105,41.9,100,98,89,359,9,0.27,43,84,1,0,181,36.4
62,Júnior Alonso,DF,Lille,63,58,28,31,26,56,153,1,30.9,1523,455,821,217,80.8,90.5,87.8,56.7,1,0.5,11,84,5,2,114,27,3,16,25.0,1.1,2219,18,83.3,19,14,11,14,2,0.06,34,9,0,1,219,67.9
63,José Alonso Lara,MF,Sevilla,64,0,0,0,0,0,0,0,0.1,3,2,1,0,75.0,100.0,100.0,0.0,0,0.0,0,1,0,0,0,0,0,0,,0.0,5,1,100.0,0,0,1,2,0,0.00,0,0,0,0,0,
64,Marcos Alonso,"DF,MF",Chelsea,65,51,23,33,36,47,76,1,31.7,1333,656,555,86,77.5,87.4,83.5,48.9,2,2.8,34,55,26,11,103,81,7,65,33.8,4.1,2084,33,51.5,78,42,24,261,7,0.22,26,31,0,0,193,53.2
65,Ricky Álvarez,MF,Sampdoria,66,4,1,2,5,2,3,0,3.0,134,82,44,7,74.9,84.5,80.0,38.9,1,0.5,6,9,6,2,13,12,0,10,30.0,0.4,221,10,30.0,7,6,7,30,1,0.34,5,4,0,0,15,42.9
66,Sergio Álvarez,GK,Celta Vigo,67,0,0,0,1,0,11,1,16.4,424,30,234,160,67.7,100.0,97.9,45.3,0,0.1,1,7,1,0,0,3,0,0,,0.0,671,1,100.0,0,0,0,1,0,0.00,0,5,0,0,25,83.3
67,Yeray Álvarez,DF,Athletic Club,68,12,6,7,8,11,18,0,7.5,385,101,207,74,82.3,84.9,90.4,66.7,0,0.1,2,36,1,0,41,11,1,1,0.0,0.1,522,5,80.0,10,4,2,1,0,0.00,12,10,0,0,66,52.0
68,Dani Alves,DF,Paris S-G,69,80,33,57,24,28,21,0,22.9,1777,1075,366,159,85.5,93.1,82.2,67.1,7,5.0,47,141,63,22,168,84,12,27,18.5,1.4,2299,42,66.7,76,20,30,144,1,0.04,38,34,0,0,160,45.7
69,Ibrahim Amadou,"MF,DF",Lille,70,43,14,29,30,41,70,3,26.7,1378,483,688,187,87.2,92.5,92.0,71.9,0,0.4,10,96,4,1,114,27,0,16,12.5,0.9,1803,13,84.6,18,18,11,19,0,0.00,23,17,0,0,177,55.0
70,Eloi Amagat,MF,Girona,71,0,0,0,0,0,0,0,0.2,8,3,4,1,88.9,100.0,80.0,100.0,0,0.0,0,2,0,0,3,0,0,2,0.0,0.2,11,0,,0,0,0,0,0,0.00,0,0,0,0,0,
71,Morgan Amalfitano,"MF,FW",Rennes,72,8,2,5,6,4,7,0,8.3,221,135,57,9,79.8,93.1,81.4,29.0,0,0.5,6,23,4,1,24,18,2,11,27.3,1.0,338,12,75.0,16,10,17,34,0,0.00,8,14,0,0,39,14.3
72,Romain Amalfitano,MF,Dijon,73,59,25,37,29,85,35,2,30.0,1148,449,481,181,81.3,88.9,89.6,64.4,3,1.8,23,121,23,4,146,53,4,12,0.0,0.3,1742,71,66.2,50,56,48,46,0,0.00,35,52,0,0,228,31.0
73,Daniel Amartey,DF,Leicester City,74,8,3,4,7,7,21,1,5.4,239,129,83,20,77.1,90.8,76.1,44.4,0,0.0,0,14,0,0,14,2,1,0,,0.0,362,5,80.0,5,3,4,4,0,0.00,5,7,0,0,30,58.8
74,Jordi Amat,"DF,MF",Betis,75,32,11,23,14,38,77,2,22.7,1444,497,782,152,89.7,92.4,94.1,75.6,0,0.1,5,77,3,0,101,18,1,7,14.3,0.4,1791,22,81.8,13,8,2,5,0,0.00,38,10,0,1,112,49.2
75,Amath,"MF,FW",Getafe,76,78,24,53,36,33,20,0,31.8,390,211,121,29,65.4,73.3,70.8,50.9,3,2.7,23,47,17,3,66,61,4,42,31.0,4.4,1017,98,43.9,66,91,67,158,3,0.09,72,62,0,0,183,28.8
76,Jordan Amavi,DF,Marseille,77,52,23,35,28,45,86,1,24.4,1102,585,379,84,80.4,90.7,80.3,60.4,5,2.0,21,57,17,9,90,53,8,20,25.0,0.6,1681,71,62.0,70,31,26,83,0,0.00,30,22,0,0,170,66.7
77,Stephan Ambrosius,DF,Hamburger SV,78,0,0,0,2,1,4,0,0.5,32,10,20,1,91.4,100.0,100.0,33.3,0,0.0,0,0,0,0,2,0,0,0,,0.0,41,0,,1,0,0,0,0,0.00,0,0,0,0,3,0.0
78,Kelvin Amian,DF,Toulouse,79,59,22,43,25,45,127,1,35.0,1013,503,387,103,77.7,88.6,81.6,52.6,1,1.1,11,86,16,9,107,33,4,15,40.0,1.4,1634,34,55.9,41,34,20,83,1,0.03,28,15,0,0,155,48.6
79,Nadiem Amiri,MF,Hoffenheim,80,39,19,26,33,17,7,0,19.4,658,327,253,53,77.3,83.8,84.1,50.0,3,3.4,30,71,21,3,89,74,6,44,36.4,2.9,1077,57,38.6,51,31,26,116,2,0.10,42,38,0,0,106,30.0
80,Ethan Ampadu,DF,Chelsea,81,1,0,1,0,0,2,0,0.1,19,5,13,1,100.0,100.0,100.0,100.0,0,0.0,0,1,0,0,1,0,0,0,,0.0,22,0,,0,0,0,0,0,0.00,0,0,0,0,0,33.3
81,Nordin Amrabat,FW,Watford,82,6,1,3,1,0,2,0,2.2,44,29,9,4,56.4,80.6,42.9,44.4,0,0.1,3,4,3,2,7,5,0,1,0.0,0.1,98,4,50.0,3,4,7,22,0,0.00,6,2,0,0,8,33.3
82,Nordin Amrabat,"FW,MF",Leganés,83,19,5,10,13,5,2,0,18.0,296,173,95,16,61.5,80.5,62.9,32.7,4,3.2,23,20,17,5,50,53,7,37,45.9,3.7,697,71,56.3,87,51,80,146,2,0.11,54,36,0,0,76,34.3
83,Jon Ander Serantes,GK,Leganés,84,0,0,0,0,0,0,1,1.0,12,0,2,10,36.4,,100.0,32.3,0,0.0,0,1,0,0,0,0,0,0,,0.0,36,0,,0,0,0,0,0,0.00,0,0,0,0,0,0.0
84,Joachim Andersen,DF,Sampdoria,85,8,4,3,6,9,41,1,6.1,371,118,200,51,87.5,92.9,94.8,66.2,0,0.0,0,23,1,0,27,3,0,3,0.0,0.1,492,0,,7,1,2,1,0,0.00,3,4,0,0,33,89.5
85,Felipe Anderson,"FW,MF",Lazio,86,34,6,21,17,11,8,1,12.9,512,258,179,42,72.0,83.2,76.5,47.2,6,4.3,38,45,35,5,83,84,13,26,38.5,2.8,930,114,67.5,98,46,47,140,4,0.31,9,15,0,0,72,20.0
86,Florin Andone,FW,La Coruña,87,9,4,7,9,3,12,0,18.2,188,130,43,1,61.0,73.9,57.3,10.0,3,0.9,9,4,4,1,11,23,5,54,37.0,10.6,531,49,34.7,41,54,39,144,7,0.39,59,19,0,0,50,31.4
87,Nícolas Andrade,GK,Hellas Verona,88,2,1,1,2,2,16,7,36.0,868,45,304,517,60.1,93.8,96.8,48.2,0,0.1,1,10,0,0,1,11,1,0,,0.0,1561,0,,0,2,0,0,0,0.00,2,11,0,0,39,85.7
88,Benjamin André,MF,Rennes,89,93,43,54,56,57,96,1,33.5,1482,801,465,113,78.0,83.9,79.5,63.8,3,1.9,34,162,23,5,234,77,7,32,25.0,4.3,2343,44,79.5,48,66,56,117,3,0.09,72,48,0,0,259,55.3
89,Marco Andreolli,DF,Cagliari,90,25,12,17,24,30,139,0,20.3,693,173,399,118,80.4,89.6,91.1,54.6,0,0.0,2,44,4,0,54,6,0,3,33.3,0.2,1088,2,50.0,11,3,0,2,0,0.00,29,8,0,0,58,62.5
90,Yoann Andreu,DF,Angers,91,48,16,30,23,37,75,1,23.0,946,548,314,53,77.8,90.6,75.1,42.7,2,1.9,14,55,17,14,87,38,4,5,40.0,0.1,1441,24,54.2,37,20,18,74,1,0.04,21,15,0,0,145,57.4
91,Miguel Ángel Guerrero,FW,Leganés,92,7,1,5,11,9,16,0,16.0,283,181,78,10,75.7,79.7,77.2,76.9,3,1.5,14,13,4,0,18,30,6,29,34.5,4.9,527,22,40.9,16,40,21,87,4,0.25,36,23,0,0,37,50.6
92,José Ángel,DF,Eibar,93,61,38,44,31,38,76,0,27.0,1003,347,434,197,61.0,80.5,68.9,40.5,8,4.1,45,119,35,29,128,76,11,15,0.0,0.5,1893,38,71.1,44,25,16,89,0,0.00,20,17,0,0,187,55.4
93,Miguel Ángel Moyá,GK,Real Sociedad,94,0,0,0,0,2,7,0,8.5,274,14,135,124,75.9,100.0,96.4,60.5,0,0.0,0,6,0,0,0,1,1,0,,0.0,380,0,,0,0,0,0,0,0.00,1,0,0,0,22,100.0
94,Miguel Ángel Rubio,DF,Getafe,95,0,0,0,0,0,1,0,0.3,3,2,1,0,30.0,50.0,33.3,0.0,0,0.0,0,0,0,0,1,0,0,0,,0.0,14,0,,0,1,0,0,0,0.00,1,1,0,0,2,75.0
95,Gabriele Angella,DF,Udinese,96,15,8,13,11,21,66,0,9.9,411,91,235,82,81.7,82.7,88.3,69.5,0,0.0,2,22,1,0,35,11,0,4,25.0,0.3,617,1,100.0,2,4,0,7,0,0.00,18,4,0,0,56,69.8
96,Cristian Ansaldi,DF,Torino,97,49,14,33,23,20,61,0,20.8,712,337,249,107,71.0,90.8,70.9,48.4,3,3.6,19,53,26,14,87,51,8,18,33.3,0.7,1244,64,73.4,78,40,23,88,1,0.05,26,36,1,0,121,27.8
97,Luca Antei,DF,Benevento,98,19,6,14,10,26,35,0,6.6,316,77,197,39,86.6,92.8,93.8,56.5,0,0.0,0,17,0,0,16,5,0,1,100.0,0.1,448,5,60.0,7,2,4,1,0,0.00,10,7,0,0,28,63.6
98,Mirco Antenucci,FW,SPAL,99,16,0,13,14,11,15,0,28.6,476,290,139,22,74.7,81.5,75.5,66.7,4,3.5,37,37,12,4,52,81,10,60,35.0,4.2,909,52,57.7,46,96,42,214,6,0.21,36,70,1,0,85,32.3
99,Waldemar Anton,"DF,MF",Hannover 96,100,65,41,49,56,39,112,3,25.3,966,314,515,126,79.4,84.6,86.1,61.8,0,0.0,2,66,2,1,101,14,2,23,21.7,1.8,1533,30,63.3,23,18,24,14,1,0.04,20,30,0,0,154,61.3
100,Luca Antonelli,"DF,FW",Milan,101,1,0,1,1,1,8,0,1.6,77,36,40,0,81.9,87.8,88.9,0.0,0,0.0,1,7,0,0,10,2,0,0,,0.0,110,2,50.0,2,4,1,6,0,0.00,1,4,0,0,6,50.0
101,Michail Antonio,"FW,MF",West Ham,102,15,4,9,14,13,16,0,15.0,296,151,90,42,59.9,71.9,61.2,46.2,1,1.0,14,20,15,11,29,38,5,34,44.1,2.4,731,88,58.0,47,55,42,117,3,0.20,17,30,1,0,71,44.8
102,Mirko Antonucci,FW,Roma,103,0,0,0,0,0,0,0,0.3,12,3,5,1,75.0,60.0,71.4,100.0,1,0.4,2,0,1,1,1,2,1,1,0.0,0.6,20,0,,1,3,0,6,0,0.00,0,1,0,0,0,
103,Vitorino Antunes,DF,Getafe,104,58,38,44,31,58,89,1,31.1,862,400,328,114,63.1,87.9,66.8,33.0,2,3.4,28,89,36,15,116,59,5,29,10.3,0.9,1711,39,46.2,45,40,24,65,0,0.00,50,36,0,0,172,43.9
