,Unnamed: 0_x,Player,Pos,Squad,Rk,Tkl,Tkl.1,TklW,Blocks,Int,Clr,Err,90s,Cmp,Cmp.1,Cmp.2,Cmp.3,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Ast,xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,GCA,Sh,SoT%,npxG,Touches,Att,Succ%,PrgC,Mis,Dis,PrgR,G-PK,G-PK.1,Fls,Fld,PKwon,OG,Recov,Won%,Unnamed: 0_y,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
401,2088,Diego Rico,DF,Leganés,2089,68.0,36.0,43.0,30.0,76.0,61.0,0.0,24.8,892.0,442.0,336.0,101.0,67.1,83.2,69.7,43.9,2,3.5,27.0,83.0,28.0,14.0,107.0,57.0,3.0,25.0,32.0,1.4,1619.0,36.0,55.6,50.0,30.0,20.0,107.0,2,0.08,37,43.0,0.0,0.0,183.0,58.3,13751,CD Leganés,Diego Rico,25.0,Left-Back,Bournemouth,€15.00m,out,Summer,15.0,Primera Division,2018,2018/2019
402,2093,Luca Rigoni,MF,Genoa,2094,32.0,7.0,22.0,24.0,19.0,13.0,0.0,17.5,440.0,209.0,167.0,54.0,79.9,88.6,81.5,66.7,2,1.8,14.0,63.0,10.0,3.0,75.0,32.0,3.0,19.0,57.9,5.5,696.0,11.0,81.8,21.0,19.0,11.0,63.0,2,0.11,29,21.0,0.0,0.0,77.0,53.3,23093,Genoa CFC,Luca Rigoni,33.0,Central Midfield,Parma,free transfer,out,Summer,0.0,Serie A,2018,2018/2019
403,2096,Tomás Rincón,MF,Torino,2097,66.0,24.0,40.0,33.0,57.0,61.0,1.0,33.3,1253.0,616.0,464.0,145.0,82.2,87.9,84.8,71.4,0,1.5,22.0,115.0,26.0,3.0,146.0,56.0,4.0,17.0,29.4,0.7,1847.0,56.0,82.1,29.0,48.0,56.0,45.0,1,0.03,80,47.0,0.0,0.0,220.0,59.5,23198,Juventus FC,Tomás Rincón,30.0,Defensive Midfield,Torino,€5.90m,out,Summer,5.9,Serie A,2018,2018/2019
404,2115,Rodri,MF,Villarreal,2116,104.0,30.0,71.0,49.0,52.0,100.0,1.0,35.9,2227.0,975.0,953.0,265.0,89.7,91.4,91.7,86.0,3,1.7,23.0,162.0,5.0,0.0,208.0,69.0,7.0,32.0,31.3,1.5,2864.0,29.0,89.7,28.0,23.0,22.0,26.0,1,0.03,77,35.0,0.0,0.0,320.0,73.7,14187,Villarreal CF,Rodri,22.0,Defensive Midfield,Atlético Madrid,€20.00m,out,Summer,20.0,Primera Division,2018,2018/2019
405,2123,Marko Rog,"MF,FW",Napoli,2124,11.0,1.0,7.0,4.0,2.0,1.0,0.0,3.2,246.0,170.0,50.0,4.0,85.7,91.9,82.0,50.0,0,0.5,7.0,26.0,1.0,0.0,19.0,14.0,0.0,5.0,80.0,0.7,328.0,15.0,66.7,17.0,7.0,6.0,18.0,1,0.31,11,5.0,0.0,0.0,25.0,38.9,23855,SSC Napoli,Marko Rog,23.0,Central Midfield,Sevilla FC,Loan fee:€500Th.,out,Winter,0.5,Serie A,2018,2018/2019
406,2127,Diego Rolán,"FW,MF",Málaga,2128,33.0,9.0,25.0,18.0,12.0,9.0,0.0,21.6,472.0,296.0,119.0,29.0,77.9,85.3,75.8,59.2,0,1.3,20.0,37.0,17.0,3.0,57.0,60.0,2.0,36.0,47.2,5.6,882.0,91.0,46.2,59.0,71.0,59.0,165.0,5,0.23,28,48.0,1.0,0.0,107.0,21.2,14041,FC Girondins Bordeaux,Diego Rolán,25.0,Centre-Forward,Dep. La Coruña,€6.00m,out,Summer,6.0,Ligue 1,2018,2018/2019
407,2138,Cristiano Ronaldo,FW,Real Madrid,2139,7.0,1.0,4.0,10.0,6.0,14.0,0.0,25.4,615.0,390.0,164.0,26.0,77.9,84.4,77.4,63.4,5,5.0,38.0,44.0,26.0,4.0,99.0,99.0,18.0,174.0,41.4,22.0,1087.0,51.0,60.8,118.0,42.0,27.0,298.0,23,0.91,19,18.0,1.0,0.0,51.0,55.7,14035,Real Madrid,Cristiano Ronaldo,33.0,Centre-Forward,Juventus,€117.00m,out,Summer,117.0,Primera Division,2018,2018/2019
408,2143,Wayne Rooney,"MF,FW",Everton,2144,28.0,10.0,19.0,25.0,16.0,43.0,2.0,25.2,934.0,398.0,348.0,150.0,75.3,84.0,84.9,57.0,2,2.2,33.0,117.0,26.0,6.0,122.0,65.0,8.0,39.0,28.2,3.8,1474.0,23.0,39.1,26.0,37.0,57.0,91.0,7,0.28,35,18.0,0.0,0.0,154.0,43.9,20314,Everton FC,Wayne Rooney,32.0,Centre-Forward,D.C. United,free transfer,out,Summer,0.0,Premier League,2018,2018/2019
409,2152,Jérôme Roussillon,DF,Montpellier,2153,40.0,15.0,27.0,26.0,15.0,52.0,0.0,20.9,762.0,425.0,259.0,58.0,75.1,88.2,77.3,47.5,3,3.8,27.0,49.0,22.0,14.0,80.0,64.0,9.0,20.0,35.0,1.7,1275.0,72.0,51.4,72.0,42.0,22.0,125.0,3,0.14,10,28.0,0.0,0.0,106.0,40.7,14276,Montpellier HSC,Jérôme Roussillon,25.0,Left-Back,VfL Wolfsburg,€5.00m,out,Summer,5.0,Ligue 1,2018,2018/2019
410,2157,Sebastian Rudy,MF,Bayern Munich,2158,50.0,28.0,40.0,11.0,18.0,7.0,1.0,16.8,944.0,383.0,439.0,113.0,87.2,91.4,91.1,75.3,4,1.4,20.0,112.0,12.0,0.0,121.0,45.0,8.0,19.0,31.6,0.9,1202.0,14.0,42.9,9.0,15.0,10.0,44.0,1,0.06,21,15.0,0.0,0.0,81.0,72.0,11190,Bayern Munich,Sebastian Rudy,28.0,Defensive Midfield,FC Schalke 04,€16.00m,out,Summer,16.0,1 Bundesliga,2018,2018/2019
411,2159,Vincent Rüfli,"DF,FW",Dijon,2160,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.3,10.0,2.0,8.0,0.0,76.9,50.0,88.9,,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,19.0,0.0,,1.0,0.0,0.0,1.0,0,0.0,3,0.0,0.0,0.0,1.0,0.0,14111,Dijon FCO,Vincent Rüfli,30.0,Right-Back,Paris FC,free transfer,out,Summer,0.0,Ligue 1,2018,2018/2019
412,2165,Antonio Rukavina,DF,Villarreal,2166,25.0,17.0,22.0,11.0,16.0,68.0,0.0,14.1,489.0,236.0,197.0,44.0,77.9,87.1,79.8,51.2,0,0.6,8.0,27.0,8.0,5.0,36.0,15.0,1.0,2.0,0.0,0.1,765.0,3.0,33.3,12.0,8.0,0.0,43.0,0,0.0,18,3.0,0.0,0.0,59.0,45.0,14192,Villarreal CF,Antonio Rukavina,34.0,Right-Back,FC Astana,free transfer,out,Summer,0.0,Primera Division,2018,2018/2019
413,2174,Enric Saborit,DF,Athletic Club,2175,50.0,19.0,27.0,17.0,24.0,55.0,0.0,15.9,524.0,244.0,228.0,47.0,74.1,84.7,77.6,51.1,1,0.5,6.0,32.0,11.0,3.0,40.0,18.0,2.0,6.0,33.3,0.2,880.0,7.0,42.9,29.0,19.0,5.0,55.0,0,0.0,20,13.0,0.0,0.0,86.0,68.8,13692,Athletic Bilbao,Enric Saborit,26.0,Left-Back,M. Tel Aviv,free transfer,out,Summer,0.0,Primera Division,2018,2018/2019
414,2186,Henri Saivet,MF,Newcastle Utd,2187,5.0,2.0,3.0,0.0,4.0,8.0,1.0,0.9,15.0,9.0,4.0,1.0,57.7,90.0,44.4,20.0,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,100.0,0.1,42.0,0.0,,0.0,0.0,0.0,0.0,1,1.08,0,0.0,0.0,0.0,4.0,66.7,20373,Newcastle United,Henri Saivet,27.0,Attacking Midfield,Bursaspor,Loan fee:€900Th.,out,Summer,0.9,Premier League,2018,2018/2019
415,2193,Emiliano Sala,FW,Nantes,2194,19.0,5.0,11.0,27.0,9.0,50.0,0.0,33.7,519.0,319.0,103.0,19.0,61.3,68.8,56.0,57.6,4,2.7,35.0,37.0,18.0,3.0,67.0,79.0,4.0,90.0,24.4,12.3,1275.0,53.0,52.8,34.0,133.0,80.0,223.0,8,0.24,50,58.0,0.0,0.0,95.0,37.3,14605,FC Nantes,Emiliano Sala,,Centre-Forward,Cardiff,€17.00m,out,Winter,17.0,Ligue 1,2018,2018/2019
416,2196,Bartosz Salamon,DF,SPAL,2197,28.0,12.0,22.0,24.0,58.0,148.0,0.0,19.2,699.0,197.0,383.0,111.0,80.6,87.6,91.4,56.1,0,0.3,3.0,74.0,6.0,2.0,90.0,15.0,1.0,11.0,9.1,1.0,1142.0,5.0,100.0,28.0,4.0,4.0,5.0,0,0.0,23,16.0,0.0,1.0,114.0,70.8,22847,Cagliari Calcio,Bartosz Salamon,27.0,Centre-Back,SPAL,€2.00m,out,Summer,2.0,Serie A,2018,2018/2019
417,2197,Carlos Salcedo,DF,Eint Frankfurt,2198,26.0,19.0,22.0,28.0,21.0,94.0,1.0,17.9,778.0,214.0,423.0,134.0,80.0,87.3,88.9,60.4,0,0.0,1.0,50.0,1.0,0.0,65.0,8.0,1.0,5.0,40.0,0.2,1154.0,4.0,25.0,6.0,5.0,3.0,7.0,0,0.0,27,13.0,0.0,0.0,77.0,63.8,11689,Eintracht Frankfurt,Carlos Salcedo,25.0,Centre-Back,Tigres UANL,€8.80m,out,Winter,8.8,1 Bundesliga,2018,2018/2019
418,2198,Eddie Salcedo,FW,Genoa,2199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,6.0,4.0,2.0,0.0,85.7,80.0,100.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.1,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,23078,Genoa CFC,Eddie Salcedo,16.0,Centre-Forward,Inter U19,Loan fee:€1.00m,out,Summer,1.0,Serie A,2018,2018/2019
419,2206,Sergi Samper,MF,Las Palmas,2207,10.0,2.0,4.0,0.0,0.0,0.0,0.0,1.6,69.0,33.0,28.0,4.0,82.1,86.8,84.8,50.0,0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,,0.0,96.0,4.0,75.0,3.0,3.0,1.0,1.0,0,0.0,2,2.0,0.0,0.0,11.0,100.0,14357,FC Barcelona,Sergi Samper,24.0,Defensive Midfield,Vissel Kobe,free transfer,out,Winter,0.0,Primera Division,2018,2018/2019
