,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 26_level_0
249,241,Valon Behrami,ch SUI,MF,Udinese,it Serie A,32,1985,15.5,1,9,2,22.2,0.58,0.13,0.11,0.50,21.8,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
250,242,Vid Belec,si SVN,GK,Benevento,it Serie A,27,1990,12.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
251,243,Vid Belec,si SVN,GK,Sampdoria,it Serie A,27,1990,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
252,244,Ishak Belfodil,dz ALG,FW,Werder Bremen,de Bundesliga,25,1992,15.0,4,46,20,43.5,3.07,1.33,0.09,0.20,12.6,1,0,0,4.7,4.7,0.10,-0.7,-0.7,Matches
253,245,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,25,1991,24.2,1,12,6,50.0,0.50,0.25,0.08,0.17,14.4,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Matches
254,246,Karim Bellarabi,de GER,"MF,FW",Leverkusen,de Bundesliga,27,1990,12.7,1,43,16,37.2,3.38,1.26,0.02,0.06,21.1,0,0,0,2.9,2.9,0.07,-1.9,-1.9,Matches
255,247,Héctor Bellerín,es ESP,DF,Arsenal,eng Premier League,22,1995,33.9,2,29,8,27.6,0.86,0.24,0.07,0.25,17.3,0,0,0,2.2,2.2,0.08,-0.2,-0.2,Matches
256,248,François Bellugou,fr FRA,MF,Troyes,fr Ligue 1,30,1987,24.2,0,1,0,0.0,0.04,0.00,0.00,,5.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
257,249,Andrea Belotti,it ITA,FW,Torino,it Serie A,23,1993,29.8,10,84,27,32.1,2.82,0.91,0.12,0.37,14.5,0,0,2,10.5,8.9,0.11,-0.5,+1.1,Matches
258,250,Chaouki Ben Saada,tn TUN,"FW,MF",Troyes,fr Ligue 1,33,1984,3.8,0,8,1,12.5,2.11,0.26,0.00,0.00,27.4,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
259,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
260,251,Wissam Ben Yedder,fr FRA,FW,Sevilla,es La Liga,26,1990,18.9,9,48,25,52.1,2.54,1.32,0.19,0.36,11.7,1,0,0,12.3,12.3,0.26,-3.3,-3.3,Matches
261,252,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,33,1983,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
262,253,Ahmad Benali,ly LBY,MF,Crotone,it Serie A,25,1992,9.0,1,5,3,60.0,0.55,0.33,0.20,0.33,11.8,0,0,0,0.9,0.9,0.18,+0.1,+0.1,Matches
263,254,Yohan Benalouane,tn TUN,DF,Leicester City,eng Premier League,30,1987,1.0,0,2,1,50.0,2.00,1.00,0.00,0.00,17.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
264,255,Marco Benassi,it ITA,"MF,FW",Fiorentina,it Serie A,22,1994,30.9,5,70,26,37.1,2.26,0.84,0.07,0.19,21.6,0,0,0,4.0,4.0,0.06,+1.0,+1.0,Matches
265,256,Medhi Benatia,ma MAR,DF,Juventus,it Serie A,30,1987,19.5,2,13,4,30.8,0.67,0.21,0.15,0.50,11.1,0,0,0,2.5,2.5,0.20,-0.5,-0.5,Matches
266,257,Lars Bender,de GER,"DF,MF",Leverkusen,de Bundesliga,28,1989,17.7,2,21,5,23.8,1.18,0.28,0.10,0.40,16.1,0,0,0,2.1,2.1,0.10,-0.1,-0.1,Matches
267,258,Sven Bender,de GER,DF,Leverkusen,de Bundesliga,28,1989,26.1,2,15,6,40.0,0.58,0.23,0.13,0.33,9.5,0,0,0,1.5,1.5,0.10,+0.5,+0.5,Matches
268,259,László Bénes,sk SVK,MF,M'Gladbach,de Bundesliga,19,1997,0.4,0,1,0,0.0,2.37,0.00,0.00,,32.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
269,260,Nicolas Benezet,fr FRA,"FW,MF",Guingamp,fr Ligue 1,26,1991,18.3,3,28,10,35.7,1.53,0.55,0.11,0.30,18.1,4,0,0,2.5,2.5,0.09,+0.5,+0.5,Matches
270,261,Marcel Benger,de GER,MF,M'Gladbach,de Bundesliga,19,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
271,262,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,24,1993,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
272,263,Charlison Benschop,cw CUW,"MF,DF",Hannover 96,de Bundesliga,27,1989,2.0,1,5,1,20.0,2.45,0.49,0.20,1.00,12.4,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
273,264,Ramy Bensebaini,dz ALG,DF,Rennes,fr Ligue 1,22,1995,26.0,0,19,3,15.8,0.73,0.12,0.00,0.00,19.4,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Matches
274,265,Nabil Bentaleb,dz ALG,MF,Schalke 04,de Bundesliga,22,1994,11.2,4,11,4,36.4,0.98,0.36,0.00,0.00,30.9,0,4,4,3.5,0.3,0.03,+0.5,-0.3,Matches
275,266,Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,20,1997,6.5,0,5,2,40.0,0.77,0.31,0.00,0.00,28.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
276,267,Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,26,1990,24.9,3,58,17,29.3,2.33,0.68,0.03,0.12,12.5,0,1,2,10.2,8.6,0.15,-7.2,-6.6,Matches
277,268,Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,29,1987,23.9,5,61,15,24.6,2.55,0.63,0.05,0.20,13.2,0,2,2,12.8,11.2,0.19,-7.8,-8.2,Matches
278,269,Yassine Benzia,dz ALG,"MF,FW",Lille,fr Ligue 1,22,1994,25.4,1,29,7,24.1,1.14,0.28,0.03,0.14,21.9,1,0,0,1.5,1.5,0.05,-0.5,-0.5,Matches
279,270,Saido Berahino,bi BDI,FW,Stoke City,eng Premier League,23,1993,5.5,0,9,3,33.3,1.64,0.55,0.00,0.00,18.9,0,0,1,2.0,1.2,0.14,-2.0,-1.2,Matches
280,271,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,22,1994,25.5,4,81,23,28.4,3.18,0.90,0.02,0.09,22.6,5,2,4,8.9,5.8,0.07,-4.9,-3.8,Matches
281,272,Yuri Berchiche,es ESP,DF,Paris S-G,fr Ligue 1,27,1990,19.1,2,10,4,40.0,0.52,0.21,0.20,0.50,22.6,0,0,0,0.4,0.4,0.04,+1.6,+1.6,Matches
282,273,Álex Berenguer,es ESP,FW,Torino,it Serie A,22,1995,11.6,1,14,9,64.3,1.21,0.78,0.07,0.11,21.0,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
283,274,Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,25,1992,27.6,0,5,0,0.0,0.18,0.00,0.00,,27.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
284,275,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,eng Premier League,26,1990,31.5,2,54,18,33.3,1.72,0.57,0.04,0.11,21.7,6,0,0,3.5,3.5,0.07,-1.5,-1.5,Matches
285,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
286,276,Markel Bergara,es ESP,MF,Getafe,es La Liga,31,1986,16.3,4,16,9,56.3,0.98,0.55,0.25,0.44,11.5,0,0,0,2.8,2.8,0.20,+1.2,+1.2,Matches
287,277,Emil Berggreen,dk DEN,FW,Mainz 05,de Bundesliga,24,1993,7.4,4,13,8,61.5,1.75,1.08,0.31,0.50,13.1,0,0,0,2.0,2.0,0.15,+2.0,+2.0,Matches
288,278,Robert Berić,si SVN,FW,Saint-Étienne,fr Ligue 1,26,1991,11.6,7,23,12,52.2,1.99,1.04,0.26,0.50,14.6,0,1,2,6.4,5.0,0.22,+0.6,+1.0,Matches
289,279,Kévin Bérigaud,fr FRA,"FW,MF",Montpellier,fr Ligue 1,29,1988,3.0,0,4,0,0.0,1.33,0.00,0.00,,12.7,0,0,0,1.0,1.0,0.24,-1.0,-1.0,Matches
290,280,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,28,1989,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
291,281,Federico Bernardeschi,it ITA,"FW,MF",Juventus,it Serie A,23,1994,9.4,4,27,11,40.7,2.87,1.17,0.15,0.36,19.8,2,0,0,2.8,2.8,0.10,+1.2,+1.2,Matches
292,282,Bernardo,br BRA,DF,RB Leipzig,de Bundesliga,22,1995,15.0,1,12,4,33.3,0.80,0.27,0.08,0.25,19.0,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
293,283,Juan Bernat,es ESP,"DF,FW",Bayern Munich,de Bundesliga,24,1993,9.9,0,4,0,0.0,0.41,0.00,0.00,,13.0,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
294,284,Andrea Bertolacci,it ITA,MF,Genoa,it Serie A,26,1991,32.2,1,15,2,13.3,0.47,0.06,0.07,0.50,18.0,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches
295,285,Ryan Bertrand,eng ENG,DF,Southampton,eng Premier League,27,1989,34.8,0,20,2,10.0,0.57,0.06,0.00,0.00,19.5,3,0,0,1.7,1.7,0.08,-1.7,-1.7,Matches
296,286,Muhamed Bešić,ba BIH,MF,Everton,eng Premier League,24,1992,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
297,287,Daniel Bessa,it ITA,"MF,FW",Hellas Verona,it Serie A,24,1993,15.4,1,14,4,28.6,0.91,0.26,0.07,0.25,23.4,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
