,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
0,1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,3,0,0,6,0,0,11,8,6,0,0,0,18,1,5,16.7,Matches
1,2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,3,0,0,12,14,10,42,40,24,0,0,0,216,10,12,45.5,Matches
2,3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,4,0,0,13,6,0,26,18,19,0,1,0,71,13,8,61.9,Matches
3,4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,2,0,0,34,20,1,0,65,33,0,1,1,205,113,71,61.4,Matches
4,5,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,6,0,0,57,28,1,24,29,33,0,0,0,145,17,26,39.5,Matches
5,6,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,fr Ligue 1,18,2000,0.4,0,0,0,2,1,0,0,0,4,0,0,0,5,2,1,66.7,Matches
6,7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,2,0,0,11,9,0,8,24,14,0,0,0,104,40,22,64.5,Matches
7,8,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,5,0,0,19,16,0,2,14,11,0,0,0,61,5,4,55.6,Matches
8,9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,4,1,1,24,42,3,6,61,30,0,0,0,226,96,43,69.1,Matches
9,10,Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,4,0,0,27,32,1,34,12,9,0,0,0,88,22,28,44.0,Matches
10,11,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,0,0,0,13,11,0,2,16,17,0,0,0,60,17,14,54.8,Matches
11,12,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
12,13,Aday,es ESP,"DF,MF",Girona,es La Liga,30,1987,7.2,2,0,0,6,8,0,50,7,8,0,1,0,24,2,5,28.6,Matches
13,14,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,7,1,1,32,20,2,0,31,22,0,0,1,107,51,58,46.8,Matches
14,15,Claud Adjapong,it ITA,"MF,FW",Sassuolo,it Serie A,20,1998,3.0,1,0,0,3,6,2,5,1,2,0,0,0,12,2,4,33.3,Matches
15,16,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,18,2000,2.4,1,0,0,4,1,0,9,2,2,0,0,0,16,2,1,66.7,Matches
16,17,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,it Serie A,24,1993,1.8,0,0,0,2,2,0,14,3,1,0,0,0,8,6,3,66.7,Matches
17,18,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,5,0,0,28,8,12,6,0,2,0,1,0,17,52,57,47.7,Matches
18,19,Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,6,2,2,48,46,0,54,19,38,2,0,0,131,24,33,42.1,Matches
19,20,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,4,0,0,24,28,0,42,27,29,0,0,0,116,19,27,41.3,Matches
20,21,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,4,1,0,19,8,0,3,14,12,0,1,0,58,41,23,64.1,Matches
21,22,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,4,0,0,21,25,26,13,9,9,0,0,0,70,17,22,43.6,Matches
