,Unnamed: 0_x,Player,Pos,Squad,Rk,Tkl,Tkl.1,TklW,Blocks,Int,Clr,Err,90s,Cmp,Cmp.1,Cmp.2,Cmp.3,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Ast,xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,GCA,Sh,SoT%,npxG,Touches,Att,Succ%,PrgC,Mis,Dis,PrgR,G-PK,G-PK.1,Fls,Fld,PKwon,OG,Recov,Won%,Unnamed: 0_y,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
0,4,Mehdi Abeid,MF,Dijon,5,51,15,33,33,29,23,1,22.5,903,419,365,90,84.6,89.9,90.1,62.9,0,1.6,22,92,5,2,97,41,2,36,27.8,2.1,1356,60,51.7,43,40,31,50,2,0.09,57,28,0,0,145,39.5,14797,Dijon FCO,Mehdi Abeid,26.0,Central Midfield,FC Nantes,free transfer,out,Summer,0.0,Ligue 1,2019,2019/2020
1,13,Khaled Adénon,DF,Amiens,14,31,16,22,26,31,101,0,22.2,837,237,476,109,86.0,91.9,91.9,64.9,0,0.1,5,53,3,0,63,11,0,8,0.0,0.7,1203,1,100.0,13,5,7,1,0,0.0,32,20,0,1,107,46.8,14680,Amiens SC,Khaled Adénon,34.0,Centre-Back,Al-Wehda FC,free transfer,out,Summer,0.0,Ligue 1,2019,2019/2020
2,22,Ruben Aguilar,DF,Montpellier,23,88,39,51,23,37,50,1,28.1,1315,730,468,86,80.2,90.6,81.7,54.1,4,2.5,44,82,46,25,128,103,7,13,30.8,0.9,1970,71,50.7,85,47,26,155,1,0.04,37,40,0,0,185,46.7,15003,Montpellier HSC,Ruben Aguilar,26.0,Right-Back,Monaco,€8.00m,out,Summer,8.0,Ligue 1,2019,2019/2020
3,27,Ola Aina,DF,Torino,28,54,23,36,30,39,59,2,24.0,861,465,268,88,73.1,88.6,67.8,55.3,3,2.5,25,53,30,11,97,57,5,24,20.8,1.4,1497,61,49.2,62,35,23,96,1,0.04,31,38,0,0,167,58.6,20958,Chelsea FC,Ola Aina,22.0,Right-Back,Torino,€9.80m,out,Summer,9.8,Premier League,2019,2019/2020
4,44,Raúl Albiol,DF,Napoli,45,16,8,8,19,20,90,1,19.0,1009,250,545,205,89.2,96.2,92.2,79.5,0,0.4,5,68,3,2,81,20,2,4,25.0,0.3,1292,2,50.0,4,5,2,2,1,0.05,10,7,0,0,102,58.2,24545,SSC Napoli,Raúl Albiol,33.0,Centre-Back,Villarreal,€4.00m,out,Summer,4.0,Serie A,2019,2019/2020
5,47,Paco Alcácer,FW,Dortmund,48,3,0,1,5,6,7,0,13.5,213,147,39,5,73.4,80.8,65.0,55.6,0,1.6,15,13,7,0,17,40,7,51,51.0,8.8,396,8,75.0,12,19,13,70,17,1.26,5,7,0,0,26,26.7,12210,Borussia Dortmund,Paco Alcácer,26.0,Centre-Forward,Villarreal,€23.00m,out,Winter,23.0,1 Bundesliga,2019,2019/2020
6,47,Paco Alcácer,FW,Dortmund,48,3,0,1,5,6,7,0,13.5,213,147,39,5,73.4,80.8,65.0,55.6,0,1.6,15,13,7,0,17,40,7,51,51.0,8.8,396,8,75.0,12,19,13,70,17,1.26,5,7,0,0,26,26.7,14497,FC Barcelona,Paco Alcácer,25.0,Centre-Forward,Bor. Dortmund,€21.00m,out,Summer,21.0,Primera Division,2019,2019/2020
7,52,Álex Alegría,"FW,MF",Rayo Vallecano,53,1,0,1,1,0,0,0,1.6,22,13,6,1,68.8,72.2,75.0,100.0,0,0.4,3,2,1,0,5,4,0,3,66.7,0.2,56,8,75.0,4,10,4,7,0,0.0,7,4,0,0,4,42.9,14923,Real Betis Balompié,Álex Alegría,26.0,Centre-Forward,RCD Mallorca,free transfer,out,Summer,0.0,Primera Division,2019,2019/2020
8,60,Rachid Alioui,FW,Nîmes,61,15,4,5,8,10,11,0,13.9,266,182,54,11,69.5,78.8,64.3,40.7,0,1.2,20,20,14,3,22,41,1,52,38.5,5.4,525,12,58.3,24,16,12,79,5,0.36,11,11,0,0,40,38.5,14925,Nîmes Olympique,Rachid Alioui,27.0,Centre-Forward,Angers SCO,free transfer,out,Summer,0.0,Ligue 1,2019,2019/2020
9,62,Bobby Allain,GK,Dijon,63,0,0,0,1,0,16,1,13.0,292,14,108,170,63.8,100.0,94.7,51.5,0,0.0,0,17,1,0,0,2,0,0,,0.0,509,0,,0,0,0,0,0,0.0,1,6,0,0,14,75.0,14794,Dijon FCO,Bobby Allain,27.0,Goalkeeper,Olympiacos,free transfer,out,Summer,0.0,Ligue 1,2019,2019/2020
