,Unnamed: 0_x,Player,Pos,Squad,Rk,Tkl,Tkl.1,TklW,Blocks,Int,Clr,Err,90s,Cmp,Cmp.1,Cmp.2,Cmp.3,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Ast,xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,GCA,Sh,SoT%,npxG,Touches,Att,Succ%,PrgC,Mis,Dis,PrgR,G-PK,G-PK.1,Fls,Fld,PKwon,OG,Recov,Won%,Unnamed: 0_y,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
0,1,Patrick van Aanholt,DF,Crystal Palace,2,35.0,19.0,22,18.0,30,40.0,2.0,19.7,906.0,545.0,284.0,51.0,77.8,88.9,78.7,48.6,1,0.7,11.0,71.0,20.0,4.0,103.0,30.0,3.0,18,27.8,1.4,1353.0,22.0,45.5,38.0,24.0,6.0,87.0,0,0.0,11,3,0.0,0,136.0,45.8,22465,Crystal Palace,Patrick van Aanholt,30.0,Left-Back,Galatasaray,free transfer,out,Summer,0.0,Premier League,2021,2021/2022
1,10,Tammy Abraham,FW,Chelsea,11,7.0,1.0,5,6.0,5,17.0,0.0,11.6,149.0,85.0,33.0,4.0,70.6,76.6,71.7,50.0,1,0.7,9.0,14.0,1.0,0.0,11.0,17.0,2.0,32,40.6,5.9,358.0,18.0,33.3,12.0,33.0,7.0,66.0,6,0.52,22,12,1.0,0,28.0,57.6,22431,Chelsea FC,Tammy Abraham,23.0,Centre-Forward,AS Roma,€40.00m,out,Summer,40.0,Premier League,2021,2021/2022
2,11,Amir Abrashi,"MF,DF",Freiburg,12,1.0,0.0,1,1.0,2,1.0,0.0,0.7,18.0,11.0,4.0,2.0,78.3,78.6,80.0,100.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,30.0,0.0,,1.0,1.0,1.0,1.0,0,0.0,4,0,0.0,0,6.0,33.3,13155,SC Freiburg,Amir Abrashi,31.0,Defensive Midfield,Grasshoppers,free transfer,out,Summer,0.0,1 Bundesliga,2021,2021/2022
3,12,Gennaro Acampora,"MF,FW",Spezia,13,6.0,2.0,4,4.0,4,4.0,0.0,4.9,185.0,79.0,83.0,19.0,83.0,91.9,83.0,70.4,0,0.0,1.0,20.0,2.0,0.0,28.0,8.0,0.0,9,0.0,0.3,282.0,16.0,62.5,15.0,12.0,12.0,19.0,0,0.0,10,12,0.0,0,31.0,37.5,26843,Spezia Calcio,Gennaro Acampora,27.0,Central Midfield,Benevento,free transfer,out,Summer,0.0,Serie A,2021,2021/2022
4,18,Sargis Adamyan,"FW,MF",Hoffenheim,19,9.0,7.0,4,2.0,6,1.0,0.0,5.3,103.0,61.0,29.0,7.0,66.0,76.3,70.7,63.6,3,2.3,11.0,5.0,7.0,2.0,17.0,22.0,6.0,23,30.4,2.1,226.0,7.0,42.9,20.0,14.0,6.0,58.0,2,0.38,5,8,0.0,0,20.0,50.0,13434,TSG 1899 Hoffenheim,Sargis Adamyan,28.0,Centre-Forward,Club Brugge,Loan fee:€100Th.,out,Winter,0.1,1 Bundesliga,2021,2021/2022
5,21,Yacine Adli,MF,Bordeaux,22,74.0,35.0,37,27.0,39,17.0,2.0,26.9,1327.0,569.0,548.0,167.0,81.4,88.5,85.4,66.5,5,4.4,53.0,158.0,20.0,2.0,188.0,104.0,10.0,24,37.5,1.9,1920.0,79.0,63.3,54.0,42.0,41.0,48.0,2,0.07,39,37,0.0,0,172.0,50.0,16401,FC Girondins Bordeaux,Yacine Adli,21.0,Attacking Midfield,AC Milan,€8.00m,out,Summer,8.0,Ligue 1,2021,2021/2022
6,27,Kevin Agudelo,FW,Spezia,28,39.0,12.0,28,30.0,10,2.0,0.0,15.1,228.0,114.0,86.0,22.0,69.5,80.9,78.2,61.1,2,1.3,12.0,27.0,10.0,0.0,43.0,38.0,7.0,19,21.1,1.5,544.0,76.0,57.9,50.0,35.0,25.0,82.0,1,0.07,20,32,0.0,0,60.0,32.0,26657,Genoa CFC,Kevin Agudelo,22.0,Right Winger,Spezia Calcio,Loan fee:€90Th.,out,Summer,0.09,Serie A,2021,2021/2022
7,29,Sergio Agüero,FW,Manchester City,30,4.0,2.0,1,2.0,2,0.0,0.0,6.2,140.0,86.0,34.0,2.0,80.9,86.9,89.5,100.0,1,1.2,7.0,12.0,5.0,1.0,12.0,18.0,3.0,17,58.8,1.9,234.0,13.0,61.5,12.0,15.0,11.0,39.0,3,0.48,2,7,0.0,0,12.0,33.3,22574,Manchester City,Sergio Agüero,33.0,Centre-Forward,Barcelona,free transfer,out,Summer,0.0,Premier League,2021,2021/2022
8,48,David Alaba,"DF,MF",Bayern Munich,49,37.0,17.0,21,29.0,43,60.0,0.0,29.7,1929.0,736.0,1003.0,172.0,84.2,90.1,89.2,60.8,4,2.1,28.0,212.0,35.0,4.0,242.0,60.0,7.0,21,28.6,1.2,2539.0,19.0,84.2,56.0,20.0,12.0,70.0,2,0.07,19,10,0.0,0,189.0,51.4,12900,Bayern Munich,David Alaba,29.0,Centre-Back,Real Madrid,free transfer,out,Summer,0.0,1 Bundesliga,2021,2021/2022
9,57,Pedro Alcalá,DF,Cádiz,58,8.0,3.0,4,19.0,16,50.0,0.0,10.1,205.0,46.0,115.0,39.0,72.7,80.7,89.1,47.0,0,0.0,0.0,14.0,0.0,0.0,11.0,1.0,0.0,2,0.0,0.1,389.0,1.0,100.0,1.0,0.0,0.0,0.0,0,0.0,12,4,0.0,1,34.0,39.5,16265,Cádiz CF,Pedro Alcalá,32.0,Centre-Back,FC Cartagena,free transfer,out,Summer,0.0,Primera Division,2021,2021/2022
