,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
12160,ADO Den Haag,Björn Johnsen,26.0,Centre-Forward,AZ Alkmaar,€2.30m,out,Summer,2.3,Eredivisie,2018,2018/2019
12161,ADO Den Haag,Édouard Duplan,35.0,Left Winger,Sparta R.,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12162,ADO Den Haag,Tyronne Ebuehi,22.0,Right-Back,Benfica,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12163,ADO Den Haag,Tim Coremans,27.0,Goalkeeper,Sparta R.,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12182,AZ Alkmaar,Alireza Jahanbakhsh,24.0,Right Winger,Brighton,€19.00m,out,Summer,19.0,Eredivisie,2018,2018/2019
12183,AZ Alkmaar,Wout Weghorst,25.0,Centre-Forward,VfL Wolfsburg,€10.50m,out,Summer,10.5,Eredivisie,2018,2018/2019
12184,AZ Alkmaar,Joris van Overeem,24.0,Central Midfield,FC Utrecht,€700Th.,out,Summer,0.7,Eredivisie,2018,2018/2019
12185,AZ Alkmaar,Dabney dos Santos,22.0,Attacking Midfield,Heracles Almelo,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12186,AZ Alkmaar,Jop van der Linden,28.0,Centre-Back,Sydney FC,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12187,AZ Alkmaar,Levi García,20.0,Right Winger,Kiryat Shmona,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12188,AZ Alkmaar,Rens van Eijden,30.0,Centre-Back,NEC Nijmegen,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12189,AZ Alkmaar,Gino Coutinho,35.0,Goalkeeper,NEC Nijmegen,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12199,Ajax Amsterdam,Justin Kluivert,19.0,Left Winger,AS Roma,€17.25m,out,Summer,17.25,Eredivisie,2018,2018/2019
12200,Ajax Amsterdam,Deyovaisio Zeefuik,20.0,Right-Back,FC Groningen,€300Th.,out,Summer,0.3,Eredivisie,2018,2018/2019
12201,Ajax Amsterdam,Amin Younes,24.0,Attacking Midfield,SSC Napoli,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12202,Ajax Amsterdam,Nick Viergever,28.0,Centre-Back,PSV Eindhoven,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12203,Ajax Amsterdam,Mitchell Dijks,25.0,Left-Back,Bologna,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12204,Ajax Amsterdam,Norbert Alblas,23.0,Goalkeeper,NEC Nijmegen,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12224,De Graafschap Doetinchem,Mark Diemers,24.0,Central Midfield,Fortuna Sittard,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12225,De Graafschap Doetinchem,Kevin van Diermen,29.0,Centre-Back,IJsselm.vogels,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12226,De Graafschap Doetinchem,Tim Receveur,26.0,Defensive Midfield,Almere City,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12227,De Graafschap Doetinchem,Filip Bednarek,25.0,Goalkeeper,Heerenveen,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12253,FC Emmen,Willem Huizing,23.0,Right-Back,Harkemase Boys,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12254,FC Emmen,Josimar Lima,28.0,Centre-Back,FC Lahti,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12255,FC Emmen,Jeroen Veldmate,29.0,Centre-Back,Go Ahead Eagles,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12256,FC Emmen,Omran Haydary,20.0,Right Winger,FC Dordrecht,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12257,FC Emmen,Youri Loen,27.0,Central Midfield,Almere City,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12258,FC Emmen,Mario Bilate,27.0,Centre-Forward,RKC Waalwijk,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12259,FC Emmen,Joris Voest,23.0,Left-Back,Harkemase Boys,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12260,FC Emmen,Nande Wielink,20.0,Centre-Back,ACV Assen,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12261,FC Emmen,Norair Aslanyan,27.0,Right Winger,Katwijk,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12276,Excelsior Rotterdam,Mike van Duinen,26.0,Centre-Forward,PEC Zwolle,€750Th.,out,Summer,0.75,Eredivisie,2018,2018/2019
12277,Excelsior Rotterdam,Stanley Elbers,26.0,Right Winger,PEC Zwolle,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12278,Excelsior Rotterdam,Ögmundur Kristinsson,29.0,Goalkeeper,AE Larisa,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12279,Excelsior Rotterdam,Khalid Karami,28.0,Right Midfield,Vitesse,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12280,Excelsior Rotterdam,Theo Zwarthoed,35.0,Goalkeeper,NAC Breda,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12281,Excelsior Rotterdam,Milan Massop,24.0,Left-Back,Waasl.-Beveren,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12282,Excelsior Rotterdam,Hicham Faik,26.0,Defensive Midfield,Zulte Waregem,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12283,Excelsior Rotterdam,Shane O'Neill,24.0,Centre-Back,Orlando,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12284,Excelsior Rotterdam,Kevin Vermeulen,27.0,Attacking Midfield,RKC Waalwijk,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12285,Excelsior Rotterdam,Mike Havekotte,22.0,Goalkeeper,ADO Den Haag,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12304,Feyenoord Rotterdam,Jean-Paul Boëtius,24.0,Attacking Midfield,1.FSV Mainz 05,€3.50m,out,Summer,3.5,Eredivisie,2018,2018/2019
12305,Feyenoord Rotterdam,Sofyan Amrabat,22.0,Defensive Midfield,Club Brugge,€2.50m,out,Summer,2.5,Eredivisie,2018,2018/2019
12306,Feyenoord Rotterdam,Marko Vejinović,28.0,Central Midfield,AZ Alkmaar,€1.25m,out,Summer,1.25,Eredivisie,2018,2018/2019
12307,Feyenoord Rotterdam,Simon Gustafson,23.0,Central Midfield,FC Utrecht,€1.00m,out,Summer,1.0,Eredivisie,2018,2018/2019
12308,Feyenoord Rotterdam,Bilal Basacikoglu,23.0,Left Winger,Kayserispor,€400Th.,out,Summer,0.4,Eredivisie,2018,2018/2019
12309,Feyenoord Rotterdam,Gustavo Hamer,21.0,Defensive Midfield,PEC Zwolle,€300Th.,out,Summer,0.3,Eredivisie,2018,2018/2019
12310,Feyenoord Rotterdam,Karim El Ahmadi,33.0,Defensive Midfield,Al-Ittihad Club,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12311,Feyenoord Rotterdam,Brad Jones,36.0,Goalkeeper,Al-Nassr FC,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12335,Fortuna Sittard,Mohamed Kourouma,20.0,midfield,Groene Ster,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12336,Fortuna Sittard,Sjoerd Ars,34.0,Centre-Forward,De Treffers,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12337,Fortuna Sittard,Miguel Santos,23.0,Goalkeeper,Astra Giurgiu,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12338,Fortuna Sittard,Driess Saddiki,21.0,Defensive Midfield,Willem II,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12339,Fortuna Sittard,Stefan Ashkovski,26.0,Right Winger,Slavia Sofia,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12358,FC Groningen,Juninho Bacuna,20.0,Central Midfield,Huddersfield,€2.50m,out,Summer,2.5,Eredivisie,2018,2018/2019
12359,FC Groningen,Jesper Drost,25.0,Attacking Midfield,Heracles Almelo,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12360,FC Groningen,Tom van Weert,28.0,Centre-Forward,Aalborg BK,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12361,FC Groningen,Kasper Larsen,25.0,Centre-Back,Norrköping,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12362,FC Groningen,Yoëll van Nieff,25.0,Defensive Midfield,Heracles Almelo,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12363,FC Groningen,Ruben Jenssen,30.0,Central Midfield,Brann,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12364,FC Groningen,Lars Veldwijk,26.0,Centre-Forward,Sparta R.,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12378,SC Heerenveen,Denzel Dumfries,22.0,Right Midfield,PSV Eindhoven,€5.50m,out,Summer,5.5,Eredivisie,2018,2018/2019
12379,SC Heerenveen,Henk Veerman,27.0,Centre-Forward,FC St. Pauli,€500Th.,out,Summer,0.5,Eredivisie,2018,2018/2019
12380,SC Heerenveen,Wouter van der Steen,28.0,Goalkeeper,FC Den Bosch,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12381,SC Heerenveen,Maarten de Fockert,23.0,Goalkeeper,Excelsior,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12382,SC Heerenveen,Caner Cavlan,26.0,Left-Back,FC Emmen,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12383,SC Heerenveen,Reza Ghoochannejhad,30.0,Centre-Forward,APOEL Nicosia,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12384,SC Heerenveen,Robert van Koesveld,23.0,Centre-Back,SC Cambuur,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12403,Heracles Almelo,Jamiro Monteiro,24.0,Central Midfield,FC Metz,€3.00m,out,Summer,3.0,Eredivisie,2018,2018/2019
12404,Heracles Almelo,Peter van Ooijen,26.0,Left Winger,VVV-Venlo,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12405,Heracles Almelo,Daryl van Mieghem,28.0,Right Winger,De Graafschap,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12406,Heracles Almelo,Brahim Darri,23.0,Left Winger,NEC Nijmegen,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12407,Heracles Almelo,Renze Fij,25.0,Goalkeeper,Florö SK,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12408,Heracles Almelo,Roland Baas,22.0,Left-Back,Go Ahead Eagles,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12409,Heracles Almelo,Jaroslav Navratil,26.0,Right Winger,Go Ahead Eagles,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12410,Heracles Almelo,Bram Castro,35.0,Goalkeeper,KV Mechelen,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12411,Heracles Almelo,Gor Agbaljan,21.0,Central Midfield,Go Ahead Eagles,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12437,NAC Breda,Rai Vloet,23.0,Attacking Midfield,FC Chiasso,€400Th.,out,Summer,0.4,Eredivisie,2018,2018/2019
12438,NAC Breda,Mark Birighitti,27.0,Goalkeeper,Melbourne City,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12439,NAC Breda,James Horsfield,22.0,Defensive Midfield,Scunthorpe Utd.,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12440,NAC Breda,Feyo Glim,21.0,Defensive Midfield,Koninklijke HFC,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12441,NAC Breda,Chiró N'Toko,30.0,Centre-Back,FK Senica,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12442,NAC Breda,Sven van der Maaten,23.0,Goalkeeper,Telstar,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12475,PEC Zwolle,Ryan Thomas,23.0,Central Midfield,PSV Eindhoven,€2.75m,out,Summer,2.75,Eredivisie,2018,2018/2019
12476,PEC Zwolle,Philippe Sandler,21.0,Centre-Back,Man City,€2.50m,out,Summer,2.5,Eredivisie,2018,2018/2019
12477,PEC Zwolle,Youness Mokhtar,26.0,Left Winger,Ankaragücü,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12478,PEC Zwolle,Mustafa Saymak,25.0,Central Midfield,C. Rizespor,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12479,PEC Zwolle,Athanasios Karagounis,26.0,Right Winger,PAS Lamia,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12480,PEC Zwolle,Erik Bakker,28.0,Central Midfield,De Graafschap,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12481,PEC Zwolle,Wouter Marinus,23.0,Attacking Midfield,FC Emmen,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12482,PEC Zwolle,Stef Nijland,29.0,Attacking Midfield,De Graafschap,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12483,PEC Zwolle,Ted van de Pavert,26.0,Centre-Back,De Graafschap,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12484,PEC Zwolle,Josef Kvida,21.0,Centre-Back,NEC Nijmegen,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12485,PEC Zwolle,Piotr Parzyszek,24.0,Centre-Forward,Piast Gliwice,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12505,PSV Eindhoven,Santiago Arias,26.0,Right-Back,Atlético Madrid,€11.00m,out,Summer,11.0,Eredivisie,2018,2018/2019
12506,PSV Eindhoven,Joshua Brenet,24.0,Right-Back,TSG Hoffenheim,€3.50m,out,Summer,3.5,Eredivisie,2018,2018/2019
12507,PSV Eindhoven,Albert Gudmundsson,21.0,Right Winger,AZ Alkmaar,€1.80m,out,Summer,1.8,Eredivisie,2018,2018/2019
12508,PSV Eindhoven,Derrick Luckassen,23.0,Centre-Back,Hertha BSC,Loan fee:€500Th.,out,Summer,0.5,Eredivisie,2018,2018/2019
12509,PSV Eindhoven,Jordy de Wijs,23.0,Centre-Back,Hull City,€400Th.,out,Summer,0.4,Eredivisie,2018,2018/2019
12510,PSV Eindhoven,Marcel Ritzmaier,25.0,Central Midfield,Wolfsberger AC,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12526,FC Utrecht,Zakaria Labyad,25.0,Attacking Midfield,Ajax,€6.00m,out,Summer,6.0,Eredivisie,2018,2018/2019
12527,FC Utrecht,Ramon Leeuwin,30.0,Centre-Back,Odense BK,€250Th.,out,Summer,0.25,Eredivisie,2018,2018/2019
12528,FC Utrecht,Dario Dumic,26.0,Centre-Back,Dynamo Dresden,Loan fee:€150Th.,out,Summer,0.15,Eredivisie,2018,2018/2019
12529,FC Utrecht,Robin van der Meer,23.0,Centre-Back,Excelsior,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12530,FC Utrecht,Yassin Ayoub,24.0,Central Midfield,Feyenoord,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12554,VVV-Venlo,Vito van Crooij,22.0,Right Winger,PEC Zwolle,€650Th.,out,Summer,0.65,Eredivisie,2018,2018/2019
12555,VVV-Venlo,Clint Leemans,22.0,Central Midfield,PEC Zwolle,€350Th.,out,Summer,0.35,Eredivisie,2018,2018/2019
12556,VVV-Venlo,Jeffrey Rijkers,19.0,Left-Back,EVV Echt,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12557,VVV-Venlo,Lugman Bezzat,21.0,Left Winger,Sport. Hasselt,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12558,VVV-Venlo,Jens Janse,32.0,Right Midfield,Ellera,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12559,VVV-Venlo,Romeo Castelen,35.0,Right Winger,Retired,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12560,VVV-Venlo,Roy Gielen,20.0,Central Midfield,EVV Echt,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12561,VVV-Venlo,Sem Custers,18.0,Goalkeeper,NAC Breda U19,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12562,VVV-Venlo,Lars Unnerstall,27.0,Goalkeeper,PSV Eindhoven,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12581,Vitesse Arnhem,Mitchell van Bergen,19.0,Left Winger,Heerenveen,€500Th.,out,Summer,0.5,Eredivisie,2018,2018/2019
12582,Vitesse Arnhem,Julian Calor,21.0,Central Midfield,SC Cambuur,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12583,Vitesse Arnhem,Michael Törnes,32.0,Goalkeeper,Vendsyssel FF,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12606,Willem II Tilburg,Eyong Enoh,32.0,Defensive Midfield,EN Paralimniou,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12607,Willem II Tilburg,Thom Haye,23.0,Defensive Midfield,Lecce,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12608,Willem II Tilburg,Giliano Wijnaldum,25.0,Left-Back,Sparta R.,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12609,Willem II Tilburg,Stefan van der Lei,25.0,Goalkeeper,Dalkurd,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12610,Willem II Tilburg,Bartholomew Ogbeche,33.0,Centre-Forward,NorthEast Utd.,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12611,Willem II Tilburg,Darryl Lachman,28.0,Centre-Back,PEC Zwolle,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12612,Willem II Tilburg,Andreias Calcan,24.0,Left Winger,Almere City,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12613,Willem II Tilburg,Dani Koks,20.0,Central Midfield,KVV Vosselaar,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12614,Willem II Tilburg,Asumah Abubakar,21.0,Centre-Forward,MVV Maastricht,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12615,Willem II Tilburg,Thomas Kok,20.0,Defensive Midfield,FC Dordrecht,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12624,ADO Den Haag,Bas Kuipers,24.0,Left-Back,FC Viitorul,free transfer,out,Winter,0.0,Eredivisie,2018,2018/2019
12627,AZ Alkmaar,Marko Vejinović,29.0,Central Midfield,Arka Gdynia,Loan fee:€25Th.,out,Winter,0.025,Eredivisie,2018,2018/2019
12643,De Graafschap Doetinchem,Kyvon Leidsman,20.0,Centre-Forward,Almere City U21,free transfer,out,Winter,0.0,Eredivisie,2018,2018/2019
12654,FC Emmen,Kjelt Engbers,19.0,Centre-Back,VV Hoogeveen,free transfer,out,Winter,0.0,Eredivisie,2018,2018/2019
12667,Fortuna Sittard,Christopher Braun,27.0,Right-Back,OFI Crete FC,free transfer,out,Winter,0.0,Eredivisie,2018,2018/2019
12685,SC Heerenveen,Arbër Zeneli,23.0,Left Winger,Stade Reims,€4.00m,out,Winter,4.0,Eredivisie,2018,2018/2019
12686,SC Heerenveen,Dave Bulthuis,28.0,Centre-Back,Ulsan Hyundai,€300Th.,out,Winter,0.3,Eredivisie,2018,2018/2019
12687,SC Heerenveen,Nicolai Naess,25.0,Defensive Midfield,Sarpsborg 08,free transfer,out,Winter,0.0,Eredivisie,2018,2018/2019
12688,SC Heerenveen,Marco Rojas,27.0,Right Winger,SönderjyskE,free transfer,out,Winter,0.0,Eredivisie,2018,2018/2019
12698,NAC Breda,Karol Mets,25.0,Centre-Back,AIK,€300Th.,out,Winter,0.3,Eredivisie,2018,2018/2019
12699,NAC Breda,Olivier Rommens,23.0,Central Midfield,TOP Oss,free transfer,out,Winter,0.0,Eredivisie,2018,2018/2019
12700,NAC Breda,Vinnie Vermeer,23.0,Central Midfield,Nashville SC,free transfer,out,Winter,0.0,Eredivisie,2018,2018/2019
12707,PEC Zwolle,Erik Israelsson,29.0,Central Midfield,Vålerenga,free transfer,out,Winter,0.0,Eredivisie,2018,2018/2019
12714,PSV Eindhoven,Nicolas Isimat-Mirin,27.0,Centre-Back,Besiktas,€350Th.,out,Winter,0.35,Eredivisie,2018,2018/2019
12731,Willem II Tilburg,Fran Sol,26.0,Centre-Forward,Dynamo Kyiv,€3.50m,out,Winter,3.5,Eredivisie,2018,2018/2019
12732,Willem II Tilburg,Bartlomiej Urbanski,20.0,Central Midfield,Chojniczanka,free transfer,out,Winter,0.0,Eredivisie,2018,2018/2019
12754,ADO Den Haag,Nasser El Khayati,30.0,Attacking Midfield,Qatar SC,€1.70m,out,Summer,1.7,Eredivisie,2019,2019/2020
12755,ADO Den Haag,Wilfried Kanon,26.0,Centre-Back,Pyramids FC,€600Th.,out,Summer,0.6,Eredivisie,2019,2019/2020
12756,ADO Den Haag,Delano Ladan,19.0,Centre-Forward,SC Cambuur,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12757,ADO Den Haag,Nick Kuipers,26.0,Centre-Back,PERSIB,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12758,ADO Den Haag,Sheraldo Becker,24.0,Right Winger,Union Berlin,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12785,Ajax Amsterdam,Frenkie de Jong,22.0,Central Midfield,Barcelona,€86.00m,out,Summer,86.0,Eredivisie,2019,2019/2020
12786,Ajax Amsterdam,Matthijs de Ligt,19.0,Centre-Back,Juventus,€85.50m,out,Summer,85.5,Eredivisie,2019,2019/2020
12787,Ajax Amsterdam,Kasper Dolberg,21.0,Centre-Forward,OGC Nice,€20.50m,out,Summer,20.5,Eredivisie,2019,2019/2020
12788,Ajax Amsterdam,Maximilian Wöber,21.0,Centre-Back,Sevilla FC,€10.50m,out,Summer,10.5,Eredivisie,2019,2019/2020
12789,Ajax Amsterdam,Daley Sinkgraven,23.0,Left-Back,Bay. Leverkusen,€5.00m,out,Summer,5.0,Eredivisie,2019,2019/2020
12790,Ajax Amsterdam,Rasmus Kristensen,22.0,Right-Back,RB Salzburg,€5.00m,out,Summer,5.0,Eredivisie,2019,2019/2020
12791,Ajax Amsterdam,Dani de Wit,21.0,Attacking Midfield,AZ Alkmaar,€2.00m,out,Summer,2.0,Eredivisie,2019,2019/2020
12792,Ajax Amsterdam,Lasse Schöne,33.0,Defensive Midfield,Genoa,€1.50m,out,Summer,1.5,Eredivisie,2019,2019/2020
12793,Ajax Amsterdam,Vaclav Cerny,21.0,Right Winger,FC Utrecht,€900Th.,out,Summer,0.9,Eredivisie,2019,2019/2020
12794,Ajax Amsterdam,Konstantinos Lamprou,27.0,Goalkeeper,Vitesse,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12809,AZ Alkmaar,Guus Til,21.0,Attacking Midfield,Spartak Moscow,€18.00m,out,Summer,18.0,Eredivisie,2019,2019/2020
12810,AZ Alkmaar,Marko Vejinović,29.0,Central Midfield,Arka Gdynia,€300Th.,out,Summer,0.3,Eredivisie,2019,2019/2020
12811,AZ Alkmaar,Ricardo van Rhijn,28.0,Right-Back,Heerenveen,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12812,AZ Alkmaar,Adam Maher,25.0,Defensive Midfield,FC Utrecht,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12813,AZ Alkmaar,Nick Olij,23.0,Goalkeeper,NAC Breda,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12841,FC Emmen,Kjell Scherpen,19.0,Goalkeeper,Ajax,€1.50m,out,Summer,1.5,Eredivisie,2019,2019/2020
12842,FC Emmen,Hilal Ben Moussa,27.0,Central Midfield,Sepsi OSK,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12843,FC Emmen,Alexander Bannink,29.0,Attacking Midfield,Go Ahead Eagles,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12844,FC Emmen,Zakaria El Azzouzi,23.0,Centre-Forward,FC Volendam,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12845,FC Emmen,Caner Cavlan,27.0,Left-Back,Austria Vienna,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12846,FC Emmen,Stef Gronsveld,23.0,Right-Back,FC Dordrecht,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12847,FC Emmen,Rob Deiman,20.0,Central Midfield,SV Meppen II,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12848,FC Emmen,Stephen Warmolts,25.0,Centre-Back,HHC Hardenberg,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12849,FC Emmen,Jason Bourdouxhe,28.0,Left Midfield,TOP Oss,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12850,FC Emmen,Gersom Klok,28.0,Right-Back,HHC Hardenberg,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12851,FC Emmen,Emil Bijlsma,20.0,Central Midfield,VV Hoogeveen,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12852,FC Emmen,Kasper Oldenburger,23.0,Right Winger,Harkemase Boys,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12853,FC Emmen,Delano Grootenhuis,22.0,Attacking Midfield,Sp. Glanerbrug,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12854,FC Emmen,Nico Neidhart,24.0,Right-Back,Hansa Rostock,€21Th.,out,Summer,0.021,Eredivisie,2019,2019/2020
12876,Feyenoord Rotterdam,Tonny Vilhena,24.0,Central Midfield,Krasnodar,€9.00m,out,Summer,9.0,Eredivisie,2019,2019/2020
12877,Feyenoord Rotterdam,Jeremiah St. Juste,22.0,Centre-Back,1.FSV Mainz 05,€8.00m,out,Summer,8.0,Eredivisie,2019,2019/2020
12878,Feyenoord Rotterdam,Emil Hansson,21.0,Left Winger,Hannover 96,€400Th.,out,Summer,0.4,Eredivisie,2019,2019/2020
12879,Feyenoord Rotterdam,Mohammed El Hankouri,22.0,Left Winger,FC Groningen,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12880,Feyenoord Rotterdam,Joris Delle,29.0,Goalkeeper,Orlando Pirates,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12906,Fortuna Sittard,Calvin Mac-Intosch,29.0,Centre-Back,SC Cambuur,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12907,Fortuna Sittard,George Mells,22.0,Central Midfield,Brisbane Roar,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12908,Fortuna Sittard,Finn Stokkers,23.0,Centre-Forward,NAC Breda,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12909,Fortuna Sittard,Lars Hutten,29.0,attack,TOP Oss,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12910,Fortuna Sittard,Aykut Özer,26.0,Goalkeeper,Karagümrük,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12911,Fortuna Sittard,Gavin Vlijter,22.0,Left Winger,MVV Maastricht,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12912,Fortuna Sittard,Rubén Ramírez,23.0,Centre-Back,Atl. Venezuela,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12913,Fortuna Sittard,Mickaël Malsa,23.0,Defensive Midfield,CD Mirandés,free transfer,out,Summer,0.0,Eredivisie,2019,2019/2020
12940,FC Groningen,Ritsu Doan,21.0,Right Winger,PSV Eindhoven,€7.50m,out,Summer,7.5,Eredivisie,2019,2019/2020
