,Name,Rating
62,Achraf Hakimi,5.430826908405319
102,Romain Perraud,4.187012548057315
34,Maxwel Cornet,3.5018613169419135
45,Emerson,3.5017410166262426
106,Arkadiusz Reca,3.4255669607892294
6,Angeliño,3.066833651877512
42,Lucas Digne,2.5413046269794335
38,Danilo,2.2432078124896604
127,Kieran Trippier,2.237189624855832
4,Ezgjan Alioski,2.150941387816366
112,Youssouf Sabaly,1.9070423114351092
73,Hassane Kamara,1.863354281119493
1,David Alaba,1.8158538317815491
110,Cristian Romero,1.7949987344920446
138,Davide Zappacosta,1.5838946592636995
85,Pablo Maffeo,1.559755277355721
55,Marvin Friedrich,1.5533963517948437
37,Damien Da Silva,1.1994372717363921
32,Daniel Congré,1.1831206170094664
41,Mathieu Debuchy,1.179859703522583
96,Stefan Mitrović,1.1652657404304017
131,Jannik Vestergaard,1.0987350920531533
79,Christopher Lenz,0.9174491664204717
5,Joachim Andersen,0.7845702379757873
7,Mitchel Bakker,0.716612915470421
24,Martín Cáceres,0.6863471181370852
88,Aïssa Mandi,0.6859373961958231
87,Reinildo Mandava,0.6694964244655722
130,Raphaël Varane,0.6065697254879174
139,Kurt Zouma,0.5969330770406259
59,Diego Godín,0.5704205216125876
29,Julian Chabot,0.5447203395969422
123,Takehiro Tomiyasu,0.5312557806995554
101,Bruno Peres,0.5166037572094692
47,Martin Erlic,0.5045697414382053
136,Ashley Young,0.5002538737139494
10,Fodé Ballo-Touré,0.49445472049136047
53,Dimitri Foulquier,0.48079223513349
94,Clément Michelin,0.46680916098442515
51,Alessandro Florenzi,0.4548928367285413
15,Ryan Bertrand,0.4512565616881934
9,Leonardo Balerdi,0.4333841932864725
20,John Boye,0.39119199766888835
95,Juan Miranda,0.3690043355178316
113,Hiroki Sakai,0.32502145197233206
129,Dayot Upamecano,0.321695655610345
105,Sergio Ramos,0.3142334305230563
103,Germán Pezzella,0.21324518393952457
89,Faitout Maouassa,0.1857267233283323
117,Mohamed Simakan,0.1830268368987306
97,Phillipp Mwene,0.15896814538404844
120,Claudio Terzi,0.15648436472204924
23,Dan Burn,0.13819950419524468
125,Lorenzo Tonelli,0.1282685769905026
19,Sebastiaan Bornauw,0.077620620159096
18,Sacha Boey,0.05115114128151632
25,Gary Cahill,0.047022555361825785
0,Patrick van Aanholt,0.03474022148939601
86,Giangiacomo Magnani,0.03079938533611476
28,Federico Ceccherini,0.019230192403730778
119,Adama Soumaoro,0.0
90,Marcelo,-0.02034230195808759
60,Edoardo Goldaniga,-0.02040311711759971
68,Elseid Hysaj,-0.035914378947066394
91,Marlon,-0.06907954936322826
135,Ben White,-0.09432465487141271
78,Marash Kumbulla,-0.09962775198933299
3,Toby Alderweireld,-0.14576393162701504
27,Lionel Carole,-0.16796673258568678
50,Junior Firpo,-0.20580622198947912
21,Lilian Brassier,-0.250031906634576
36,Rafael Czichos,-0.25402752557579067
84,Lyanco,-0.2903584511981284
83,Sebastiano Luperto,-0.2906988515250662
77,Ibrahima Konaté,-0.314352174373384
122,Jeremy Toljan,-0.3562122359779355
26,Dani Calvo,-0.3632758787714503
133,Wendell,-0.3848153311878993
49,Federico Fazio,-0.4065810408335592
82,Anderson Lucoqui,-0.47457427741080543
39,Scott Dann,-0.48555418154514596
111,Facundo Roncaglia,-0.4995267128021723
44,Rodrigo Ely,-0.5357283034274696
13,Lars Bender,-0.5358831628469203
11,Melvin Bard,-0.5463232288308857
121,Jean-Clair Todibo,-0.5595292033637269
54,Juan Foyth,-0.5899385680759174
57,Ramiro Funes Mori,-0.6435475211729378
99,Gerzino Nyamsi,-0.6662206804265969
134,Oscar Wendt,-0.6782726753324713
140,Steven Zuber,-0.6847542225847315
43,Jimmy Dunne,-0.7361390821317437
137,Cristián Zapata,-0.7746014457730812
30,Calum Chambers,-0.7987347446576608
63,Dominique Heintz,-0.8470400738492682
65,Wesley Hoedt,-0.875002018706406
8,Fabián Balbuena,-0.9307226218433844
48,Sergio Escudero,-0.9568985191590145
14,Sven Bender,-0.9581024356695296
67,Florian Hübner,-0.9609750574772573
132,Aleix Vidal,-1.0187351497758614
98,Luca Netz,-1.0730268833570833
118,Brandon Soppy,-1.1492963063910022
92,Javi Martínez,-1.1523435044026578
80,Pol Lirola,-1.1801108777595328
81,Matteo Lovato,-1.222173192265031
64,Benjamin Henrichs,-1.222305787006891
104,Cristiano Piccini,-1.2244651510486635
108,Panagiotis Retsos,-1.2610111861220799
17,Giulian Biancone,-1.3415896868284263
93,Jorge Meré,-1.3530835807392236
35,Jaume Costa,-1.3873233684670854
31,Darko Churlinov,-1.3960136508609544
2,Pedro Alcalá,-1.4348410353163525
56,Christian Fuchs,-1.4707969484593875
115,Sidnei,-1.75143557032497
75,Felix Klaus,-2.123303974323566
12,Samy Benchamma,
16,Loïc Bessile,
22,Joshua Brenet,
33,Andrea Conti,
40,Craig Dawson,
46,Alan Empereur,
52,Thomas Fontaine,
58,Eric García,
61,Sergi Gómez,
66,Marco Höger,
69,Ardian Ismajli,
70,José Izquierdo,
71,Tin Jedvaj,
72,Juan Jesus,
74,Luca Kilian,
76,Ragnar Klavan,
100,Maximiliano Olivera,
107,Vasco Regini,
109,Christopher Rocchia,
114,Mamadou Sakho,
116,Tim Siersleben,
124,Fikayo Tomori,
126,Cheick Traoré,
128,Axel Tuanzebe,
