,Name,Rating
51,Papu Gómez,6.709756212229351
58,Kai Havertz,4.092620702422731
114,David Silva,3.369103547118403
26,Santi Cazorla,3.347076233781813
127,Martin Ødegaard,3.1219048783024834
97,Fabián Orellana,3.0815759032534915
32,Marc Cucurella,3.0301857164279076
63,Davy Klaassen,2.715993054133591
66,Takefusa Kubo,2.6540417366676694
8,Éver Banega,2.6307730539700085
90,Henrikh Mkhitaryan,2.229516533561091
109,Morgan Sanson,2.222930468938376
40,Matt Doherty,2.1893048618071633
46,Seko Fofana,2.1324769574789513
122,Simone Verdi,1.989393533665939
14,Álex Berenguer,1.8193991970614494
102,Rafinha,1.8178928034815791
124,Arturo Vidal,1.8044041818876269
103,Raphinha,1.7309407616067132
101,Thomas Partey,1.69853996174214
22,Daniel Caligiuri,1.5705883900735031
91,Aaron Mooy,1.5156127414294482
71,Karol Linetty,1.5092333355694445
9,Nicolò Barella,1.39549316416714
18,Giacomo Bonaventura,1.3746396219313597
106,Marko Rog,1.3344014652865757
115,Robert Snodgrass,1.3230547529563368
33,Wylan Cyprien,1.189830148863976
38,Fabio Depaoli,1.0127254805756893
126,Harry Wilson,1.0006541389688546
86,Soualiho Meïté,0.9559107014192056
88,Roque Mesa,0.9553397619953199
123,Jordan Veretout,0.8842218851289587
110,Baptiste Santamaria,0.8766151642303589
28,Luca Cigarini,0.8112322852762996
56,Mattéo Guendouzi,0.7074627710777305
84,Weston McKennie,0.6504407127626259
7,Tiemoué Bakayoko,0.6418326583145036
79,Rolando Mandragora,0.6313287629865096
0,Mehdi Abeid,0.6250091507853193
117,Dale Stephens,0.5046885847639359
81,Blaise Matuidi,0.504613263581059
73,Giovani Lo Celso,0.49745586810491943
112,Stefano Sensi,0.4668871405392129
2,Allan,0.41444448952372814
98,Mesut Özil,0.3768577855608516
5,Mathias Autret,0.3141690845849635
43,Gonzalo Escalante,0.23993830288697
64,Geoffrey Kondogbia,0.2273110372971014
55,Demarai Gray,0.2133285046773689
60,Jeff Hendrick,0.20796385190947014
107,Alaixys Romao,0.20327163254622715
24,Francesco Cassata,0.2028636971289919
125,Ronaldo Vieira,0.19890614671635845
37,Bryan Dabo,0.15026020817862434
45,Diego Farias,0.12453380381378078
6,Milan Badelj,0.11909676759612942
21,Oliver Burke,0.10360361179659511
19,Sofiane Boufal,0.09825088532658079
113,Adrien Silva,0.08969537302029404
100,Lucas Paquetá,0.08813827148329079
70,Lukas Lerager,0.06986691216974408
76,Yann M'Vila,0.04101230832105218
39,Ibrahima Diallo,-0.01090078919140073
13,Yassine Benrahou,-0.031152661739616894
30,Francis Coquelin,-0.07404062961721355
52,Maxime Gonalons,-0.16949271674401065
87,Fran Mérida,-0.2779981346078526
42,Alfred Duncan,-0.3191459122083073
61,Gerrit Holtmann,-0.32214824979221646
94,Kévin N'Doram,-0.34131360867119265
12,Marco Benassi,-0.36581775235376696
78,Jean-Victor Makengo,-0.3793830932208555
34,Marco D'Alessandro,-0.3815899526362244
121,Borja Valero,-0.400950763878115
105,James Rodríguez,-0.44934381113552213
72,Jesse Lingard,-0.479119562740345
111,Morgan Schneiderlin,-0.5631999769350597
29,Per Ciljan Skjelbred,-0.6111567597188713
95,Christian Oliva,-0.626896647707067
54,Alberto Grassi,-0.666585187560991
104,Emiliano Rigoni,-0.7195655765604455
116,Cédric Soares,-0.7497532694383775
77,Arne Maier,-0.772668506658957
16,Lucas Biglia,-0.7803687366920881
44,Iago Falque,-0.8376397009564763
23,Emre Can,-0.853864229759285
41,Ondrej Duda,-0.9125138272920691
47,Mike Frantz,-0.9401592027673139
62,Sami Khedira,-0.964709245681281
118,Tobias Strobl,-0.9659436877680457
50,Javi García,-0.9986119925347705
67,Adam Lallana,-1.0226508990712608
89,Max Meyer,-1.0878955790762797
25,Lucas Castro,-1.123718786494806
85,Joshua Mees,-1.2435755893063623
120,Lucas Torró,-1.2484412816909565
10,Fin Bartels,-1.2496132921395666
53,Jérôme Gondorf,-1.3008740342261682
96,Henry Onyekuru,-1.3181380106598122
74,Enzo Loiodice,-1.3856223540322403
80,Omar Marmoush,-1.428727900239589
69,Aaron Lennon,-1.4336771526777599
1,Kevin Agudelo,-1.4379821940936157
48,Jorge de Frutos,-1.4557096114976917
82,Alexandru Maxim,-1.5322632441697601
36,Lucas Da Cunha,-1.5857022848990125
3,Vitorino Antunes,
4,Adil Aouchiche,
11,Borja Bastón,
15,Valon Berisha,
17,Leonardo Bittencourt,
20,Bilal Boutobba,
27,Florian Chabrolle,
31,Sebastián Cristóforo,
35,Felice D'Amico,
49,Nicolás Gaitán,
57,Martin Harnik,
59,Liam Henderson,
65,Felix Kroos,
68,Henri Lansbury,
75,Albert Lottin,
83,Luca Mazzitelli,
92,Ravel Morrison,
93,Simone Muratore,
99,Vincent Pajot,
108,Nicolò Rovella,
119,Eddy Sylvestre,
