,Name,Rating
18,Gianluca Caprari,5.68348687746298
85,Lucas Paquetá,5.111646100461165
48,Mattéo Guendouzi,4.30479263290803
79,Henrikh Mkhitaryan,3.87772212765509
100,Giacomo Raspadori,3.767044224216103
45,Angelo Fulgini,3.717460494997468
77,Brais Méndez,3.7005232572590874
32,Sofiane Diop,3.138291204550269
126,Jordan Veretout,2.9892436034958965
19,Casemiro,2.805006584354527
33,Cheick Doucouré,2.4509279528749675
93,Paul Pogba,2.4350822222979334
115,Carlos Soler,2.3814352103933087
117,Mattias Svanberg,2.087358723774275
107,Renato Sanches,2.0652952084272567
94,Grischa Prömel,1.9509993668761976
101,Nathan Redmond,1.9286959651554494
31,Javairô Dilrosun,1.9093403109913774
44,Remo Freuler,1.8860547846009965
66,Giulio Maggiore,1.8755157894653731
80,Thomas Monconduit,1.8701922970011005
121,Lucas Torreira,1.7206853963539621
56,Franck Kessié,1.673040563595972
26,Philippe Coutinho,1.6381995394464353
11,Jason Berthomier,1.5968890165487677
55,Boubacar Kamara,1.5394427074913466
84,Salih Özcan,1.4340657212558827
67,Arne Maier,1.380096010825228
14,Jean-Paul Boëtius,1.282091539514327
119,Morten Thorsby,1.154799078443913
13,Yves Bissouma,1.1286586368565763
73,Nemanja Matić,1.0784438018736
69,Orel Mangala,1.0648581277400713
65,Eduard Löwen,0.8802273870712745
70,Thomas Mangani,0.8748490966734448
10,Federico Bernardeschi,0.8110678734414574
37,Christian Eriksen,0.7541249005839818
47,Moi Gómez,0.7336996932847497
22,Federico Chiesa,0.6739469556628324
58,Dominik Kohr,0.6515806568187595
112,Salva Sevilla,0.6473213450017437
29,Leander Dendoncker,0.6216680093420031
0,Salis Abdul Samed,0.574029430490602
71,Jonas Martin,0.5169618704860948
68,Rolando Mandragora,0.43049388881170625
133,Axel Witsel,0.39726156980375
3,Rubén Alcaraz,0.3826894086621437
46,Billy Gilmour,0.3521713796399189
42,Fernandinho,0.34907673816466017
34,Éderson,0.3260603977126449
89,Jens Petter Hauge,0.2578184737551613
43,Philipp Förster,0.2551089315586894
82,Amadou Onana,0.2374257217729184
59,Cheikhou Kouyaté,0.2190371115273517
130,Aster Vranckx,0.20921204012813105
132,Daniel Wass,0.2003307886308821
98,Rafinha,0.1767710396972055
127,Arturo Vidal,0.1303008157204087
35,Albin Ekdal,0.12824335685236882
52,Ajdin Hrustic,0.07625098279412579
61,Lucas Leiva,0.05498954475690565
91,Kalvin Phillips,0.05489841603836592
25,Mamadou Coulibaly,0.040051286017765184
1,Tyler Adams,0.020398157381545563
4,Kristjan Asllani,-0.0026624764917615173
109,Louis Schaub,-0.002781968971797444
116,Kevin Stöger,-0.052959741610220656
120,Corentin Tolisso,-0.056683975870698844
2,Jean-Eudes Aholou,-0.061857247219685135
64,Unai López,-0.10720049565104003
87,Alberto Perea,-0.12071812501135484
81,Joel Obi,-0.1408470037748629
12,Daniel Bessa,-0.146104881695067
74,Filippo Melegoni,-0.20659381074320615
111,Xaver Schlager,-0.21755466577579005
128,Tonny Vilhena,-0.22084312277276788
63,David López,-0.22958708413443496
60,Paul Lasne,-0.3035354979393836
75,Óscar Melendo,-0.3114085067454968
54,Isco,-0.3258615806211648
51,Héctor Herrera,-0.36882371462471997
88,Carles Pérez,-0.4082850383283183
76,Arthur Melo,-0.41000065603403324
39,Julien Faussurier,-0.4174570564494026
96,Erick Pulgar,-0.42997531155874147
134,Mattia Zaccagni,-0.4366274879826478
50,Janik Haberer,-0.4653976912213869
28,Mikkel Damsgaard,-0.5273491204492894
20,Dylan Chambost,-0.5274803318597435
36,Jurgen Ekkelenkamp,-0.5505270240452329
125,Matías Vecino,-0.5877539851708485
21,Denis Cheryshev,-0.6120334720469744
108,Oier Sanjurjo,-0.6141190765127864
135,Denis Zakaria,-0.6167770837232573
110,Andrea Schiavone,-0.6536310319668521
95,Riqui Puig,-0.6637578299344199
83,Adam Ounas,-0.7720991917979131
105,Roli Pereira de Sa,-0.803868028742342
8,László Bénes,-0.8779931459533857
15,Mehdi Bourabia,-0.8944454017674885
57,Philipp Klement,-0.9108874076578439
102,Samuele Ricci,-0.9122020917021422
23,Carney Chukwuemeka,-0.9261242866747226
17,Rémy Cabella,-0.9905387993854445
123,Manu Vallejo,-1.050752086180688
30,Amadou Diawara,-1.0572412261536228
5,Aymen Barkok,-1.1037611798024678
49,Jon Guridi,-1.107598875179975
92,Pablo Piatti,-1.1143855987424989
16,Oriol Busquets,-1.1159736701679628
104,Marc Roca,-1.1247173633849759
7,Jon Bautista,-1.1474813207928223
114,Sambou Sissoko,-1.1503838909748505
129,Nicolas Viola,-1.1566877689661612
86,Rubén Peña,-1.2652401648715015
113,Xavi Simons,-1.2672313982899401
24,Riccardo Ciervo,-1.2964669170944285
78,Fran Mérida,-1.3055233200464393
118,Robert Tesche,-1.341753363613994
9,Patrick Berg,-1.4256650576785568
6,Julian Baumgartlinger,
27,Marc Cucurella,
38,Cesc Fàbregas,
40,Aleix Febas,
41,Adrian Fein,
53,Marcus Ingvartsen,
62,Jürgen Locadia,
72,Juan Mata,
90,Romain Philippoteaux,
97,Sidney Raebiger,
99,Aaron Ramsey,
103,Tomás Rincón,
106,Fede San Emeterio,
122,Cenk Tosun,
124,Jonathan Varane,
131,Magnus Warming,
