,Name,Rating
124,Salif Sané,3.155097297830874
18,Fabrizio Cacciatore,3.067296933797108
70,Diego Laxalt,2.8667242536925244
105,Álvaro Odriozola,2.630083649855717
98,Nordi Mukiele,2.600097844731378
79,Kévin Malcuit,2.456205130124384
77,Pablo Maffeo,2.3004653340807524
145,Mitchell Weiser,2.1867644801208184
94,Johan Mojica,2.0775901412797277
117,Diego Rico,2.0726658327490535
20,Mattia Caldara,2.0581786289579176
64,Thilo Kehrer,1.981085828304494
118,Jérôme Roussillon,1.9352000403397458
11,Yuri Berchiche,1.877095089113324
131,Arnaud Souquet,1.8316245136568725
113,Germán Pezzella,1.72078338999124
97,Martín Montoya,1.6488435423308958
22,João Cancelo,1.6235290964061295
130,Cédric Soares,1.6048265037764482
86,Adam Masina,1.5234318118742693
73,Clément Lenglet,1.488052465752404
142,Jannik Vestergaard,1.4456453603976083
17,Leonardo Bonucci,1.3982820738662307
149,Kurt Zouma,1.3787812072037913
29,Damien Da Silva,1.3779313263763255
48,Joris Gnagnon,1.376072277002236
144,Stefan de Vrij,1.3620610407783083
72,Maxime Le Marchand,1.3203122101256757
138,Almamy Touré,1.0539249392664551
35,Abdou Diallo,1.050880965686771
40,Riza Durmisi,1.0050278041921055
108,Sokratis Papastathopoulos,0.9891816292581819
140,Lorenzo Venuti,0.9095906886349477
31,Danilo,0.8716923008434901
146,Silvan Widmer,0.8502028310372889
49,Massimo Gobbi,0.8216427583541256
83,Aarón Martín,0.7779675086227278
33,Fallou Diagne,0.7672602208891325
23,Ander Capa,0.7632384702526883
128,Ernest Seka,0.726996795729924
116,Rafael,0.7079695683948455
37,Issa Diop,0.6879243942056292
41,Alex Ferrari,0.5625623562957717
26,Coke,0.5558286427532458
87,Federico Mattiello,0.48435305611566304
0,Francesco Acerbi,0.4199012154291872
74,Stephan Lichtsteiner,0.38617394450086673
12,Bernardo,0.32428764591700787
56,Martin Hinteregger,0.30845150925346243
71,Miguel Layún,0.30575470990263287
69,Vincent Laurini,0.22098541624335852
19,Martín Cáceres,0.18699448672596097
67,Alberto de la Bella,0.15415618106377307
95,Cristian Molinaro,0.1426710772983991
85,Jonathan Martins Pereira,0.10434048320761938
129,Matías Silvestre,0.022062342417294656
60,Armando Izzo,0.005774262003486612
5,Kwadwo Asamoah,0.002613115501199581
54,Benjamin Henrichs,-0.0057742620034866845
65,Ragnar Klavan,-0.008269447061231153
28,Sébastien Corchia,-0.012204086009959259
10,Medhi Benatia,-0.07384825242346885
6,Fodé Ballo-Touré,-0.07676772886744748
122,Bartosz Salamon,-0.08549224412995166
1,Kevin Akpoguma,-0.12571484905856
63,David Juncà,-0.22106751805483235
62,Saidy Janko,-0.2841752092279538
112,Bruno Peres,-0.3169286781509967
36,Lucas Digne,-0.31800010766880504
126,Ezequiel Schelotto,-0.35040711882765674
14,Vincent Bessat,-0.3506028650745865
137,Toño,-0.4270242715208459
13,Juan Bernat,-0.43780532943176687
30,Dario Dainelli,-0.4517693078069501
125,Davide Santon,-0.4706485671353918
133,Kévin Théophile-Catherine,-0.48129704775972404
39,Mauro dos Santos,-0.48413403109024267
123,Carlos Salcedo,-0.5032928934276056
121,Enric Saborit,-0.5267919444767165
24,Marco Capuano,-0.5318692748655725
51,Sergi Gómez,-0.5330988126531595
106,Daniel Opare,-0.5362999685257991
2,Marco Andreolli,-0.5638443036511327
3,Luca Antei,-0.5949692283683621
139,Cédric Varrault,-0.6059137619883743
76,Cheikh M'Bengue,-0.6151856960299679
93,Yerry Mina,-0.6431060229429425
7,Leon Balogun,-0.6552003507794264
82,Marlon,-0.726522942824154
91,Senna Miangue,-0.7430744903125304
103,Marc Navarro,-0.7597537248515426
80,Martín Mantovani,-0.7602045768312327
34,Mouctar Diakhaby,-0.7783423004747971
100,Jeison Murillo,-0.7910521334518926
114,Jérémy Pied,-0.881032672269747
143,Nacho Vidal,-0.8837490093702655
45,Bruno Gaspar,-0.8941605574205306
25,Leandro Castán,-0.9004832306348676
9,Robert Bauer,-0.9022890929321598
111,Théo Pellenard,-0.9084311213572455
101,Yuto Nagatomo,-0.9178530491152905
115,Ronaël Pierre-Gabriel,-0.974366123599063
136,Lorenzo Tonelli,-1.069756802829946
107,Reece Oxford,-1.1009035740373407
96,Francisco Molinero,-1.1094490069861338
