,Name,Rating
102,Timo Werner,11.18971717356852
103,Willian,6.113718119756815
16,Federico Chiesa,5.260003971667793
89,Luis Suárez,4.990780394640583
100,Kevin Volland,4.5909476853028846
11,José Callejón,4.461323327750932
85,Giovanni Simeone,3.9375775590668303
88,Islam Slimani,3.7935848321338943
46,Diogo Jota,3.6880824137373245
19,Jhon Córdoba,3.524407444849223
3,Sebastian Andersson,3.4144617240269772
40,Gonzalo Higuaín,3.3497250540657064
79,Rodrigo,3.3204716719063696
67,Victor Osimhen,3.293902003958322
32,Carlos Fernández,3.263847765779583
86,Moses Simon,3.207354885857032
54,Kevin Lasagna,3.1851537164706993
23,Moussa Dembélé,3.0622114549760067
64,Álvaro Morata,3.0383582216693714
27,Habib Diallo,3.026919162518891
21,Yoann Court,2.86018637125452
59,Borja Mayoral,2.7190340235554142
81,Alexis Sánchez,2.676418435463183
7,Leonardo Bittencourt,2.651793725199477
43,Mauro Icardi,2.545360480907169
39,Sébastien Haller,2.526260970996096
45,Willian José,2.5024309731760788
61,Arkadiusz Milik,2.3036323166881036
73,Romain Philippoteaux,2.250538358377663
83,Patrik Schick,2.174322181630545
68,Gonçalo Paciência,2.0358761980865223
66,M'Baye Niang,2.0231664930089606
30,Bas Dost,2.0
96,Enes Ünal,1.8253522082184483
80,Antonio Sanabria,1.8165573776431316
95,Bertrand Traoré,1.784866311516446
53,Gianluca Lapadula,1.7374533743324811
42,Adrien Hunou,1.7058780086813028
90,Suso,1.6794723696978484
63,Jorge Molina,1.5914740676261796
50,Justin Kluivert,1.503685299338418
38,Samuel Grandsir,1.4760941941270187
74,Andrea Pinamonti,1.3378904102306104
20,Douglas Costa,1.3030091460680562
94,Karl Toko Ekambi,1.2353135786491138
25,Fousseni Diabaté,1.0782846626429259
72,Diego Perotti,0.9788546068927162
97,Cengiz Ünder,0.8980402376819574
22,Grégoire Defrel,0.8603620129200192
93,Martin Terrier,0.8465026156999649
101,Luca Waldschmidt,0.8049968144633513
77,Sandro Ramírez,0.7210171123390419
78,Loïc Rémy,0.6961370829200709
5,Keita Baldé,0.6816524049160904
98,Álvaro Vadillo,0.6473932356456171
9,Federico Bonazzoli,0.6045233049139188
41,Franck Honorat,0.565444908170865
35,Ignatius Ganago,0.5643774826833502
87,Pione Sisto,0.5453871761967085
15,Charles,0.37526145457763616
71,Carles Pérez,0.3419207212805735
13,Guido Carrillo,0.26539922023160234
69,Pedro,0.23476832402920889
92,Simon Terodde,0.16709280577042018
14,Edinson Cavani,0.14165447104065143
12,Gianluca Caprari,0.11687759494331179
58,Eric Maxim Choupo-Moting,0.07051539005502527
57,Jean-Philippe Mateta,0.008022354609196425
2,Chadrac Akolo,0.005965265161691935
44,Roberto Inglese,-0.009394932522821309
60,Alexandre Mendy,-0.06857964580050602
34,Enric Gallego,-0.13273250725660857
36,Mario Götze,-0.2541919459235098
10,Guido Burgstaller,-0.27151003787813766
47,Luka Jović,-0.3302418730056196
49,Yann Karamoh,-0.3839420712131072
75,Sebastian Polter,-0.5550505053452244
52,Christian Kouamé,-0.6066661169103255
65,Glenn Murray,-0.7531848851179131
56,Ademola Lookman,-0.7768278925064057
8,Kevin-Prince Boateng,-0.7789209390942409
105,Amin Younes,-0.8956337513185968
6,Yassine Benrahou,-0.9698011226350477
29,Anastasios Donis,-1.0012008739552924
1,Marley Aké,-1.1119821076846699
76,Rafinha,-1.1136638677985211
24,Mattia Destro,-1.1452818776635854
48,Salomon Kalou,-1.360719704262864
99,Juan Villar,-1.375366850003275
84,André Silva,-1.3912657681648049
4,Jean-Kévin Augustin,-1.4573697325084154
28,Brahim Díaz,-1.5213688497039222
0,Albian Ajeti,-1.7818876211457135
17,Leon Clarke,
18,Christian Clemens,
26,Amad Diallo,
31,Iago Falque,
33,Lyle Foster,
37,Amine Gouiri,
51,Pascal Köpke,
55,Fernando Llorente,
62,Henrikh Mkhitaryan,
70,Luis Perea,
82,Leroy Sané,
91,Moussa Sylla,
104,Hannes Wolf,
