,Name,Rating
67,Robert Lewandowski,10.097357019568152
75,Sadio Mané,6.233440064745581
100,Giovanni Simeone,5.756167891587085
42,Amine Gouiri,5.708855516203343
45,Erling Haaland,5.669169966534831
95,Raphinha,5.565280207240834
44,Gonçalo Guedes,5.405591099160722
81,Anthony Modeste,5.217148070007185
34,Paulo Dybala,5.188616922403206
102,Raheem Sterling,5.073694385771123
50,Lorenzo Insigne,4.873245706465808
63,Randal Kolo Muani,4.742771814429316
54,Gabriel Jesus,4.624563261922688
99,Gianluca Scamacca,4.083875349055349
110,Cengiz Ünder,3.777823262660247
87,Lucas Ocampos,3.7722147832246042
96,Richarlison,3.7487999096387847
35,Breel Embolo,3.501527015653761
82,Florent Mollet,3.476488335022853
7,Taiwo Awoniyi,3.4283360296923675
21,Francesco Caputo,3.3376463194435266
114,Mattia Zaccagni,3.0545424080563643
78,Dries Mertens,2.8309424591397945
61,Arnaud Kalimuendo,2.712159412095125
76,Neal Maupay,2.569129748245692
66,Alexandre Lacazette,2.317544688565737
93,Sebastian Polter,2.316509983980887
56,Willian José,2.282052067670681
29,Boulaye Dia,2.1509038767749815
33,Hugo Duro,2.0416631710639925
17,Federico Bonazzoli,2.0293311149011135
71,Ademola Lookman,2.005647118880879
51,Alexander Isak,1.9944548865949
97,Alexis Sánchez,1.9401508044710472
79,Arkadiusz Milik,1.7788354289147879
43,Michael Gregoritsch,1.7528891769107737
25,Joaquín Correa,1.6176962126283867
11,Ishak Belfodil,1.586905627509379
52,Adnan Januzaj,1.5034671910967168
72,Romelu Lukaku,1.4450909398693599
108,Francisco Trincão,1.4424512112644448
41,Maxi Gómez,1.336818822699552
60,Sasa Kalajdzic,1.2931478955589792
64,Takefusa Kubo,1.2616042347650083
20,José Callejón,1.2167920508520438
12,Andrea Belotti,1.1547009271301933
15,El Bilal Touré,1.1097990802852107
73,Rey Manaj,1.025752647611696
104,Cristian Tello,1.0121432795415017
112,Timo Werner,1.0
13,Christian Benteke,0.974507745171754
2,Lucas Alario,0.9595496998464685
38,Ignatius Ganago,0.9228066797668839
49,Marcus Ingvartsen,0.8695611441617408
55,Luuk de Jong,0.8607397802479325
8,Stéphane Bahoken,0.7190614582079359
5,Pierre-Emerick Aubameyang,0.7108817811495913
107,Yoann Touzghar,0.5901705315591768
14,Steven Bergwijn,0.5283988922479275
101,Renato Steffen,0.5228657161441429
32,Julian Draxler,0.5156168719883828
91,Andrea Petagna,0.4887181549426733
3,Paco Alcácer,0.4689552753393529
26,Kalifa Coulibaly,0.4448241820490364
57,Luka Jović,0.32509202795442366
59,Tino Kadewere,0.16668959518624926
22,Guido Carrillo,0.15836291971493213
24,Edinson Cavani,0.13709010739347988
18,Martin Braithwaite,0.06561476579833603
65,Gaëtan Laborde,-0.010000977935467614
46,Munir El Haddadi,-0.03880726422911429
16,Danny Blum,-0.06940608998164416
80,Takumi Minamino,-0.0843037832997039
1,Felix Afena-Gyan,-0.08439840933118253
68,Jesse Lingard,-0.10512541923949259
85,Jessic Ngankam,-0.24886387583215697
40,Anwar El Ghazi,-0.2544134655442483
69,Jürgen Locadia,-0.27546886309724516
0,Sargis Adamyan,-0.2927816169220039
10,Simon Banza,-0.34004285456539296
19,Brian Brobbey,-0.4307145154701524
113,Andriy Yarmolenko,-0.49097270525668785
53,Corentin Jean,-0.4965332278534988
9,Gareth Bale,-0.5544165982119462
94,Rafinha,-0.5632720011626409
89,Pietro Pellegri,-0.5657012694207815
70,Shane Long,-0.5701729513383813
90,Ricardo Pepi,-0.5989442704081233
4,Florin Andone,-0.6455256209552901
37,Marcus Forss,-0.64575487491797
105,Erik Thommy,-0.7329185960297641
23,Samu Castillejo,-0.8201347807075391
58,Anton Kade,-0.8227944731811061
98,Federico Santander,-0.8367825392341954
86,Casimir Ninga,-0.8583703213595105
36,Diego Falcinelli,-0.858971485342555
30,Javairô Dilrosun,-1.011978341457287
84,Vedat Muriqi,-1.0136078391177903
48,Matthew Hoppe,-1.023259248727776
6,Jean-Kévin Augustin,
27,Ángel Di María,
28,Francesco Di Mariano,
31,Moussa Doumbia,
39,Dwight Gayle,
47,Pierre-Yves Hamel,
62,Luca Kilian,
74,Leonardo Mancuso,
77,Borja Mayoral,
83,Raúl Moro,
88,Divock Origi,
92,Joel Pohjanpalo,
103,Mathys Tel,
106,Steffen Tigges,
109,Anthony Ujah,
111,Manu Vallejo,
