,Name,Rating
43,Jack Harrison,4.875011731574566
17,Antonio Candreva,4.242942591720903
117,Mattia Zaccagni,4.048478402015866
33,Romain Faivre,3.950451216088334
114,Yoane Wissa,3.5913989154324186
38,Bryan Gil,2.8992997277527564
18,Gianluca Caprari,2.8257120306153336
106,Andros Townsend,2.7727556758739413
2,Yacine Adli,2.7363628851824395
24,Marc Cucurella,2.671046296542108
54,Dejan Kulusevski,2.5886558580133396
48,Jakub Jankto,2.2299629100585574
94,Marcel Sabitzer,2.2077951835112217
50,Hamed Junior Traorè,2.0286985167004588
85,Pedro,2.0035109253522134
6,Robert Andrich,1.8728850692470056
16,Eduardo Camavinga,1.7957632613932253
46,Marcus Ingvartsen,1.793682536432382
12,Rodrigo Bentancur,1.7795790383811683
58,Pierre Lees-Melou,1.766497425868361
111,Daniel Wass,1.7238604131493256
42,Bruno Guimarães,1.6729624323653045
116,Amin Younes,1.621029014991335
15,Mathieu Cafaro,1.5040181927722607
8,Luiz Araújo,1.5007700456373634
19,Gaëtan Charbonnier,1.4206140949320205
28,Brahim Díaz,1.2302401805900485
9,Tiemoué Bakayoko,1.2278566264557864
20,Xavier Chavalerin,1.21288140188791
78,Saúl Ñíguez,1.0951110279287384
77,Radja Nainggolan,0.9658632388380153
80,Steven Nzonzi,0.9288515191510163
115,Hannes Wolf,0.9278070517169568
112,Georginio Wijnaldum,0.8496999088901456
91,Matteo Ricci,0.8463572375081676
110,Theo Walcott,0.8409395332087145
79,Allan Nyom,0.8383718788881247
92,Rubén Rochina,0.8338934468791208
101,Boubakary Soumaré,0.6740682036606619
26,Romain Del Castillo,0.6626638301139258
67,Pape Matar Sarr,0.6438243772699129
56,Danny Latza,0.5913411689157024
105,Abdoulaye Touré,0.5384099276347023
47,Ismail Jakobs,0.4942679064093835
31,Dominick Drexler,0.4440107104929556
99,Adrien Silva,0.37892243720115837
59,Mario Lemina,0.35044634873330077
23,Lassana Coulibaly,0.2895243378327786
64,Iván Marcone,0.2523629620802174
118,Denis Zakaria,0.19539926343434152
7,Victorien Angban,0.1592796042450602
27,Thomas Delaney,0.1431855181482959
70,Admir Mehmedi,0.058424343944043416
119,Martin Ødegaard,-0.02884002489611226
51,Rani Khedira,-0.04584493813072537
71,Soualiho Meïté,-0.050347499397349504
44,Marcel Hartel,-0.05341019315428357
5,Ibrahim Amadou,-0.20812834621469567
98,Xherdan Shaqiri,-0.2697398520220368
45,Pablo Hernández,-0.274363257112503
32,Valentin Eysseric,-0.284485535110074
100,Moussa Sissoko,-0.32242878595377455
4,Dele Alli,-0.4985566141733641
14,Mehdi Bourabia,-0.4994153266798466
63,Ainsley Maitland-Niles,-0.5299151534248875
88,Dennis Praet,-0.5327902670713793
39,Sergio Gómez,-0.535718144407578
35,Manu García,-0.5469078200942181
103,David Timor,-0.5621727982343037
21,Ebrima Colley,-0.5919029229853381
62,Arne Maier,-0.5927807798908165
108,Fede Vico,-0.593747905188634
65,Javi Martínez,-0.6490842368818184
57,Damien Le Tallec,-0.6623106660716892
97,Nils Seufert,-0.683188032564375
36,Christian Gebauer,-0.6919242363594706
13,Bernard,-0.7243405527644157
86,Andrea Poli,-0.7252193543180045
10,Valon Behrami,-0.7932628543984817
37,Christian Gentner,-0.7951533023883055
104,Lucas Torreira,-0.7990249506357193
69,James McCarthy,-0.8286888093660574
96,Baptiste Santamaria,-0.8763565928277466
25,Wylan Cyprien,-0.8875640446288096
73,Max Meyer,-0.9002382589287483
1,Gennaro Acampora,-0.9371101512738116
41,Sebastian Griesbeck,-0.9592498623426269
82,Owen Otasowie,-0.9612895732232337
89,Davy Pröpper,-0.9853109033544776
102,Lino Tempelmann,-0.9931768254028734
95,Lazar Samardzic,-1.0124991906381697
107,Borja Valero,-1.0249693664660613
74,Omenuke Mfulu,-1.0290711615131254
55,Pierre Kunde,-1.0298184675355961
90,Dani Raba,-1.038221987512423
66,Sylvain Marveaux,-1.108788781976642
49,Jason,-1.1725303599257935
76,Kévin Monnet-Paquet,-1.1833650217968295
113,Joe Willock,-1.2240398551902694
60,Jean Lucas,-1.252307055965368
52,Joshua King,-1.3616041093952742
29,Keagan Dolly,-1.3700098384796908
11,Josh Benson,-1.6475544602311738
75,Enzo Millot,-1.7509024651652296
0,Amir Abrashi,
3,Carles Aleñá,
22,Racine Coly,
30,Cheick Doukouré,
34,Ramón Folch,
40,Sergio González,
53,Ansgar Knauff,
61,Luismi,
68,Ryder Matos,
72,Batista Mendy,
81,Christian Oliva,
83,Antonio Palumbo,
84,Rubén Pardo,
87,Francisco Portillo,
93,Idriss Saadi,
109,Franklin Wadja,
