,Name,Rating
70,Manuel Lazzari,4.779495687319665
124,Nico Schulz,3.8606626523275605
34,Mohamed Fares,2.917909635533972
83,Aarón Martín,2.894465878784077
123,Jonathan Schmid,2.8340820943924165
68,Valentino Lazaro,2.792964911455914
19,João Cancelo,2.445882897341062
105,Rubén Peña,2.3840219247084886
69,Darko Lazović,2.379295541757486
86,Ferland Mendy,2.3529268297693924
36,Junior Firpo,2.344835890856769
55,Jason,2.2903950620288587
74,Pol Lirola,2.203025199313304
1,Ruben Aguilar,2.170126046658563
136,Kieran Trippier,2.1670174169260785
116,Danny Rose,2.0764565082352475
80,Gianluca Mancini,2.0732805210616423
84,Pablo Martinez,2.068180494390754
76,David Luiz,2.0507620964015403
73,Lucas Lima,2.0266616900934347
47,Theo Hernández,1.9181426473686847
79,Harry Maguire,1.8980151545235981
5,Cristian Ansaldi,1.8445668183923716
149,Ashley Young,1.82670708222733
2,Ola Aina,1.748211097816905
112,Ricardo Rodríguez,1.6188018630408283
42,Oussama Haddadi,1.5847313487947379
57,Christopher Jullien,1.447790913489593
63,Emil Krafth,1.4062036038048105
114,Cristian Romero,1.3901898838797448
62,Jules Koundé,1.379640744749294
144,Aaron Wan-Bissaka,1.3556941442901616
45,Mario Hermoso,1.2917137616237728
75,Filipe Luís,1.2204515785727563
93,Nacho Monreal,1.169135440397572
40,Diego Godín,1.1011506833240732
113,Rogério,1.0998978007849858
33,Björn Engels,0.9932949561806212
127,Djibril Sidibé,0.9383060011255209
15,Leandro Cabrera,0.9211247586141897
20,Diego Carlos,0.8707375211590105
82,Guillermo Maripán,0.8295068573378885
88,Gabriel Mercado,0.8075636521983474
117,Valentin Rosier,0.7940095643446827
49,Vitor Hugo,0.7679750608947851
4,Joachim Andersen,0.7054808561032891
103,Sergi Palencia,0.6070469634476265
120,Jacopo Sala,0.5795128225635351
102,Simone Padoin,0.5429287533128396
30,Abdou Diallo,0.5295477199772398
50,Mats Hummels,0.4724014788405022
133,Matt Targett,0.3489383812591619
110,Adil Rami,0.3441023989664479
18,Fernando Calero,0.3231653684804888
10,Ramy Bensebaini,0.2531984051184075
21,Daniel Carriço,0.2178411196086752
60,Youssouf Koné,0.21325004464605785
61,Laurent Koscielny,0.15448445693935228
29,Merih Demiral,0.14070900300173167
64,Enock Kwateng,0.1328060112370084
100,Kenneth Omeruo,0.11046866208059339
108,Rafael,0.06057881860235945
85,Federico Mattiello,0.05579789713627817
77,Fabian Lustenberger,0.0472007791009496
140,Rúben Vezo,0.009933579186690689
142,Kevin Vogt,-0.0031918381335022117
119,Víctor Ruiz,-0.09977507486272748
107,Pierre-Yves Polomat,-0.1076499328702267
89,Mexer,-0.1139433003868349
13,Erick Cabaco,-0.12623834948921128
48,Martin Hinteregger,-0.15305304636926878
128,Chris Smalling,-0.162797341934339
23,Danilo,-0.2041827119948609
146,Julian Weigl,-0.21059807290493862
28,Fabian Delph,-0.2509780841626337
97,François Moubandje,-0.26793362531872
66,Vincent Laurini,-0.27645125067446524
46,Lucas Hernández,-0.29526730456623523
24,Kevin Danso,-0.295771402145443
65,Michael Lang,-0.34042388254028083
41,Bruno González,-0.35080743631712047
148,Marius Wolf,-0.36376608789612075
96,Héctor Moreno,-0.3976924404118639
44,Filip Helander,-0.41584370131080794
0,Khaled Adénon,-0.4191867356782334
78,Hervé Lybohy,-0.4247680038773901
14,Gustavo Cabral,-0.45419693127210936
26,Sebastien De Maio,-0.46036070507782306
3,Raúl Albiol,-0.4678223958066649
54,Christophe Jallet,-0.4693095542863465
59,Vincent Kompany,-0.5125744778128801
9,Robert Bauer,-0.531054198859938
31,Koffi Djidji,-0.5501386839532115
150,Cristián Zapata,-0.5900094243694103
145,Stephen Ward,-0.5912577377782444
130,Leonardo Spinazzola,-0.6165409525805372
92,Miranda,-0.6405669894683766
52,Stefan Ilsanker,-0.653347334956866
11,Gaëtan Bong,-0.6657332056974369
109,Rafinha,-0.6788206267349184
122,Marcelo Saracchi,-0.6899743868023275
12,Olivier Boscagli,-0.6936383621353864
22,Filippo Costa,-0.7639827396655503
121,William Saliba,-0.7730318816226246
25,Matteo Darmian,-0.821140636790336
81,Iván Marcano,-0.8227342278934066
104,Luca Pellegrini,-0.8257921683720854
67,Diego Laxalt,-0.8283352511562246
8,Leon Balogun,-0.8425244127787852
126,Gen Shoji,-0.8524101865705129
125,Rúben Semedo,-0.8568894341191199
151,Marvin Zeegelaar,-0.8743582866622982
87,Hamza Mendyl,-0.9120817124471707
147,Maximilian Wöber,-0.9298303440443277
72,Stephan Lichtsteiner,-0.9636286423194267
132,Markus Suttner,-0.9658269340965943
27,Cristian Dell'Orco,-0.9736421803177301
115,Facundo Roncaglia,-1.0084657805293398
131,Nicolás Spolli,-1.0615284546263684
137,Antonio Valencia,-1.1163252642776715
141,Carlos Vigaray,-1.1473976801599062
43,Oualid El Hajjam,-1.1618148056995372
39,Marco Friedl,-1.1637329021159506
6,Guilherme Arana,-1.1970823013675078
135,Ömer Toprak,-1.2652085321927538
16,Martín Cáceres,-1.6547000778152527
95,Alberto Moreno,-1.9237728726855043
7,Ludovic Baal,
17,Gary Cahill,
32,Óscar Duarte,
35,Alex Ferrari,
37,Thomas Fontaine,
38,Steven Fortes,
51,Edgar Ié,
53,Phil Jagielka,
56,Carl Jenkinson,
58,Sebastian Jung,
71,Igor Lewczuk,
90,Clément Michelin,
91,Tyrone Mings,
94,Jérémy Morel,
98,Ezequiel Muñoz,
99,Jeison Murillo,
101,Reece Oxford,
106,Ronaël Pierre-Gabriel,
111,Arkadiusz Reca,
118,Luca Rossettini,
129,Pape Souaré,
134,Jean-Clair Todibo,
138,Paul Verhaegh,
139,Thomas Vermaelen,
143,Molla Wagué,
