,Name,Rating
37,Achraf Hakimi,5.376947471169604
47,Aleksandar Kolarov,3.952477136414799
58,Philipp Max,3.4121349912305385
74,Sergio Reguilón,3.214327777285044
18,Ben Chilwell,2.446532287785105
87,Nélson Semedo,2.1765100198222633
85,Bouna Sarr,2.0912921442685053
7,Ridle Baku,1.9658592695915593
81,Cristian Romero,1.8382766132918924
46,Robin Koch,1.7626663661601856
52,Diego Llorente,1.60314359038001
89,Chris Smalling,1.5955233409590446
15,Timothy Castagne,1.5610482573718056
56,Gianluca Mancini,1.4156787835200308
9,Mattia Bani,1.251609854468185
51,Pol Lirola,1.2431071242374887
62,Victor Moses,1.1810308673104122
49,Kenny Lala,1.1503030735948396
2,Ola Aina,1.0967011889119438
68,Pablo,1.091231573526111
44,Hassane Kamara,1.0108991113842523
33,Diego Godín,0.992738590893653
73,Arkadiusz Reca,0.9908764172581194
48,Marash Kumbulla,0.8259856229266486
83,Mohammed Salisu,0.8093766572356296
22,Lorenzo De Silvestri,0.7911163690423102
42,Ozan Kabak,0.7833606174875083
59,Thomas Meunier,0.6070772472680493
67,Nicolás Otamendi,0.48008282669477753
0,David Abraham,0.4387332788367173
28,Zouhair Feddal,0.40696663467347594
60,Martín Montoya,0.4023808883259538
23,Axel Disasi,0.39102474425383227
25,Mohamed Dräger,0.38737830659206446
69,Sokratis Papastathopoulos,0.29657841830730325
30,Wesley Fofana,0.17423666930876205
36,Koray Günter,0.1484682887877384
86,Malang Sarr,0.12732168429844912
38,Christophe Hérelle,0.11850531778867937
16,Jean-Charles Castelletto,0.11777901317671448
5,Santiago Arias,0.11138746620084988
95,Kenny Tete,0.11014618010486683
61,Jérémy Morel,0.07479946371477886
90,Cédric Soares,0.05374770970029688
71,Fabio Pisacane,0.05267120815411962
3,Joachim Andersen,0.03843533145356698
66,Tanguy Nianzou,0.003346658710694894
64,Shkodran Mustafi,0.0
102,Jan Vertonghen,-0.013884358663538793
96,Marcel Tisserand,-0.017699918970897482
45,Robin Knoche,-0.06774915539876168
29,Alessandro Florenzi,-0.17986135029724767
98,Fikayo Tomori,-0.19158794334209095
39,Laurent Jans,-0.21396692756982413
14,Patrick Burner,-0.2646832077552693
43,François Kamano,-0.26826999036741783
80,Filippo Romagna,-0.2848394171516138
41,Jony,-0.3074531640639069
34,Álvaro González,-0.32672530540782996
108,Steven Zuber,-0.37633032165113145
107,Maya Yoshida,-0.39592328607058724
26,Shane Duffy,-0.39998244283990175
76,Karim Rekik,-0.4179079135557471
17,Julian Chabot,-0.41976573339681283
1,Nayef Aguerd,-0.44917900703432073
53,Dejan Lovren,-0.4607970886218302
63,Mateo Musacchio,-0.46116715738901715
106,DeAndre Yedlin,-0.47168216271760893
88,Thiago Silva,-0.5285563617693616
10,Antonio Barragán,-0.5853476844430835
13,Kevin Bonifazi,-0.6243247923228451
4,Antoñito,-0.6854717991928667
94,Hidde ter Avest,-0.745917415603336
104,Kyle Walker-Peters,-0.7997306408621571
99,Lorenzo Tonelli,-0.8001926410821356
11,Bastos,-0.8225238623810748
72,Rafael,-0.8584629113514235
57,Adrián Marín,-0.8780984769336887
75,Ken Reichel,-0.9660592512218833
100,Ömer Toprak,-1.0753337812673984
50,Valentino Lazaro,-1.1273777290069609
84,Javi Sánchez,-1.1564017392337504
20,Diogo Dalot,-1.4052840800825812
12,Gaëtan Belaud,-1.4512826636113123
31,Timothy Fosu-Mensah,-1.4675933934656773
21,Kevin Danso,-1.4904185029186099
78,Ricardo Rodríguez,-1.7525981655794398
54,Sebastiano Luperto,-1.7780144904828263
79,Marcos Rojo,-2.045770012299623
6,Tommaso Augello,
8,Leonardo Balerdi,
19,Ibrahim Cissé,
24,Souleyman Doumbia,
27,Simon Falette,
32,Kamil Glik,
35,Bruno González,
40,Jemerson,
55,Giangiacomo Magnani,
65,Raúl Navas,
70,Giuseppe Pezzella,
77,Chris Richards,
82,Daniele Rugani,
91,Oumar Solet,
92,Adama Soumaoro,
93,Georg Teigl,
97,Jean-Clair Todibo,
101,Alessandro Tripaldelli,
103,Luigi Vitale,
105,Jawad El Yamiq,
